,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
E0 Base,0.6308,0.6233,0.604,0.5959,0.5719,0.6322,0.6099,0.6532,0.6298,0.6484,0.6678
E1 +Índices,0.6433,0.647,0.6545,0.594,0.4922,0.6192,0.5968,0.6383,0.6204,0.631,0.673
E2 +Cluster,0.5801,0.6208,0.5973,0.593,0.5327,0.6264,0.5826,0.6463,0.6424,0.6548,0.6604
E3 +Índ+Clust+Inter,0.6401,0.6337,0.6558,0.5845,0.5208,0.644,0.6016,0.6144,0.6118,0.6303,0.6433
