,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
E0 Base,0.4876,0.5493,0.45,0.6436,0.5701,0.6831,0.6498,0.7226,0.7201,0.7245,0.7277
E1 +FE,0.5417,0.6643,0.6128,0.642,0.5082,0.6283,0.6029,0.6674,0.7098,0.7237,0.7063
E2 +Cluster RAW,0.5638,0.6566,0.6499,0.7052,0.5505,0.6786,0.6957,0.7307,0.7177,0.7259,0.704
E3 +FE+Cluster RAW,0.5433,0.6667,0.6095,0.6622,0.5438,0.6337,0.6025,0.6582,0.6993,0.7065,0.6968
E4 +Cluster LOG,0.5363,0.6454,0.6499,0.6715,0.5248,0.6633,0.6914,0.7179,0.7032,0.7056,0.6927
E5 +FE+Cluster LOG,0.5405,0.6696,0.6118,0.6605,0.5124,0.6078,0.6018,0.6691,0.7026,0.6881,0.6942
