Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba
51,6972.504,4908.509,1047.699,0.187,1,0,0.4,1,0.9995974415507465,1,1.0,1,0.88
52,4653.335,6315.891,1063.0,0.246,1,1,0.6,1,0.7297280443926604,1,1.0,1,0.88
53,4969.5,6685.0,1030.0,0.164,1,0,0.4,0,0.21834345019389492,0,0.06719367588932806,1,0.88
54,5424.0,6768.0,1098.0,0.853,1,1,0.6,0,0.41788940498151433,1,1.0,1,0.87
55,7654.096,7280.083,1252.0,0.628,1,1,0.6,1,0.9997390037312168,1,1.0,1,0.87
56,4542.0,6036.0,947.0,0.114,1,0,0.4,0,0.4630142648124385,1,0.7,1,0.87
57,5716.123,7160.875,1038.02,0.438,1,0,0.4,0,0.3638676416997672,1,0.8947368421052632,1,0.87
58,4741.763,6241.317,1092.0,1.262,1,1,1.0,1,0.9999999996295774,1,1.0,1,0.87
59,6417.0,7865.0,889.0,5.287,1,0,0.4,0,0.2360651221393247,1,0.8947368421052632,1,0.87
60,6174.443,7369.29,1034.5,0.449,1,0,0.4,0,0.4500728154846643,1,0.8947368421052632,1,0.87
61,5668.96,6628.041,1284.399,0.216,1,0,0.4,0,0.386362210329624,1,0.8947368421052632,1,0.87
62,6164.058,7410.504,1055.819,0.2,1,0,0.4,0,0.3286324285718311,1,0.8947368421052632,1,0.87
63,8041.528,6522.543,1383.583,0.14,1,0,0.2,1,0.7085222506675632,1,1.0,1,0.86
64,6502.193,7783.962,959.0,1.197,1,0,0.2,0,0.18865125497112128,1,0.8888888888888888,1,0.86
65,4619.826,6358.339,1022.22,0.38,1,1,0.6,1,0.9120144286780878,1,1.0,1,0.86
66,6585.25,8214.579,819.0,0.271,1,0,0.2,1,0.9851443774292489,1,1.0,1,0.86
67,6274.909,7994.661,829.0,0.222,1,1,0.6,1,0.9658988591169136,1,1.0,1,0.86
68,5204.905,7350.857,707.0,0.156,1,0,0.4,0,0.2880813061661314,1,0.8947368421052632,1,0.86
69,5555.229,6806.051,1156.639,3.108,1,1,0.6,1,0.5770051165160649,1,1.0,1,0.85
70,6566.274,7175.239,1134.0,0.63,1,1,0.6,0,0.24647340762199127,1,0.8888888888888888,1,0.85
71,5556.843,6807.053,1156.639,0.713,1,1,0.6,0,0.49711374634475863,1,1.0,1,0.85
72,10781.239,5714.179,1554.56,0.318,1,1,0.6,1,0.9980380074657916,1,1.0,1,0.85
73,6507.0,7857.0,911.0,2.643,1,1,0.8,0,0.14513504164218155,1,0.8947368421052632,1,0.85
74,4601.089,6364.632,1021.28,2.873,1,0,0.2,1,0.9324349862442182,1,1.0,1,0.85
75,7353.587,7342.322,1299.0,0.998,1,1,0.6,0,0.2813230356053745,1,0.8947368421052632,1,0.85
76,6494.297,6741.99,1352.149,0.188,1,0,0.2,0,0.47303990589784256,1,0.8947368421052632,1,0.85
77,4929.0,6655.0,1040.0,1.544,1,1,0.6,1,0.9350150723106849,1,1.0,1,0.85
78,5555.949,6806.014,1156.639,0.493,1,0,0.4,1,0.6993506621338434,1,1.0,1,0.85
79,7634.969,7307.316,1221.0,0.501,1,0,0.2,1,0.8597453840025282,1,1.0,1,0.84
80,6564.0,8249.0,779.0,0.266,1,1,0.8,1,0.9290824994523988,1,1.0,1,0.84
81,4999.0,6744.0,974.0,0.142,1,0,0.4,1,0.577043530255758,1,1.0,1,0.84
82,4784.829,6145.35,1150.0,0.718,1,1,0.6,1,0.9797995097711606,1,1.0,1,0.84
83,6411.0,7961.0,850.0,6.157,1,1,0.8,0,0.21920759292685033,1,0.8947368421052632,1,0.84
84,7354.0,7321.0,1264.0,1.59,1,0,0.4,1,0.6641623709552145,1,1.0,1,0.84
85,7651.098,7262.602,1258.0,1.881,1,1,1.0,1,0.9999797961217572,1,1.0,1,0.83
