Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm,Ridge_pred_ppm,Arbol_Decision_Regressor_pred_ppm,Random_Forest_Regressor_pred_ppm
25,6415.0,7251.0,1107.0,0.028,0,0,0.4,0,0.30166974868139196,0,0.02702702702702703,0,0.13,0.42799043666759107,1.0784137574634285,4.788,3.875685653869407
26,6352.74,6819.014,1352.149,4.392,1,0,0.2,1,0.9895925732388067,1,1.0,0,0.37,1.1532947647043266,3.079825830301458,2.571601384670821,3.754466004622947
27,7669.902,7218.467,1274.0,4.063,1,1,1.0,1,0.9999999996617754,1,1.0,1,0.92,2.8285066576311513,2.3709866436499647,2.283190799812593,3.7144841854559116
28,5561.711,6797.572,1156.639,6.967,1,1,0.6,1,0.780256275524647,1,1.0,1,0.89,1.3511826379778789,2.1482633700122085,10.665890931652221,3.645149502532708
29,4924.965,6626.562,1066.0,6.953,1,1,1.0,1,0.997709939868111,1,1.0,1,0.96,1.925153447300512,2.245857310447062,1.8931737585878774,3.5633201625412174
30,4922.1,6645.0,1051.0,4.788,1,1,1.0,0,0.4043158547272894,1,0.8947368421052632,1,0.91,0.9112279736173343,1.3347688627072893,4.788,3.5448645685367155
31,6528.818,7820.133,941.609,6.185,1,0,0.2,0,0.07062806216565781,1,0.8947368421052632,1,0.71,1.0959431099711523,1.3209145677867076,0.6181337712268828,3.5136544573213895
32,6417.0,7865.0,889.0,5.287,1,0,0.4,0,0.2360651221393247,1,0.8947368421052632,1,0.87,0.9417391941056503,0.6865488004765854,2.283190799812593,3.494384593955499
33,6352.74,6819.014,1352.149,4.363,1,0,0.2,1,0.6361826901305179,1,1.0,1,0.63,1.1532947647043266,1.7185793714229955,2.571601384670821,3.4489888862811924
34,14537.603,9548.218,1452.959,6.451,1,1,0.6,1,0.9995949122693912,1,1.0,1,0.83,1.9484944133852973,6.362725863045441,3.9300265719365046,3.4421618392783344
35,6530.685,7774.565,968.0,4.934,1,1,0.8,0,0.16537504067576939,1,0.8947368421052632,1,0.89,7.0661733112962395,0.9819949078038526,3.7885560479251046,3.2831987549357096
36,5686.08,6607.879,1284.399,3.788,1,1,1.0,1,0.9999999799045882,1,1.0,1,0.82,2.5816483878945053,3.692917149216748,4.509632847636605,3.214311809018694
37,5066.0,6581.0,1094.0,4.538,1,1,0.6,1,0.9999695175433458,1,1.0,1,0.78,1.452418246011122,3.2341893401727364,4.509632847636605,3.196538980938348
38,6529.833,7847.383,936.0,3.389,1,1,0.6,0,0.21142327885227957,0,0.06719367588932806,1,0.57,2.688647734097266,1.0016484129791892,3.7885560479251046,3.11427519724926
