Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm
506,5545.507,6837.096,1156.639,0.026,0,0,0.0,0,0.00015652065622581894,0,0.0,0,0.0,1.1532947647043266
507,5118.653,7184.682,827.0,0.0025,0,0,0.0,0,0.0003361067693893671,0,0.0,0,0.01,1.1532947647043266
508,5421.191,8107.76,537.0,0.0025,0,0,0.0,0,0.0008571443718951202,0,0.0,0,0.0,1.1532947647043266
509,5598.0,7522.0,856.0,0.0025,0,0,0.0,0,0.016297507781935953,0,0.02702702702702703,0,0.03,1.1532947647043266
510,10975.154,7744.34,1346.0,0.0025,0,0,0.0,0,0.00025918914916503753,0,0.0,0,0.01,1.1532947647043266
511,6076.893,7066.71,1156.0,0.009,0,0,0.0,0,0.001363719885478001,0,0.0,0,0.0,1.1532947647043266
512,7983.101,9073.868,1036.0,0.0025,0,0,0.0,0,0.009193139911368478,0,0.0,0,0.0,1.1532947647043266
513,17444.0,8340.0,1287.0,0.1,0,0,0.4,0,0.051271009151459705,0,0.0,0,0.24,1.1519413126655051
514,5881.436,6165.981,1262.0,0.0025,0,0,0.0,0,0.014296179486166571,0,0.0,0,0.0,1.1469140223327945
515,4432.935,6459.181,958.0,0.0025,0,0,0.0,0,0.006020907150569155,0,0.0,0,0.0,1.1469140223327945
516,7849.0,7270.0,1214.0,0.0025,0,0,0.0,0,0.002653972198594328,0,0.0,0,0.0,1.1469140223327945
517,4910.027,6506.048,1105.0,0.026,0,0,0.0,0,0.007062850921015385,0,0.0,0,0.02,1.1469140223327945
518,4912.06,6525.365,1091.0,0.011,0,0,0.0,0,0.001644808817220351,0,0.0,0,0.0,1.1469140223327945
519,6645.285,7494.12,1040.969,0.0025,0,0,0.0,0,0.20321428887462425,0,0.0,0,0.01,1.1453334872395577
520,5582.165,7898.066,660.0,0.0025,0,0,0.0,0,0.002020063052015536,0,0.0,0,0.0,1.1397722206627607
521,7160.631,3496.491,1262.249,0.0025,0,0,0.0,0,0.00039131683135749706,0,0.0,0,0.0,1.1397722206627607
522,4183.024,7636.848,196.69,0.018,0,0,0.0,0,0.0037403339172200362,0,0.06719367588932806,0,0.01,1.1397722206627607
523,5886.0,6149.0,1254.0,0.0025,0,0,0.0,0,0.00012237383441396753,0,0.0,0,0.0,1.1397722206627607
524,4183.924,7636.848,196.69,0.018,0,0,0.0,0,0.00333913436492067,0,0.06719367588932806,0,0.01,1.1397722206627607
525,5497.022,7200.974,956.0,0.0025,0,0,0.0,0,0.004117311381679704,0,0.0,0,0.0,1.1397722206627607
526,4717.783,6123.527,1130.0,0.0025,0,0,0.0,0,0.0014447140218397962,0,0.0,0,0.0,1.1383584500989616
527,7625.0,9168.0,914.0,0.0025,0,0,0.0,0,0.14871559342172957,0,0.0,0,0.02,1.1355087111420565
528,8756.96,5544.4,1312.57,0.056,0,1,0.6,0,0.4368606848595871,0,0.0,0,0.19,1.134095944418832
529,17504.0,8370.0,1297.0,0.029,0,0,0.4,0,0.4556642623297708,0,0.0,1,0.61,1.1310978581523108
530,13489.193,7404.77,1452.45,0.0025,0,0,0.0,0,0.0068533775871805185,0,0.0,0,0.0,1.1293370969151204
531,5221.0,6454.0,1214.0,0.0025,0,0,0.0,0,0.00902628487451242,0,0.0,0,0.0,1.1240297993881097
532,6143.0,6981.0,1257.0,0.005,0,0,0.0,0,0.010215327288100446,0,0.0,0,0.0,1.1240297993881097
533,5635.487,3346.942,1112.64,0.204,1,0,0.4,1,0.876742045379171,1,1.0,1,0.9,1.1239204899949407
534,5929.015,6562.341,1289.0,0.0025,0,0,0.0,0,0.006665198801829266,0,0.0,0,0.0,1.1232672682996205
535,8937.0,5192.0,1170.0,0.0025,0,0,0.0,0,0.017620792500339016,0,0.0,0,0.02,1.1192393677391612
536,8054.023,7068.042,1224.319,0.093,0,0,0.4,0,0.142717289249117,0,0.0,0,0.06,1.1184557493840073
537,6223.649,7274.05,1101.0,0.707,1,0,0.4,1,0.751208791563251,1,1.0,1,0.83,1.1182574418277378
538,6610.596,7633.559,968.0,0.053,0,0,0.4,0,0.07021539527563023,0,0.0,0,0.02,1.1170055073980056
539,5504.041,6986.029,1060.439,0.441,1,1,1.0,1,0.9875781520688287,1,1.0,1,0.91,1.1165379956328834
540,4997.0,6855.0,911.0,0.019,0,0,0.2,0,0.3862471382462785,0,0.0,0,0.05,1.1157901245446196
541,6377.332,7068.32,1143.619,0.393,1,0,0.4,0,0.27805276632461334,0,0.06818181818181818,0,0.45,1.1094226798243005
542,3883.004,7343.405,137.65,0.04,0,0,0.0,0,0.0006776600228365832,0,0.0,0,0.03,1.1077626819371214
543,4492.05,6485.318,883.0,0.018,0,0,0.2,0,0.04919317398691391,0,0.0,0,0.01,1.1069622771272492
544,6357.364,8528.587,619.0,0.0025,0,0,0.0,0,0.014481513023550708,0,0.0,0,0.0,1.1029186177905426
545,5146.0,6408.0,1210.0,0.008,0,0,0.0,0,0.051713823234180174,0,0.0,0,0.0,1.1029186177905426
546,6222.612,7041.92,1277.0,0.0025,0,0,0.0,0,0.006709888460033906,0,0.0,0,0.0,1.1029186177905423
547,6221.44,7041.817,1277.0,0.0025,0,0,0.0,0,0.001948749491545882,0,0.0,0,0.0,1.1029186177905423
548,7777.329,9421.947,1001.08,0.0025,0,0,0.0,0,0.01052142718840589,0,0.0,0,0.02,1.1029186177905423
549,4808.731,6022.562,1130.0,0.0025,0,0,0.0,0,0.003464800289546927,0,0.0,0,0.0,1.1029186177905423
550,7969.636,9072.241,1034.0,0.0025,0,0,0.0,0,0.03648861222345797,0,0.0,0,0.0,1.1029186177905423
551,4954.928,6572.46,1101.0,0.026,0,0,0.0,0,0.006556727650712101,0,0.0,0,0.0,1.1029186177905423
552,5676.019,6626.142,1284.399,0.033,0,0,0.0,0,0.009496073818903232,0,0.0,0,0.0,1.1029186177905423
553,8460.0,4754.0,1137.0,0.0025,0,0,0.0,0,0.002198066464314127,0,0.0,0,0.01,1.1029186177905423
554,7043.0,6955.0,1179.0,0.0025,0,0,0.0,0,0.01139912872567576,0,0.0,0,0.0,1.1029186177905423
555,5476.0,6746.0,1126.0,0.0025,0,0,0.0,0,0.013039473841079084,0,0.0,0,0.0,1.1029186177905423
556,5947.032,6374.022,1301.529,0.0025,0,0,0.0,0,0.006552832157989704,0,0.0,0,0.0,1.1029186177905423
557,9638.037,5563.973,1435.879,2.193,1,0,0.4,1,0.749189094178457,1,0.7,1,0.81,1.1011929026590486
558,5669.038,6632.027,1284.399,1.89,1,1,0.8,1,0.9863445641186718,1,1.0,1,0.77,1.100642979759989
559,9902.0,6303.0,1521.0,0.013,0,0,0.0,0,0.10660401070877484,0,0.0,0,0.07,1.0988401386380073
560,10404.521,6048.041,1484.0,0.005,0,0,0.0,0,0.006637405808547982,0,0.03278688524590164,0,0.01,1.0977090252010062
561,6528.818,7820.133,941.609,6.185,1,0,0.2,0,0.07062806216565781,1,0.8947368421052632,1,0.71,1.0959431099711523
562,5445.411,8326.43,557.0,0.0025,0,0,0.4,0,0.11423987073080846,0,0.0,0,0.02,1.093315064615449
563,6185.0,7104.0,1209.0,0.0025,0,0,0.0,0,0.000997005688237866,0,0.0,0,0.0,1.0908463020349035
564,14297.813,8945.08,1479.419,0.0025,0,0,0.0,0,0.07334254771062368,0,0.0,0,0.02,1.0900570225463067
565,6890.705,8028.199,901.279,0.0025,0,0,0.0,0,0.01652451298400461,0,0.0,0,0.05,1.0851914765150918
566,6121.046,7536.826,921.0,0.0025,0,0,0.2,0,0.04389187939058726,0,0.0,0,0.01,1.0838561349465852
567,7259.886,7654.695,1206.779,0.009,0,0,0.4,0,0.21719017763708992,0,0.0,0,0.11,1.0784491103263023
568,10768.307,7211.44,1354.0,0.0025,0,0,0.0,0,0.017586477705798523,0,0.0,0,0.08,1.0762589786015593
569,7053.0,4168.0,894.0,0.018,0,0,0.0,1,0.9733351190417744,0,0.0,0,0.26,1.0746429851708885
570,7837.401,5371.365,1448.0,0.077,0,0,0.4,1,0.5238226593489518,0,0.0,0,0.18,1.0714396018896521
571,5337.142,6521.718,1186.0,0.005,0,0,0.0,0,0.008260714357815719,0,0.0,0,0.0,1.0700649382387943
572,5421.11,7889.084,656.0,0.0025,0,0,0.0,0,0.22756006636728332,0,0.0,0,0.01,1.0698438891561797
573,5341.0,7902.0,609.0,0.011,0,0,0.0,0,0.26221102595582496,0,0.0,0,0.0,1.0698438891561795
574,5022.0,6829.0,1005.0,0.025,0,0,0.0,0,0.13283799068394028,0,0.06818181818181818,0,0.04,1.0619428101585828
575,5951.538,3707.239,993.34,0.532,1,1,1.0,1,0.9999997923347097,1,1.0,1,0.92,1.0608217103487565
576,4428.391,7574.709,389.0,0.0025,0,0,0.0,0,0.002080638093896054,0,0.03278688524590164,0,0.02,1.0584583235431977
577,14537.849,9549.684,1452.959,0.475,1,1,1.0,1,0.9994685783789888,1,0.7,1,0.78,1.0571207764127415
578,6292.924,9084.253,609.0,0.0025,0,0,0.0,0,0.012367710014612765,0,0.0,0,0.03,1.0558379907780586
579,6620.139,7621.084,1054.389,0.006,0,0,0.2,0,0.10807869787459043,0,0.06719367588932806,0,0.07,1.051685096956809
580,5521.08,8370.677,586.0,0.007,0,0,0.0,0,0.14805434764264425,0,0.0,0,0.05,1.0509155315129313
581,6330.647,7866.237,922.0,0.005,0,0,0.4,0,0.02891846873319059,0,0.06719367588932806,0,0.0,1.0484209665289999
582,7585.278,6345.557,1298.502,0.011,0,0,0.4,0,0.059627566643191444,0,0.06719367588932806,0,0.07,1.0458078355366571
583,7447.608,6456.685,1294.868,0.014,0,0,0.0,0,0.08705036904168635,0,0.06719367588932806,0,0.11,1.0418796983764036
584,4928.0,6654.0,1038.0,1.317,1,1,0.6,1,0.5567926947066762,1,0.8947368421052632,1,0.93,1.0415557013904544
585,4931.0,6656.0,1040.0,0.422,1,0,0.4,1,0.5522429699413862,0,0.07142857142857142,1,0.73,1.0415557013904544
586,4919.0,6694.0,1020.0,1.831,1,0,0.2,1,0.5093867455004075,1,1.0,0,0.5,1.0415557013904542
587,4886.0,6902.0,857.0,0.043,0,1,0.6,0,0.3224582405462954,0,0.02702702702702703,0,0.13,1.0369666975413607
588,7372.0,7821.0,1093.0,0.005,0,0,0.2,0,0.07314302579093171,0,0.0,0,0.01,1.0364103074989914
589,6494.619,7376.817,1048.0,0.008,0,1,0.6,0,0.2540853017810482,0,0.0,0,0.29,1.0345292750177015
590,6524.896,7858.805,941.609,0.079,0,0,0.4,0,0.042539858885342584,1,0.8888888888888888,0,0.18,1.0302431662739948
591,7730.599,6044.462,1345.151,0.018,0,0,0.2,0,0.18998200494882767,0,0.06719367588932806,0,0.1,1.029285708347762
592,5682.075,3747.497,969.12,0.012,0,0,0.0,0,0.32086025500371423,0,0.0,0,0.14,1.0279626331557463
593,6274.909,7994.661,829.0,0.222,1,1,0.6,1,0.9658988591169136,1,1.0,1,0.86,1.0092386497371586
594,3936.127,7387.505,214.0,0.006,0,0,0.0,0,0.001325885782027978,0,0.03278688524590164,0,0.0,1.0092371169952237
595,6369.0,7466.0,993.0,0.037,0,0,0.0,0,0.0692297049926183,0,0.0,0,0.1,1.008237575805208
596,4994.261,8198.576,413.0,0.0025,0,0,0.0,0,0.056686008392750786,0,0.06818181818181818,0,0.01,1.0030876182638038
597,4542.0,6036.0,947.0,0.114,1,0,0.4,0,0.4630142648124385,1,0.7,1,0.87,1.0006603540980765
598,7110.061,7747.009,1026.789,0.005,0,0,0.2,0,0.1631943776587697,0,0.06818181818181818,0,0.05,1.0003336295104497
599,7997.0,8498.0,840.0,0.015,0,0,0.0,0,0.06517998819194154,0,0.06719367588932806,0,0.02,0.9979373264957003
600,7754.63,7450.319,1158.0,0.011,0,0,0.0,0,0.10043730970743786,0,0.0,0,0.03,0.9897188401639937
601,5671.99,6627.611,1284.399,0.742,1,1,1.0,1,0.7106746441422452,1,1.0,1,1.0,0.9845400197203911
602,7879.174,5764.615,1465.839,0.006,0,0,0.2,0,0.1132273699126958,0,0.06719367588932806,0,0.05,0.9816794443744505
603,5902.868,7715.943,763.0,0.009,0,0,0.4,0,0.1532402148538397,0,0.06719367588932806,0,0.11,0.9784904852937808
604,4632.068,6302.892,1037.3,0.266,1,0,0.2,0,0.3876835252846052,0,0.06818181818181818,0,0.07,0.9784068845240059
605,5149.893,7419.615,659.0,0.923,1,1,0.8,0,0.3062954583330091,1,0.8947368421052632,1,0.93,0.97661541503913
606,6167.105,7408.005,1007.0,0.016,0,0,0.4,0,0.19763396397716698,0,0.0,0,0.17,0.9755203442035436
607,7652.186,7268.54,1217.0,0.014,0,0,0.4,0,0.38429807869531163,0,0.07142857142857142,0,0.03,0.9755203442035436
608,6505.977,7827.952,941.609,0.263,1,0,0.2,0,0.0631972099772216,0,0.06818181818181818,1,0.63,0.9676840572370469
609,4912.65,6713.0,1005.0,3.082,1,0,0.4,1,0.6532764316044961,1,0.8947368421052632,1,0.93,0.9670231663849469
610,9489.0,6789.0,1480.0,0.0025,0,0,0.0,0,0.08456007851304659,0,0.06719367588932806,0,0.01,0.9658741651154917
611,7335.0,6499.0,1291.0,0.071,0,0,0.0,0,0.1505747315739275,0,0.06719367588932806,0,0.37,0.9656679669593178
612,5292.0,6407.0,1250.0,0.037,0,0,0.0,0,0.09097529126076538,0,0.06719367588932806,0,0.05,0.9649406259836083
613,5015.0,6729.0,989.0,1.043,1,1,0.6,1,0.9964973421341919,1,1.0,1,0.75,0.9629415178908598
614,5413.998,7121.349,887.999,0.024,0,0,0.0,0,0.08520974835633245,0,0.0,0,0.03,0.9598931867131714
615,7360.87,6499.947,1302.579,0.014,0,0,0.0,0,0.10470510073521103,0,0.0,0,0.1,0.9598931867131714
616,5328.0,6576.0,1129.0,0.077,0,0,0.2,0,0.27380751181912594,0,0.06719367588932806,0,0.03,0.9527541899857099
617,6846.612,7845.824,1031.859,0.078,0,0,0.0,0,0.12068954384111424,0,0.06719367588932806,0,0.09,0.9520482703103158
618,10663.0,5821.0,1457.0,0.017,0,0,0.2,0,0.2118775056929121,0,0.06719367588932806,0,0.02,0.9489345400132062
619,6839.058,7919.794,968.0,0.078,0,0,0.4,0,0.12449206960558575,0,0.02702702702702703,0,0.08,0.9417391941056503
620,8906.997,8785.388,1045.77,0.0025,0,0,0.0,0,0.0005598141883290984,0,0.03278688524590164,0,0.01,0.9417391941056503
621,10041.788,6370.285,1529.95,0.005,0,0,0.0,0,0.05510035755503384,0,0.03278688524590164,0,0.0,0.9417391941056503
622,5816.0,7775.0,724.0,0.011,0,1,0.6,0,0.1591640400190924,0,0.03278688524590164,0,0.0,0.9417391941056503
623,6839.696,7926.911,901.279,0.076,0,0,0.4,0,0.21923370768607622,0,0.03278688524590164,0,0.03,0.9417391941056503
624,8684.346,8882.298,1024.02,0.0025,0,0,0.0,0,0.03273108972641693,0,0.03278688524590164,0,0.01,0.9417391941056503
625,6417.0,7865.0,889.0,5.287,1,0,0.4,0,0.2360651221393247,1,0.8947368421052632,1,0.87,0.9417391941056503
626,7521.699,7263.314,1282.0,1.133,1,1,1.0,1,0.9999457801168155,1,1.0,1,0.95,0.9416866840611569
627,6347.546,7868.278,928.0,0.0025,0,0,0.0,0,0.014613375106578983,0,0.0,0,0.0,0.9372636967418913
628,10827.774,5969.127,1502.0,0.0025,0,0,0.2,0,0.016173175709194115,0,0.0,0,0.01,0.937263696741891
629,4416.0,7582.0,357.0,0.0025,0,0,0.0,0,0.0007028554736676935,0,0.03278688524590164,0,0.0,0.9361369155687657
630,3450.497,6885.612,161.0,0.0025,0,0,0.0,0,0.002204844031307766,0,0.03278688524590164,0,0.01,0.9361369155687657
631,5107.22,8320.15,361.0,0.006,0,0,0.0,0,0.0004005109861765262,0,0.03278688524590164,0,0.0,0.9361369155687654
632,4784.829,6145.35,1150.0,0.718,1,1,0.6,1,0.9797995097711606,1,1.0,1,0.84,0.9351561731396688
633,6142.599,7479.788,1055.819,0.021,0,0,0.0,0,0.03995831659664393,0,0.03278688524590164,0,0.03,0.9345242905373776
634,7823.0,7323.0,1185.0,0.008,0,0,0.0,0,0.04160360031951149,0,0.06719367588932806,0,0.05,0.9339547997281369
635,5337.0,6603.0,1121.0,0.302,1,1,0.6,1,0.5432947584603464,1,1.0,1,0.75,0.9321182120298406
636,7629.716,7324.952,1221.0,1.001,1,1,0.6,1,0.939107710602902,1,1.0,1,0.82,0.9314603079992703
637,7367.743,7316.765,1295.0,0.022,0,0,0.0,0,0.24829126965488624,0,0.06719367588932806,0,0.04,0.929507176139492
638,4620.526,6358.339,1022.22,0.135,1,0,0.4,0,0.29050270151067376,1,0.8888888888888888,1,0.83,0.9283490889700832
639,6555.308,8188.868,802.0,1.751,1,1,0.8,1,0.999829172170269,1,1.0,1,0.83,0.9247197052001033
640,3948.927,7387.505,226.81,0.006,0,0,0.0,0,0.03328487551442727,0,0.0,0,0.0,0.9200187435447968
641,4577.892,6490.05,920.0,0.0025,0,0,0.0,0,0.11012167982081122,0,0.0,0,0.04,0.9189615975002698
642,6410.0,7249.0,1107.0,0.481,1,0,0.2,0,0.31820465490099503,0,0.4666666666666667,1,0.71,0.9167574406836608
643,4386.0,6395.0,863.0,0.079,0,0,0.0,0,0.22819058476219906,0,0.07142857142857142,0,0.04,0.9147984380741099
644,4922.1,6645.0,1051.0,4.788,1,1,1.0,0,0.4043158547272894,1,0.8947368421052632,1,0.91,0.9112279736173343
645,4913.899,6732.387,995.0,0.442,1,1,0.8,0,0.30116188828201773,0,0.4666666666666667,1,0.93,0.9112279736173341
646,5204.905,7350.857,707.0,0.156,1,0,0.4,0,0.2880813061661314,1,0.8947368421052632,1,0.86,0.9097430325617594
647,5455.559,8296.044,540.0,0.044,0,0,0.2,0,0.2800359354403933,0,0.06719367588932806,0,0.01,0.9073950855504441
648,4687.45,7913.95,315.0,0.005,0,0,0.0,0,0.026382038670580907,0,0.06818181818181818,0,0.0,0.9043550322269829
649,5269.0,6292.0,1306.0,0.095,0,0,0.4,0,0.08063525357265829,0,0.0,0,0.03,0.9036786114185575
650,12444.785,9426.588,1361.35,0.052,0,0,0.0,0,0.13104819585614677,0,0.06719367588932806,0,0.12,0.9012565313888131
651,12283.92,9911.181,1378.0,0.01,0,0,0.0,0,0.01721413617175597,0,0.0,0,0.06,0.9011733200336376
652,13419.12,7082.566,1453.09,0.0025,0,0,0.0,0,0.004314513702093024,0,0.0,0,0.0,0.8955250427503684
653,7032.841,8908.628,658.0,0.005,0,0,0.0,0,0.0024146347556245206,0,0.03278688524590164,0,0.04,0.8906803852775735
654,5284.909,8057.846,559.0,0.0025,0,0,0.0,0,0.002133259578076417,0,0.03278688524590164,0,0.0,0.8906803852775735
655,9782.049,6637.738,1408.01,0.018,0,0,0.4,0,0.11546100044951794,0,0.0,0,0.01,0.8872087741027168
656,4917.354,6722.226,1021.0,6.466,1,0,0.4,1,0.5445404554428339,1,0.8947368421052632,1,0.83,0.8871980459880737
657,4636.646,7435.528,523.0,0.045,0,0,0.4,0,0.248985399692575,0,0.06818181818181818,0,0.03,0.8855855521686535
658,3940.427,6443.621,579.0,0.062,0,0,0.2,0,0.013926233736172557,0,0.06719367588932806,0,0.08,0.8848025485272626
659,7193.381,5264.183,1387.149,0.0025,0,0,0.0,0,0.07919013458103595,0,0.06719367588932806,0,0.07,0.8845892290312977
660,7647.106,6134.796,1329.093,0.017,0,1,0.8,0,0.2560391333404014,0,0.38461538461538464,1,0.66,0.8839064638033227
661,5939.501,3655.298,1025.64,0.103,1,0,0.4,1,0.8490441919869146,1,1.0,1,0.77,0.8823024573942919
662,6868.257,5977.895,1080.259,0.0025,0,0,0.0,0,0.048060830377397466,0,0.0,0,0.03,0.8811947458656548
663,6494.224,7362.694,1055.0,0.01,0,0,0.4,0,0.19330113720031314,0,0.0,1,0.57,0.877730958259406
664,5730.094,6776.153,1121.78,0.867,1,1,0.8,1,0.9082930420000274,1,1.0,1,0.75,0.8741207220444243
665,4691.611,6233.29,1094.0,1.743,1,0,0.4,0,0.2782073485924321,0,0.06719367588932806,1,0.83,0.8698079576211376
666,9499.0,6813.0,1450.0,0.007,0,0,0.0,0,0.0692053045199143,0,0.06719367588932806,0,0.01,0.8697524710900213
667,5445.0,6549.0,1222.0,0.011,0,0,0.0,0,0.011633065503772945,0,0.0,0,0.0,0.8688234441075802
668,6519.29,7859.273,941.609,0.402,1,0,0.2,0,0.15618210711077532,0,0.0,0,0.06,0.868046605191306
669,6075.138,7582.255,876.0,0.006,0,0,0.0,0,0.014380464671900694,0,0.03278688524590164,0,0.01,0.867765532360684
670,6062.01,7576.883,867.529,0.014,0,0,0.0,0,0.012063849122849028,0,0.03278688524590164,0,0.01,0.867765532360684
671,3327.0,6108.0,359.0,0.081,0,0,0.0,0,0.030441174744379133,0,0.07142857142857142,0,0.04,0.867765532360684
672,10031.0,6376.0,1529.0,0.011,0,0,0.4,0,0.06560528822371653,0,0.03278688524590164,0,0.0,0.867765532360684
673,9892.451,6741.54,1405.1,0.006,0,0,0.0,0,0.07066561262345364,0,0.0,0,0.08,0.867765532360684
674,6397.0,9029.0,565.0,0.0025,0,0,0.0,0,0.08996872668458648,0,0.03278688524590164,0,0.04,0.867765532360684
675,10943.0,6540.0,1446.0,0.006,0,0,0.0,0,0.025553986584084403,0,0.03278688524590164,0,0.03,0.867765532360684
676,9739.973,6295.477,1498.0,0.188,1,0,0.4,0,0.4913265671479439,1,1.0,1,0.75,0.8666700379865794
677,7169.04,7722.022,1026.789,0.006,0,0,0.0,0,0.17326939680547626,0,0.0,0,0.01,0.8646631803358211
678,5073.0,6457.0,1167.0,0.027,0,0,0.2,0,0.0368239750412704,0,0.0,0,0.02,0.8646042660601592
679,5559.0,6674.0,1185.0,0.0025,0,0,0.0,0,0.015434224608095262,0,0.0,0,0.0,0.8617611582290823
680,14986.584,9037.492,1378.789,0.02,0,0,0.0,0,0.24642124823464318,0,0.06719367588932806,0,0.07,0.860397747634996
681,9454.029,5302.049,1301.459,0.007,0,0,0.0,0,0.09589234566845443,0,0.06818181818181818,0,0.01,0.8582506738470685
682,11060.061,6529.653,1513.0,0.007,0,0,0.0,0,0.021027171522333098,0,0.03278688524590164,0,0.01,0.8560349550808817
683,5647.0,6771.0,1134.0,0.025,0,0,0.0,0,0.11641781284790537,0,0.06719367588932806,0,0.01,0.8535134711339887
684,3885.334,7347.179,138.0,0.008,0,0,0.0,0,0.0025999470961509245,0,0.0,0,0.05,0.8534023509842696
685,7680.332,7237.532,1268.0,0.047,0,0,0.2,0,0.3168006939893826,0,0.4666666666666667,0,0.13,0.8496765178652649
686,6427.052,7799.977,941.609,0.052,0,0,0.2,0,0.1132687964234996,0,0.03278688524590164,0,0.04,0.8492175899817225
687,7827.658,7305.075,1170.169,0.0025,0,0,0.0,0,0.05103758591282617,0,0.03278688524590164,0,0.01,0.8492175899817223
688,7356.0,7344.0,1276.0,2.868,1,0,0.4,0,0.2035602968163872,1,0.8947368421052632,1,0.81,0.8478987936680069
689,10809.965,5979.418,1512.0,0.0025,0,0,0.0,0,0.07242270890593702,0,0.0,0,0.01,0.8471790528365175
690,6361.0,7666.0,878.0,0.005,0,0,0.2,0,0.09278804513756354,0,0.06719367588932806,0,0.02,0.844154319259383
691,6356.0,7572.0,932.0,0.005,0,0,0.0,0,0.028487765768703016,0,0.0,0,0.0,0.844154319259383
692,5415.843,6354.501,1317.0,0.019,0,0,0.2,0,0.09156909502670683,0,0.0,0,0.02,0.8438325933250335
693,7361.0,7467.0,1242.0,0.04,0,0,0.2,0,0.3475309537225146,0,0.06719367588932806,0,0.07,0.8429967966578266
694,4515.0,6105.0,943.0,0.015,0,0,0.0,0,0.09593599729326319,0,0.0,0,0.02,0.8429942430182458
695,4420.0,7591.0,359.0,0.0025,0,0,0.0,0,0.03249615711462402,0,0.0,0,0.0,0.8420463207151766
696,12265.0,9946.0,1349.0,0.012,0,0,0.0,0,0.04810891090926546,0,0.06818181818181818,0,0.03,0.8411970698728144
697,9890.076,6738.958,1404.28,0.005,0,0,0.0,0,0.02750126989096415,0,0.06719367588932806,0,0.02,0.8327186207174274
698,13481.737,7834.28,1461.28,0.01,0,0,0.2,0,0.1238801731660634,0,0.0,0,0.07,0.8317236167013481
699,7391.854,7454.328,1259.0,0.012,0,0,0.0,0,0.06901204461092297,0,0.06719367588932806,0,0.05,0.8317236167013481
700,3943.527,6421.15,586.0,0.01,0,0,0.2,0,0.06484709788188575,0,0.0,0,0.01,0.8314774929919642
701,7572.724,6320.114,1310.916,0.016,0,0,0.0,0,0.02452192355848281,0,0.0,0,0.37,0.8262520108398246
702,7644.533,5312.194,1449.0,0.011,0,0,0.0,0,0.19813655759118826,0,0.06719367588932806,0,0.09,0.8253531010519216
703,7654.096,7280.083,1252.0,0.628,1,1,0.6,1,0.9997390037312168,1,1.0,1,0.87,0.8243452653058795
704,4846.925,6213.846,1157.0,0.017,0,0,0.2,0,0.0417436456869403,0,0.02702702702702703,0,0.01,0.8213559576625606
705,6312.578,9072.216,596.0,0.0025,0,0,0.0,0,0.018720165646474544,0,0.0,0,0.0,0.8213559576625604
706,5341.0,6810.0,1037.0,0.011,0,0,0.2,0,0.11862507705676258,0,0.0,0,0.12,0.8171600738876637
707,6335.46,9129.624,635.0,0.007,0,0,0.0,0,0.018118849814420458,0,0.06818181818181818,0,0.03,0.8144755319233385
708,11027.012,6514.599,1485.18,0.009,0,0,0.0,0,0.017468312187499665,0,0.0,0,0.03,0.8122589821787154
709,7459.135,7360.244,1275.0,0.197,1,1,0.6,1,0.9127673970047963,1,1.0,1,0.83,0.8106390679712429
710,5274.881,6429.832,1240.0,0.0025,0,0,0.0,0,0.010085623732287873,0,0.0,0,0.0,0.8097071188169611
711,6164.288,7407.268,1009.0,0.0025,0,0,0.0,0,0.12644785254873286,0,0.0,0,0.0,0.8085568941486025
712,4749.609,6228.706,1102.0,0.351,1,1,0.8,1,0.7827303215773903,1,0.8947368421052632,1,0.8,0.8085380764918022
713,7706.097,7302.684,1237.0,0.006,0,0,0.0,0,0.08791000060253899,0,0.0,0,0.0,0.8067736461341971
714,9384.0,6263.0,1464.0,0.01,0,0,0.2,0,0.09736363936026393,0,0.06719367588932806,0,0.04,0.8063440383157783
715,10056.202,6374.427,1527.38,0.035,0,0,0.2,0,0.11231731945097363,0,0.06719367588932806,0,0.08,0.8063440383157783
716,6467.292,8361.484,729.0,0.025,0,0,0.2,0,0.014222819630812155,0,0.06719367588932806,0,0.08,0.805353077441053
717,7166.81,5271.386,1387.149,0.0025,0,0,0.0,0,0.17205761397496677,0,0.0,0,0.01,0.8035770337303764
718,5105.83,8322.0,360.0,0.0025,0,0,0.0,0,0.00011305003811796948,0,0.0,0,0.01,0.8020866269231682
719,10811.606,6137.087,1467.77,0.007,0,0,0.0,0,0.09417160276322431,0,0.06818181818181818,0,0.02,0.8015437776205938
720,4687.65,7911.85,316.0,0.0025,0,0,0.0,0,0.010504896955908944,0,0.0,0,0.01,0.8012793179798555
721,4392.777,7690.321,371.0,0.0025,0,0,0.0,0,0.012865866005172252,0,0.0,0,0.0,0.8012793179798555
722,6470.0,7775.0,936.0,0.02,0,0,0.0,0,0.000968441428090477,0,0.0,0,0.01,0.7996322213595494
723,10305.331,6101.508,1476.73,0.012,0,0,0.2,0,0.1011855850291411,0,0.03278688524590164,0,0.05,0.7996322213595494
724,5106.36,8328.474,355.0,0.051,0,0,0.2,0,0.16896478018511182,0,0.0,0,0.16,0.7985651076897643
725,4627.629,6320.873,1030.0,0.073,0,0,0.0,0,0.14523557989417293,0,0.06719367588932806,0,0.21,0.7984280312524447
