Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba,Random_Forest_pred,Random_Forest_proba,KNN_Regressor_pred_ppm
50,5642.476,7842.945,697.0,0.006,0,0,0.0,0,0.16756606340966804,0,0.0,0,0.0,3.072253836069082
51,6227.834,8305.679,650.0,0.012,0,0,0.0,0,0.15339862795498005,0,0.06719367588932806,0,0.01,3.072253836069082
52,5629.737,7831.999,703.0,0.031,0,0,0.4,0,0.1757696124696345,0,0.07142857142857142,0,0.06,3.048327201222622
53,353.0,8869.0,792.0,0.005,0,0,0.0,0,0.0720438959048235,0,0.06719367588932806,0,0.03,3.04463314284921
54,7333.912,6515.929,1286.879,2.721,1,1,0.6,1,0.9906547192075396,1,1.0,1,0.89,3.0402794487787568
55,4656.668,6316.063,1063.0,0.519,1,0,0.4,1,0.8899292813594972,1,1.0,1,0.8,3.0402794487787568
56,5811.0,7865.0,702.0,0.029,0,0,0.0,0,0.17115290178704293,0,0.4666666666666667,0,0.21,2.9458118564907627
57,6433.059,7774.259,937.0,0.067,0,0,0.4,0,0.18478362765239398,0,0.0,0,0.17,2.945811856490762
58,4929.0,6655.0,1040.0,1.544,1,1,0.6,1,0.9350150723106849,1,1.0,1,0.85,2.941836627490244
59,3880.602,7340.998,137.0,0.0025,0,0,0.2,0,0.07333291612067762,0,0.0,0,0.04,2.8732930035625777
60,4681.005,6257.046,1088.0,13.957,1,1,1.0,1,0.999999999999998,1,1.0,0,0.48,2.839552303891425
61,10508.997,9305.912,1307.0,0.0025,0,0,0.0,0,0.0715189960941711,0,0.0,0,0.03,2.837357724324578
62,7669.902,7218.467,1274.0,4.063,1,1,1.0,1,0.9999999996617754,1,1.0,1,0.92,2.8285066576311513
63,4500.0,7796.0,333.0,0.006,0,0,0.2,0,0.06597995591967967,0,0.06818181818181818,0,0.07,2.8012899384595498
64,8167.498,6296.955,1403.378,0.077,0,1,0.6,0,0.1528585953009456,0,0.06719367588932806,0,0.05,2.7770069720289445
65,6550.153,7726.833,969.0,0.176,1,1,0.6,0,0.17188501964814626,0,0.0,0,0.16,2.770391134357018
66,5748.037,5877.193,1150.0,0.019,0,0,0.0,1,0.6631526008029742,0,0.0,0,0.05,2.732977585180685
67,5255.0,3758.0,877.0,0.032,0,0,0.2,0,0.2546213455094592,0,0.0,0,0.0,2.6971003389217194
68,4630.0,7871.0,316.0,0.01,0,0,0.0,0,0.08295517722935077,0,0.06719367588932806,0,0.02,2.690370707725244
69,6529.833,7847.383,936.0,3.389,1,1,0.6,0,0.21142327885227957,0,0.06719367588932806,1,0.57,2.688647734097266
70,8450.08,6044.907,1444.589,0.086,0,1,0.8,0,0.39325241455309706,0,0.06818181818181818,0,0.12,2.649178063644281
71,4993.0,8197.0,396.0,0.0025,0,0,0.0,0,0.0782169813791213,0,0.0,0,0.01,2.6474973578345073
72,7523.241,7290.346,1275.0,0.035,0,0,0.2,0,0.16971964678726073,0,0.06719367588932806,0,0.02,2.6474973578345073
73,5710.122,7776.634,748.0,0.0025,0,0,0.2,0,0.16662390177449324,0,0.0,0,0.08,2.6474973578345073
74,4716.0,7924.0,287.0,0.0025,0,0,0.0,0,0.09123391017165933,0,0.0,0,0.0,2.6474973578345073
75,4994.65,8198.165,413.0,0.0025,0,0,0.0,0,0.13768224445605096,0,0.0,0,0.02,2.6474973578345073
76,5668.96,6628.041,1284.399,0.216,1,0,0.4,0,0.386362210329624,1,0.8947368421052632,1,0.87,2.6474973578345065
77,3366.177,6982.82,43.0,0.019,0,0,0.0,0,0.03377369663533998,0,0.38461538461538464,0,0.05,2.6474973578345065
78,4592.201,6508.979,885.0,0.033,0,0,0.2,0,0.1474214650630873,0,0.0,0,0.07,2.6474973578345065
79,4845.475,8046.445,320.0,0.0025,0,0,0.2,0,0.10523802347311219,0,0.0,0,0.05,2.6474973578345065
80,6589.0,7741.0,1010.0,0.0025,0,0,0.2,0,0.1749313279747421,0,0.0,0,0.01,2.6474973578345065
81,3883.004,7343.405,138.0,0.0025,0,0,0.0,0,0.06651436038343586,0,0.02702702702702703,0,0.05,2.6474973578345065
82,4750.0,7966.4,275.0,0.0025,0,0,0.0,0,0.06343031854286364,0,0.0,0,0.01,2.6226252633181457
83,6525.819,7759.798,971.0,0.836,1,1,0.6,0,0.23633165392145056,1,0.8888888888888888,1,0.67,2.619919615602302
84,5748.141,5875.98,1150.0,0.007,0,0,0.2,1,0.6855198431558581,0,0.0,0,0.1,2.5945916770908535
85,4769.826,6597.82,956.0,4.187,1,1,1.0,1,0.9999999982063272,1,1.0,1,0.67,2.5816483878945062
86,5686.08,6607.879,1284.399,3.788,1,1,1.0,1,0.9999999799045882,1,1.0,1,0.82,2.5816483878945053
87,6534.289,7776.823,941.609,4.41,1,1,0.6,0,0.21296416655736733,1,0.8947368421052632,1,0.89,2.556802164978831
