Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba
70,4929.0,6655.0,1040.0,1.544,1,1,0.6,1,0.9350150723106849
71,4601.089,6364.632,1021.28,2.873,1,0,0.2,1,0.9324349862442182
72,6564.0,8249.0,779.0,0.266,1,1,0.8,1,0.9290824994523988
73,5861.0,3911.0,859.0,0.163,1,0,0.4,1,0.9179846079846927
74,4605.0,6333.0,1010.0,0.272,1,0,0.4,1,0.917527944900248
75,7459.135,7360.244,1275.0,0.197,1,1,0.6,1,0.9127673970047963
76,4619.826,6358.339,1022.22,0.38,1,1,0.6,1,0.9120144286780878
77,5730.094,6776.153,1121.78,0.867,1,1,0.8,1,0.9082930420000274
78,4656.668,6316.063,1063.0,0.519,1,0,0.4,1,0.8899292813594972
79,12571.0,9326.0,1258.0,0.114,1,1,0.8,1,0.8861345091474181
80,9717.313,3175.588,1463.229,0.29,1,0,0.2,1,0.879154358987684
81,5635.487,3346.942,1112.64,0.204,1,0,0.4,1,0.876742045379171
82,12235.003,9655.366,1353.57,0.184,1,1,0.8,1,0.864732782229154
83,7634.969,7307.316,1221.0,0.501,1,0,0.2,1,0.8597453840025282
84,7270.265,3810.471,1200.709,0.245,1,0,0.4,1,0.8548816165455901
85,7806.013,3268.358,1452.149,0.017,0,0,0.2,1,0.8517170253372456
86,20654.0,6445.0,1305.0,0.68,1,1,0.6,1,0.8499232382307371
87,5939.501,3655.298,1025.64,0.103,1,0,0.4,1,0.8490441919869146
88,7349.0,7315.0,1268.0,1.103,1,1,0.6,1,0.825577512274301
89,4696.996,6207.026,1085.0,0.099,0,0,0.4,1,0.8229617420240465
90,5670.158,6626.205,1284.399,0.115,1,0,0.2,1,0.8178685242534434
91,4930.0,6656.0,1036.0,1.738,1,1,1.0,1,0.807615501390425
92,5672.192,6625.17,1218.0,0.544,1,1,0.6,1,0.7958886003081315
93,5670.538,6624.916,1218.0,0.317,1,1,1.0,1,0.7931096049992049
94,4930.0,6655.0,1039.0,1.001,1,1,0.6,1,0.788137240243973
95,4749.609,6228.706,1102.0,0.351,1,1,0.8,1,0.7827303215773903
96,5561.711,6797.572,1156.639,6.967,1,1,0.6,1,0.780256275524647
97,12418.742,6312.14,1511.66,0.372,1,1,0.6,1,0.7779571621311974
98,12184.714,9619.928,1349.43,0.236,1,0,0.4,1,0.7776184726191064
99,6223.649,7274.05,1101.0,0.707,1,0,0.4,1,0.751208791563251
100,9638.037,5563.973,1435.879,2.193,1,0,0.4,1,0.749189094178457
101,7444.054,7339.262,1281.0,0.321,1,0,0.4,1,0.7351928062332271
102,10781.339,5714.579,1554.56,0.014,0,0,0.2,1,0.7350208289969452
103,4653.335,6315.891,1063.0,0.246,1,1,0.6,1,0.7297280443926604
104,4696.846,6207.026,1085.0,0.067,0,0,0.4,1,0.7294292926503808
105,5756.057,3348.502,1143.0,0.054,0,0,0.4,1,0.7208362258788261
106,13162.24,7721.219,1399.0,0.132,1,1,0.6,1,0.7197351114259529
107,5671.99,6627.611,1284.399,0.742,1,1,1.0,1,0.7106746441422452
108,8041.528,6522.543,1383.583,0.14,1,0,0.2,1,0.7085222506675632
109,5555.949,6806.014,1156.639,0.493,1,0,0.4,1,0.6993506621338434
110,5671.274,6625.091,1218.0,2.35,1,1,0.8,1,0.6936260848290501
111,5748.141,5875.98,1150.0,0.007,0,0,0.2,1,0.6855198431558581
112,9799.325,6367.975,1475.0,0.093,0,0,0.2,1,0.6845540047014678
113,5636.0,6198.0,1233.0,0.008,0,0,0.0,1,0.6844785127851339
114,5266.044,7286.197,716.069,2.02,1,1,0.6,1,0.6830802039040462
115,7354.0,7321.0,1264.0,1.59,1,0,0.4,1,0.6641623709552145
116,5748.037,5877.193,1150.0,0.019,0,0,0.0,1,0.6631526008029742
117,7521.0,7266.0,1282.0,0.586,1,1,0.8,1,0.6577263540542126
118,4912.65,6713.0,1005.0,3.082,1,0,0.4,1,0.6532764316044961
119,5566.688,6787.367,1089.0,0.114,1,0,0.4,1,0.6521301097555738
120,4962.0,6661.0,1045.0,0.102,1,1,0.8,1,0.6517857980618921
121,7359.948,7465.966,1280.549,0.292,1,0,0.0,1,0.6459927755550388
122,3367.765,6979.527,43.0,0.071,0,0,0.4,1,0.6397717194872576
123,4525.12,7814.83,321.0,0.123,1,0,0.2,1,0.6379503158928485
124,6352.74,6819.014,1352.149,4.363,1,0,0.2,1,0.6361826901305179
125,13568.183,7743.042,1492.0,0.143,1,0,0.4,1,0.6188798803710629
126,4916.943,6722.159,1021.0,0.434,1,0,0.2,1,0.6040099397571328
127,4916.8,6713.0,1005.0,5.153,1,0,0.4,1,0.5927316136151075
128,11747.495,5863.982,1459.979,0.17,1,0,0.4,1,0.5884957123521409
129,4925.0,8133.0,332.0,0.03,0,0,0.0,1,0.5858113745288248
130,12425.317,9432.147,1369.02,0.071,0,0,0.4,1,0.5854311847999734
131,4999.0,6744.0,974.0,0.142,1,0,0.4,1,0.577043530255758
132,5555.229,6806.051,1156.639,3.108,1,1,0.6,1,0.5770051165160649
133,7746.633,3283.81,1452.149,0.063,0,0,0.2,1,0.5733285014141498
134,6973.099,4908.679,1117.0,0.401,1,0,0.2,1,0.5657831073282102
135,4635.889,6191.478,1039.0,0.041,0,1,0.6,1,0.5636408273319233
136,4928.0,6654.0,1038.0,1.317,1,1,0.6,1,0.5567926947066762
137,4931.0,6656.0,1040.0,0.422,1,0,0.4,1,0.5522429699413862
138,5287.779,7999.252,564.0,0.0025,0,0,0.0,1,0.5455994308812319
139,4917.354,6722.226,1021.0,6.466,1,0,0.4,1,0.5445404554428339
140,5337.0,6603.0,1121.0,0.302,1,1,0.6,1,0.5432947584603464
141,6581.0,7080.0,1177.0,0.28,1,0,0.2,1,0.5378558005565648
142,7837.401,5371.365,1448.0,0.077,0,0,0.4,1,0.5238226593489518
143,7570.82,7393.386,1226.0,0.007,0,0,0.2,1,0.5217922383440241
144,4919.0,6694.0,1020.0,1.831,1,0,0.2,1,0.5093867455004075
145,4963.1,6649.0,1053.0,1.405,1,1,0.6,1,0.502948258039929
