Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba
111,4912.899,6732.387,995.0,0.333,1,1,0.6
112,6530.422,7826.883,941.609,1.304,1,1,0.6
113,6527.941,7809.983,941.609,1.077,1,1,0.6
114,4884.0,6819.0,910.0,0.031,0,1,0.6
115,7559.0,7715.0,1108.0,0.0025,0,1,0.6
116,5424.0,6768.0,1098.0,0.853,1,1,0.6
117,12565.265,9342.622,1297.56,0.048,0,1,0.6
118,12418.742,6312.14,1511.66,0.372,1,1,0.6
119,12099.47,6411.755,1376.0,0.0025,0,1,0.6
120,10781.239,5714.179,1554.56,0.318,1,1,0.6
121,8756.96,5544.4,1312.57,0.056,0,1,0.6
122,9748.088,7293.679,1274.99,0.165,1,1,0.6
123,8067.281,5575.402,1503.0,0.037,0,1,0.6
124,7177.255,7692.244,1077.0,0.017,0,1,0.6
125,7353.587,7342.322,1299.0,0.998,1,1,0.6
126,7474.034,7385.265,1266.0,0.167,1,1,0.6
127,7459.135,7360.244,1275.0,0.197,1,1,0.6
128,7538.573,7314.581,1266.0,0.134,1,1,0.6
129,7629.716,7324.952,1221.0,1.001,1,1,0.6
130,8167.498,6296.955,1403.378,0.077,0,1,0.6
131,7811.14,6926.42,1336.467,0.005,0,1,0.6
132,7688.593,6086.985,1346.024,0.0025,0,1,0.6
133,12479.768,9390.582,1367.0,0.882,1,1,0.6
134,13082.933,7638.933,1385.0,8.391,1,1,0.6
135,13162.24,7721.219,1399.0,0.132,1,1,0.6
136,13083.354,7638.403,1385.0,16.681,1,1,0.6
137,6500.656,7831.902,931.0,22.424,1,1,0.6
138,6528.118,7809.41,960.0,1.358,1,1,0.6
139,6529.833,7847.383,936.0,3.389,1,1,0.6
140,6432.989,7796.449,935.0,0.422,1,1,0.6
141,7349.0,7315.0,1268.0,1.103,1,1,0.6
142,6525.819,7759.798,971.0,0.836,1,1,0.6
143,6550.153,7726.833,969.0,0.176,1,1,0.6
144,6531.783,7789.934,965.0,13.727,1,1,0.6
145,5752.0,7944.0,632.0,0.005,0,1,0.6
146,6183.13,7394.712,1013.0,0.008,0,1,0.6
147,6383.933,7059.859,1228.0,0.225,1,1,0.6
148,4711.0,6292.0,1057.0,0.693,1,1,0.6
149,5548.681,6813.17,1073.0,0.187,1,1,0.6
150,5779.0,7932.0,636.0,0.157,1,1,0.6
151,5672.192,6625.17,1218.0,0.544,1,1,0.6
152,5712.936,7851.486,710.0,0.0025,0,1,0.6
153,6574.0,7159.0,1131.0,0.025,0,1,0.6
154,5816.0,7775.0,724.0,0.011,0,1,0.6
155,20654.0,6445.0,1305.0,0.68,1,1,0.6
