Rank,East,North,Level,Au_ppm,target_Au,KNN_pred,KNN_proba,Regresion_Logistica_pred,Regresion_Logistica_proba,Arbol_Decision_pred,Arbol_Decision_proba
69,10756.416,5703.675,1545.18,0.024,0,0,0.0,0,0.10742063944787626,1,1.0
70,9748.088,7293.679,1274.99,0.165,1,1,0.6,0,0.19717464596716416,1,1.0
71,9739.973,6295.477,1498.0,0.188,1,0,0.4,0,0.4913265671479439,1,1.0
72,5939.501,3655.298,1025.64,0.103,1,0,0.4,1,0.8490441919869146,1,1.0
73,5951.538,3707.239,993.34,0.532,1,1,1.0,1,0.9999997923347097,1,1.0
74,10781.239,5714.179,1554.56,0.318,1,1,0.6,1,0.9980380074657916,1,1.0
75,5106.18,8329.73,355.0,0.113,1,0,0.2,0,0.32438708744760136,1,1.0
76,4688.76,6297.202,1068.0,0.209,1,0,0.0,0,0.3469292797608994,1,1.0
77,4681.005,6257.046,1088.0,13.957,1,1,1.0,1,0.999999999999998,1,1.0
78,4587.0,6403.0,1007.0,0.119,1,0,0.2,0,0.041245435078905116,1,1.0
79,4726.049,6254.175,1092.0,4.093,1,1,0.8,1,0.9999960869239182,1,1.0
80,4601.089,6364.632,1021.28,2.873,1,0,0.2,1,0.9324349862442182,1,1.0
81,4619.826,6358.339,1022.22,0.38,1,1,0.6,1,0.9120144286780878,1,1.0
82,4653.335,6315.891,1063.0,0.246,1,1,0.6,1,0.7297280443926604,1,1.0
83,4656.668,6316.063,1063.0,0.519,1,0,0.4,1,0.8899292813594972,1,1.0
84,4741.763,6241.317,1092.0,1.262,1,1,1.0,1,0.9999999996295774,1,1.0
85,4717.746,6243.939,1077.0,0.754,1,0,0.2,0,0.08969442679042265,1,1.0
86,4685.526,6211.428,1080.0,0.555,1,0,0.4,0,0.20812337486241583,1,1.0
87,4686.67,6204.417,1080.0,0.855,1,1,0.8,1,0.9998635525752001,1,1.0
88,4365.662,6437.495,826.0,2.133,1,0,0.4,0,0.46611921279897167,1,1.0
89,4372.395,6423.466,837.0,0.879,1,0,0.2,0,0.10647086158795176,1,1.0
90,4380.674,6388.949,890.0,0.976,1,0,0.4,0,0.08860245498329783,1,1.0
91,4448.574,6502.089,832.0,0.463,1,0,0.2,0,0.14584805371459042,1,1.0
92,4487.885,6418.159,947.0,0.028,0,0,0.0,0,0.05719719856409192,1,1.0
93,4525.12,7814.83,321.0,0.123,1,0,0.2,1,0.6379503158928485,1,1.0
94,4403.0,7712.0,356.0,0.17,1,0,0.2,0,0.03655201690123207,1,1.0
95,5861.0,3911.0,859.0,0.163,1,0,0.4,1,0.9179846079846927,1,1.0
96,4999.0,6744.0,974.0,0.142,1,0,0.4,1,0.577043530255758,1,1.0
97,5337.0,6603.0,1121.0,0.302,1,1,0.6,1,0.5432947584603464,1,1.0
98,5015.0,6729.0,989.0,1.043,1,1,0.6,1,0.9964973421341919,1,1.0
99,5105.0,6609.0,1060.0,0.111,1,0,0.4,0,0.36673652893833714,1,1.0
100,5670.538,6624.916,1218.0,0.317,1,1,1.0,1,0.7931096049992049,1,1.0
101,5671.274,6625.091,1218.0,2.35,1,1,0.8,1,0.6936260848290501,1,1.0
102,3706.803,6092.985,573.0,0.35,1,0,0.4,0,0.14394988138337156,1,1.0
103,20654.0,6445.0,1305.0,0.68,1,1,0.6,1,0.8499232382307371,1,1.0
104,6586.0,7102.0,1158.0,1.221,1,0,0.4,1,0.9795860821003446,1,1.0
105,20477.0,6665.0,1264.0,0.361,1,0,0.4,1,0.9855255560108858,1,1.0
106,6581.0,7080.0,1177.0,0.28,1,0,0.2,1,0.5378558005565648,1,1.0
107,5672.192,6625.17,1218.0,0.544,1,1,0.6,1,0.7958886003081315,1,1.0
108,6471.14,6998.602,1227.0,0.868,1,0,0.4,1,0.9749989480548384,1,1.0
109,6383.933,7059.859,1228.0,0.225,1,1,0.6,0,0.2886472846441398,1,1.0
110,5669.828,6624.638,1218.0,0.261,1,0,0.4,1,0.9946529019091985,1,1.0
111,6223.649,7274.05,1101.0,0.707,1,0,0.4,1,0.751208791563251,1,1.0
112,6466.76,6960.407,1252.0,1.887,1,1,1.0,1,0.9978301956814183,1,1.0
113,6432.989,7796.449,935.0,0.422,1,1,0.6,0,0.14326497213431616,1,1.0
114,6564.0,8249.0,779.0,0.266,1,1,0.8,1,0.9290824994523988,1,1.0
115,7521.0,7266.0,1282.0,0.586,1,1,0.8,1,0.6577263540542126,1,1.0
116,12291.151,9344.202,1358.05,0.017,0,0,0.0,0,0.0026640013673611875,1,1.0
117,12571.0,9326.0,1258.0,0.114,1,1,0.8,1,0.8861345091474181,1,1.0
118,13568.183,7743.042,1492.0,0.143,1,0,0.4,1,0.6188798803710629,1,1.0
119,7352.0,7355.0,1272.0,0.168,1,0,0.4,0,0.45068309470345425,1,1.0
120,7354.0,7321.0,1264.0,1.59,1,0,0.4,1,0.6641623709552145,1,1.0
121,7349.0,7315.0,1268.0,1.103,1,1,0.6,1,0.825577512274301,1,1.0
122,7347.0,7301.0,1265.0,2.376,1,0,0.4,0,0.36455669028766374,1,1.0
123,7459.135,7360.244,1275.0,0.197,1,1,0.6,1,0.9127673970047963,1,1.0
124,7444.054,7339.262,1281.0,0.321,1,0,0.4,1,0.7351928062332271,1,1.0
125,7521.699,7263.314,1282.0,1.133,1,1,1.0,1,0.9999457801168155,1,1.0
126,7629.716,7324.952,1221.0,1.001,1,1,0.6,1,0.939107710602902,1,1.0
127,7669.902,7218.467,1274.0,4.063,1,1,1.0,1,0.9999999996617754,1,1.0
128,7634.969,7307.316,1221.0,0.501,1,0,0.2,1,0.8597453840025282,1,1.0
129,7668.103,7227.104,1273.0,2.625,1,1,0.8,1,0.9953897482772758,1,1.0
130,8041.528,6522.543,1383.583,0.14,1,0,0.2,1,0.7085222506675632,1,1.0
131,5730.094,6776.153,1121.78,0.867,1,1,0.8,1,0.9082930420000274,1,1.0
132,12418.742,6312.14,1511.66,0.372,1,1,0.6,1,0.7779571621311974,1,1.0
133,12479.768,9390.582,1367.0,0.882,1,1,0.6,1,0.9915827373823907,1,1.0
134,12184.714,9619.928,1349.43,0.236,1,0,0.4,1,0.7776184726191064,1,1.0
135,12235.003,9655.366,1353.57,0.184,1,1,0.8,1,0.864732782229154,1,1.0
136,13082.933,7638.933,1385.0,8.391,1,1,0.6,1,0.9999318040252695,1,1.0
137,13083.354,7638.403,1385.0,16.681,1,1,0.6,1,0.9999999727105974,1,1.0
138,13273.051,7774.233,1386.92,0.211,1,1,1.0,1,0.9999999997418847,1,1.0
139,10777.316,5702.359,1551.11,0.135,1,0,0.2,0,0.1419220347170927,1,1.0
140,5772.328,3350.648,1143.47,0.171,1,0,0.4,1,0.9792496947164205,1,1.0
141,5734.634,3345.364,1143.99,0.23,1,0,0.4,1,0.9955221590843161,1,1.0
142,5730.086,3349.171,1143.25,0.102,1,1,1.0,1,0.9999786437226094,1,1.0
143,5705.875,3342.532,1138.08,0.309,1,1,0.8,1,0.9999238802061945,1,1.0
144,13481.987,7834.53,1461.28,0.093,0,0,0.0,0,0.03519946240542901,1,1.0
145,6973.099,4908.679,1117.0,0.401,1,0,0.2,1,0.5657831073282102,1,1.0
