slice,categoria,n,n_pos,f2,f2_lo,f2_hi,elegible,delta_vs_global
Banda prob.,Baja,569,1,,,,False,
Banda prob.,Media,568,17,0.0,0.0,0.0,True,-0.7102952913008779
Banda prob.,Alta,568,190,0.7534,0.7124,0.7893,True,0.043104708699122085
Concordancia,0,1137,18,0.0,0.0,0.0,True,-0.7102952913008779
Concordancia,1,164,15,0.282,0.1111,0.4587,True,-0.4282952913008779
Concordancia,2,109,21,0.5391,0.3929,0.6618,True,-0.17119529130087785
Concordancia,3,295,154,0.8448,0.8126,0.8733,True,0.13450470869912212
Cercanía Au,Lejos-neg,1417,0,,,,False,
Cercanía Au,Borde,105,25,0.5563,0.4104,0.6863,True,-0.15399529130087786
Cercanía Au,Lejos-pos,183,183,0.8915,0.8503,0.9333,True,0.18120470869912209
Cuadrante XY,NE,446,43,0.6599,0.5556,0.7491,True,-0.05039529130087783
Cuadrante XY,NW,407,58,0.7258,0.6371,0.8,True,0.015504708699122127
Cuadrante XY,SE,407,20,0.4972,0.3378,0.6359,True,-0.2130952913008779
Cuadrante XY,SW,445,87,0.7871,0.7251,0.8411,True,0.07680470869912215
Franja Z,Inferior,568,74,0.667,0.5854,0.7424,True,-0.043295291300877836
Franja Z,Media,568,97,0.8017,0.7455,0.8497,True,0.0914047086991221
Franja Z,Superior,569,37,0.5765,0.4651,0.6757,True,-0.13379529130087786
Densidad esp.,Densa,568,112,0.7488,0.6878,0.805,True,0.03850470869912215
Densidad esp.,Media,568,58,0.6436,0.5521,0.7212,True,-0.06669529130087792
Densidad esp.,Aislada,569,38,0.7022,0.5947,0.7914,True,-0.008095291300877827
Cluster,0,786,69,0.6478,0.5604,0.7238,True,-0.06249529130087783
Cluster,1,261,6,0.6082,0.1923,0.9091,True,-0.10209529130087791
Cluster,2,433,77,0.6971,0.6237,0.7609,True,-0.01319529130087782
Cluster,3,225,56,0.811,0.745,0.8671,True,0.10070470869912218
SHAP_Sb_ppm,T1,568,6,0.5379,0.1724,0.814,True,-0.17239529130087783
SHAP_Sb_ppm,T2,569,38,0.5602,0.4406,0.6705,True,-0.15009529130087784
SHAP_Sb_ppm,T3,568,164,0.7508,0.7061,0.7926,True,0.04050470869912215
SHAP_Te_ppm,Bajo,1167,91,0.6244,0.5444,0.6963,True,-0.08589529130087792
SHAP_Te_ppm,Alto,538,117,0.7739,0.7273,0.8206,True,0.06360470869912216
SHAP_Se_ppm,Bajo,1393,115,0.6149,0.5456,0.6797,True,-0.09539529130087787
SHAP_Se_ppm,Alto,312,93,0.8354,0.7867,0.8756,True,0.12510470869912216
SHAP_As_ppm,T1,569,32,0.7576,0.6481,0.8466,True,0.04730470869912218
SHAP_As_ppm,T2,567,65,0.6658,0.5786,0.7438,True,-0.044495291300877926
SHAP_As_ppm,T3,569,111,0.7188,0.6562,0.7698,True,0.008504708699122121
SHAP_Mo_ppm,T1,568,38,0.7037,0.6024,0.7925,True,-0.006595291300877881
SHAP_Mo_ppm,T2,568,41,0.6444,0.5286,0.7426,True,-0.0658952913008779
SHAP_Mo_ppm,T3,569,129,0.7309,0.6759,0.7819,True,0.02060470869912212
