feature,mean_abs_shap,cum_frac
Nb_ppm,0.040737006979293604,0.9542256791680556
Sb_ppm__over__Sr_ppm,0.04011834976022177,0.9560490906284517
V_ppm,0.0397598585951959,0.9578562083753062
Ce_ppm,0.038421295833217566,0.9596024873614629
Cr_ppm__over__Sr_ppm,0.03789748605233021,0.9613249587692111
Tl_ppm,0.036867482786553385,0.9630006156950505
Ni_ppm__over__Y_ppm,0.03596764279600469,0.9646353741651684
Ga_ppm__over__Tl_ppm,0.03561099182184184,0.9662539225599083
Na_per__over__Sn_ppm,0.03538728358820809,0.9678623032344046
Mn_ppm__over__U_ppm,0.03522132556149528,0.9694631409822936
Hf_ppm,0.033840336115426174,0.9710012116423611
Ba_ppm,0.033700526353571916,0.9725329278356184
La_ppm__over__Y_ppm,0.03238014788238103,0.9740046317589088
P_ppm,0.030856583202530454,0.9754070884346306
Cd_ppm,0.03074308200704403,0.9768043863891723
Ca_per,0.030650356844245833,0.9781974699100315
Cd_ppm__over__P_ppm,0.030558702333453168,0.9795863876592084
Ba_ppm__over__S_per,0.029651399355189113,0.9809340677538329
Ti_per__over__U_ppm,0.028132460239067895,0.9822127108365032
Ga_ppm__over__Nb_ppm,0.02731449801737635,0.983454176874302
Cr_ppm__over__Sn_ppm,0.027213888815778207,0.9846910701424754
Co_ppm,0.025142669167746767,0.9858338248016133
Nb_ppm__over__V_ppm,0.02489712315637679,0.9869654191958385
Mg_per__over__U_ppm,0.0234078008743986,0.9880293226871871
Fe_per__over__Sr_ppm,0.021903485864089592,0.9890248538440247
Sr_ppm__over__W_ppm,0.02133039876173349,0.9899943377283178
Bi_ppm__over__P_ppm,0.02113482869065352,0.9909549327946248
Co_ppm__over__W_ppm,0.02074041655119589,0.9918976015100348
Cs_ppm__over__Ta_ppm,0.020166176252573446,0.9928141705391968
K_per,0.019313722640682585,0.9936919948618925
Be_ppm__over__Sr_ppm,0.018753650897263437,0.9945443634706393
Th_ppm,0.018261398018240487,0.9953743587877032
Al_per,0.01792389328629964,0.9961890142415913
gmm_label_log,0.016823176722155914,0.9969536412369385
Ti_per,0.015501746504417468,0.9976582081595874
Ca_per__over__Mo_ppm,0.015467094591078428,0.9983612001247346
Co_ppm__over__K_per,0.014516750405208407,0.9990209981776149
Cr_ppm__over__Hf_ppm,0.012694667382805919,0.9995979810826964
Sc_ppm,0.005619087775323308,0.9998533731690542
Re_ppm,0.003226055454764916,0.9999999999999993
kmeans_label_log,0.0,0.9999999999999993
dbscan_outlier_log,0.0,0.9999999999999993
