East,North,Level,Au_ppm,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au
7638.491,5312.616,1412.109,0.016,0.689,2.38,36.16,186.54,0.35,0.005,0.08,0.12,6.94,1.34,23.59,6.35,5.69,1.69,5.67,0.025,0.58,0.86,3.65,0.11,120.23,11.8,0.02,1.11,1.24,229.36,52.65,65.99,0.001,0.01,33.49,4.12,0.5,0.37,9.83,0.08,0.096,0.78,0.08,0.72,0.31,52.71,1.03,2.32,34.87,17.05,0
7572.304,5131.126,1417.039,0.009,0.587,2.15,7.47,105.93,0.37,0.005,18.34,0.13,14.78,4.17,12.4,4.26,39.44,1.63,4.67,0.025,0.39,0.77,7.27,0.42,1744.53,0.2,0.02,1.59,3.2,272.58,10.63,45.12,0.001,0.005,10.38,4.37,0.5,0.39,121.12,0.13,0.025,0.79,0.12,0.5,0.19,40.5,1.44,6.03,26.3,13.63,0
7473.67,5171.429,1417.039,0.0025,0.271,5.55,4.9,507.68,1.51,0.15,0.47,0.21,40.97,0.86,4.12,7.75,3.33,0.79,13.4,0.15,1.9,2.93,26.39,0.18,352.19,0.84,0.04,6.99,0.5,60.29,15.31,193.91,0.001,0.005,3.51,2.38,0.5,2.96,21.37,0.83,0.025,16.82,0.03,1.82,5.01,1.08,0.69,15.13,34.18,47.7,0
7464.106,5159.966,1417.039,0.0025,0.254,8.01,4.09,801.62,1.11,0.05,3.06,0.05,35.32,18.98,44.62,3.75,17.07,5.62,19.6,0.1,1.28,2.28,17.14,1.97,1275.78,0.14,2.47,6.83,15.94,1032.08,8.94,118.89,0.001,0.07,11.67,19.68,0.5,1.33,305.61,0.46,0.025,3.45,0.47,1.26,1.08,153.59,1.38,15.16,134.08,39.01,0
7451.714,5170.307,1417.039,0.0025,0.331,3.87,4.84,135.71,0.66,0.005,2.41,0.05,16.39,9.12,35.45,4.07,22.38,2.37,9.1,0.08,0.6,0.76,8.16,1.0,848.64,0.37,0.89,2.69,7.92,440.17,6.92,50.72,0.001,0.01,15.54,7.4,0.5,0.59,88.58,0.19,0.025,1.15,0.21,0.51,0.29,75.06,0.8,6.91,48.89,18.52,0
6764.912,4994.066,1117.299,0.005,0.131,6.43,19.9,1092.33,1.89,0.19,1.55,0.12,44.69,3.43,43.43,2.76,12.62,1.92,17.18,0.14,1.77,3.45,25.6,0.19,250.29,5.5,1.13,6.75,1.9,129.52,40.4,117.14,0.001,0.91,1.93,4.03,0.5,2.08,141.23,0.83,0.073,15.77,0.06,0.94,5.62,13.35,0.6,18.9,31.21,43.14,0
6766.474,4993.114,1117.299,0.017,0.165,8.75,7.36,332.99,1.3,0.47,4.89,0.11,38.16,15.87,50.8,3.14,24.87,5.29,21.58,0.09,0.74,1.12,15.89,1.92,1754.14,1.03,2.96,6.76,15.45,1115.19,15.76,69.96,0.001,2.52,1.62,20.78,0.5,3.03,198.4,0.45,0.254,3.68,0.47,0.72,0.92,161.67,2.63,17.06,105.52,16.74,0
6850.671,4953.589,1187.309,0.01,0.207,7.45,4.65,831.85,1.24,0.32,3.42,0.09,40.73,18.22,51.75,7.86,45.67,4.55,16.47,0.13,0.67,2.79,16.28,1.8,1242.53,3.62,2.19,6.13,14.91,892.68,16.45,117.46,0.001,1.45,1.84,18.59,0.5,1.39,230.54,0.47,0.178,3.02,0.52,1.67,0.66,169.29,1.93,17.72,126.94,17.76,0
6972.504,4908.509,1047.699,0.187,122.605,4.99,25.11,340.06,0.44,10.68,2.73,340.7,17.29,28.65,22.99,5.5,873.16,19.06,13.94,0.12,0.46,1.6,7.95,1.35,1962.76,9.36,0.53,2.86,10.59,414.77,46950.89,75.79,0.001,11.0,89.11,8.5,19.36,4.26,119.59,0.22,5.618,1.43,0.24,1.43,0.43,93.13,1.19,8.39,62546.37,12.38,1
6763.869,4867.874,1013.559,0.006,0.204,7.4,7.0,820.17,1.53,0.16,2.08,0.51,45.69,7.6,23.63,12.94,17.57,2.76,19.75,0.13,1.89,2.91,25.73,1.1,393.17,1.99,0.83,5.81,4.43,473.79,85.36,211.1,0.001,0.35,1.6,9.23,1.02,1.84,162.25,0.63,0.101,10.97,0.17,1.73,2.39,60.66,1.2,12.92,106.79,52.07,0
6895.546,5170.002,1296.379,0.007,0.14,7.73,4.1,340.65,1.24,0.05,5.55,0.18,46.07,16.89,43.03,6.81,22.33,5.02,22.69,0.11,1.17,1.32,23.45,1.83,1122.86,1.05,2.17,7.35,15.77,1127.63,24.11,50.5,0.001,0.17,2.47,22.15,0.5,1.32,430.43,0.59,0.085,5.26,0.59,0.81,1.01,177.42,1.25,19.44,107.74,37.32,0
6646.269,5139.483,1171.169,0.005,0.114,6.67,3.01,779.18,1.59,0.22,0.24,0.1,49.93,0.38,14.77,2.63,6.39,1.21,12.65,0.15,2.45,3.4,24.82,0.04,151.06,0.87,2.81,7.22,0.63,74.54,36.85,109.26,0.001,0.02,1.22,2.79,0.5,1.81,114.88,0.91,0.025,20.04,0.03,0.89,4.98,2.07,0.73,15.4,29.33,60.86,0
6647.031,5139.525,1171.169,0.006,0.363,5.79,3.97,406.77,1.08,0.26,3.13,0.36,28.48,10.03,50.02,10.08,33.06,3.45,16.88,0.15,0.65,1.83,12.22,1.2,668.88,0.93,0.81,4.22,12.3,761.4,17.22,127.88,0.001,0.64,6.72,13.93,1.0,1.17,148.52,0.33,0.128,2.49,0.37,1.21,0.49,132.21,2.0,11.32,107.38,27.91,0
6645.372,5139.584,1171.169,0.011,0.457,7.32,5.89,250.8,1.0,0.93,3.51,0.77,38.68,14.27,50.46,15.55,47.26,4.35,17.94,0.11,2.03,1.69,16.03,2.26,1248.44,0.82,1.12,6.64,15.49,742.09,44.67,135.87,0.001,0.67,1.43,17.35,0.5,1.69,213.2,0.41,0.342,4.16,0.46,1.67,0.9,143.59,1.12,15.4,172.17,96.62,0
6551.836,5135.061,1109.419,0.0025,0.073,6.09,5.87,836.61,1.53,0.25,0.37,0.13,49.93,0.37,9.86,2.08,7.64,1.0,16.58,0.13,2.41,3.78,29.21,0.07,134.95,1.4,1.95,6.66,0.48,73.5,25.56,113.11,0.001,0.07,0.69,2.87,0.5,2.17,104.26,0.9,0.051,19.57,0.05,0.84,5.14,2.76,0.55,17.45,36.43,75.14,0
6527.582,5117.217,1130.799,0.009,0.31,1.04,15.73,76.17,0.21,0.57,0.28,0.05,3.42,1.47,26.17,0.92,38.75,3.39,4.64,0.05,0.21,0.34,1.74,0.12,136.99,0.52,0.07,1.3,1.41,146.13,18.32,24.46,0.001,0.15,8.14,1.97,0.5,0.89,13.04,0.08,0.234,0.71,0.09,0.19,0.11,31.83,1.28,1.22,17.78,5.83,0
7337.914,3846.702,1081.519,0.007,0.297,6.56,56.81,886.57,1.33,0.1,2.39,0.28,37.97,4.57,23.16,7.72,16.07,2.76,14.78,0.16,0.96,1.64,18.41,1.2,823.31,6.56,1.83,5.66,4.19,433.24,31.45,101.41,0.001,0.05,9.99,7.83,0.5,1.37,186.89,0.44,0.025,6.49,0.22,1.1,1.87,54.29,1.5,15.21,78.38,26.41,0
7256.961,3823.359,1200.709,0.0025,0.387,6.68,12.17,993.09,1.95,0.16,0.57,0.17,54.3,0.9,10.83,2.76,12.14,0.73,14.94,0.13,2.16,2.97,28.33,0.07,183.73,0.54,2.19,5.48,0.65,65.36,49.9,110.3,0.001,0.02,1.26,2.49,0.5,0.93,183.07,0.72,0.08,19.03,0.04,0.83,5.2,1.81,0.54,16.73,71.17,78.88,0
7270.265,3810.471,1200.709,0.245,0.639,0.22,3402.5,10.0,0.13,0.24,0.04,0.41,0.58,2.16,27.66,0.34,20.83,1.18,0.7,0.08,0.05,0.07,0.25,0.01,94.4,1.05,0.02,0.1,1.4,10.24,22.05,4.93,0.001,0.18,18.16,0.1,0.5,0.41,11.54,0.025,0.12,0.07,0.0025,0.06,0.05,1.99,0.05,0.41,37.53,0.25,1
7199.911,3507.765,1262.249,1.057,31.078,7.99,11000.0,1103.14,1.18,1.32,4.13,15.41,28.55,10.24,28.49,5.27,219.79,7.08,17.62,0.11,0.83,3.08,14.97,1.8,1367.36,0.36,1.51,6.76,15.18,911.17,304.65,110.06,0.001,2.47,140.96,14.64,1.0,1.32,179.54,0.39,0.05,2.99,0.42,0.95,0.81,127.36,2.07,14.75,5205.37,28.11,1
7190.329,3570.463,1262.249,4.25,248.737,1.7,11000.0,235.77,0.26,0.47,0.14,35.87,5.93,4.61,33.37,1.0,1732.68,9.94,4.76,0.05,0.1,0.69,2.56,0.12,163.11,16.03,0.16,0.76,4.0,121.63,15373.32,31.12,0.001,6.89,535.0,3.26,1.88,0.55,22.97,0.025,0.256,0.49,0.07,0.29,0.1,27.22,0.78,1.59,8995.23,3.0,1
7173.931,3507.424,1262.249,0.0025,0.56,3.66,102.61,125.46,0.44,0.26,2.42,0.38,11.18,6.49,30.14,5.13,64.55,3.12,8.86,0.05,0.32,0.65,6.24,0.6,807.14,0.45,0.42,1.8,5.35,273.36,24.72,42.3,0.001,0.05,28.08,5.3,0.5,0.71,155.52,0.13,0.025,1.11,0.16,0.55,0.3,55.38,1.28,5.41,64.75,12.44,0
7160.631,3496.491,1262.249,0.0025,0.104,6.84,30.68,1188.39,1.56,0.05,0.48,0.05,47.04,0.63,16.39,3.87,7.03,1.21,12.82,0.18,2.73,4.72,31.02,0.06,154.26,2.25,1.53,7.28,0.88,114.64,11.34,204.91,0.001,0.17,1.67,1.35,0.5,1.82,138.47,0.87,0.025,21.05,0.04,1.91,4.22,3.79,0.43,13.98,14.35,72.98,0
9718.066,3156.91,1463.229,0.0025,0.047,8.37,4.76,728.52,1.42,0.05,2.02,0.06,42.02,12.64,36.16,10.43,4.35,4.0,20.07,0.2,2.43,2.78,19.96,1.22,626.82,0.28,2.77,5.59,11.2,708.35,9.7,126.54,0.001,0.005,2.11,13.62,0.5,1.32,230.94,0.56,0.025,9.09,0.33,1.06,2.58,97.84,1.31,17.77,84.9,89.94,0
9717.313,3175.588,1463.229,0.29,103.178,4.73,1786.87,152.43,1.01,0.78,0.02,2.03,39.87,0.39,13.73,8.83,43.38,2.14,14.55,0.1,2.75,2.25,21.42,0.17,180.25,17.64,0.02,13.54,0.83,65.55,1871.4,120.62,0.001,0.43,122.27,2.84,0.5,6.47,6.1,1.0,2.89,13.11,0.04,0.96,3.88,12.75,0.91,11.45,251.98,62.05,1
9717.191,3167.71,1463.229,0.005,10.13,6.92,49.39,609.33,1.13,0.2,0.02,0.06,61.83,0.2,3.75,4.79,75.66,1.29,12.59,0.14,4.4,4.07,30.43,0.19,369.13,15.04,0.04,18.32,0.42,65.34,91.09,169.54,0.001,0.02,33.37,2.72,1.0,4.49,20.59,1.58,0.025,20.65,0.05,1.73,5.18,5.46,0.88,19.68,35.01,96.43,0
9650.171,3166.114,1463.229,2.262,413.129,4.85,11000.0,172.06,0.9,0.21,0.02,49.46,50.14,1.22,10.57,12.3,564.86,5.14,14.81,0.12,2.77,2.48,26.15,0.23,353.05,33.28,0.02,13.16,1.75,110.43,9132.43,132.39,0.001,3.32,880.07,4.05,0.5,9.44,7.61,1.01,1.014,13.92,0.08,1.24,4.25,24.75,2.56,16.25,6827.4,60.12,1
9558.941,3114.694,1415.709,4.921,1381.978,2.76,11000.0,82.71,0.6,0.59,0.01,12.66,19.53,0.86,22.76,5.85,421.5,4.13,8.24,0.05,0.73,1.35,12.45,0.09,137.62,125.49,0.01,4.75,1.47,344.74,15634.17,60.83,0.001,1.41,2141.91,2.92,1.0,12.5,3.73,0.32,1.103,5.87,0.07,0.86,2.34,18.82,5.68,3.49,663.69,23.42,1
9768.449,3356.856,1483.869,0.009,1.124,9.08,32.88,498.25,1.17,0.05,2.53,0.19,26.39,16.64,35.03,3.23,25.89,4.88,19.26,0.13,1.35,1.35,12.48,2.29,1105.78,1.35,2.42,7.16,11.89,924.01,23.76,38.57,0.001,0.04,3.44,16.33,0.5,1.34,371.48,0.46,0.025,2.33,0.46,0.59,0.73,169.24,1.05,14.15,92.33,39.14,0
9657.505,3298.599,1483.869,0.0025,0.583,8.32,28.6,471.69,1.17,0.05,5.08,0.2,25.87,19.05,38.38,3.47,23.38,4.89,21.02,0.1,2.97,0.59,11.66,1.84,890.32,1.67,1.66,6.61,13.6,1040.06,17.93,6.83,0.003,0.13,1.98,18.52,1.05,1.5,347.95,0.55,0.025,3.29,0.49,0.33,1.18,147.01,0.57,13.67,87.39,113.28,0
9509.556,3317.184,1455.289,0.007,1.064,7.41,25.32,781.23,1.5,0.05,1.31,0.35,47.26,1.72,5.33,7.2,5.32,2.06,17.03,0.13,3.93,2.93,23.22,0.19,552.04,1.18,1.85,9.51,0.38,218.95,32.76,138.43,0.001,0.11,3.26,5.81,0.5,2.45,71.01,0.81,0.025,12.48,0.15,0.99,2.75,5.72,1.35,15.61,68.27,150.16,0
6746.803,7654.855,1054.389,0.017,0.372,3.82,69.51,247.32,0.46,0.05,0.14,0.16,10.99,6.72,20.91,5.05,4.69,2.37,8.64,0.07,1.5,1.38,5.43,0.56,445.24,0.31,0.03,2.55,4.57,464.77,3.87,101.62,0.001,0.01,8.5,7.32,0.5,0.53,14.94,0.19,0.025,1.98,0.21,0.93,0.62,73.99,1.11,5.58,31.95,51.07,0
6620.139,7621.084,1054.389,0.006,1.973,2.48,60.88,111.8,0.43,0.11,0.2,0.09,12.75,10.93,44.11,4.33,22.01,4.06,5.96,0.025,0.75,0.6,5.42,0.56,1168.26,2.53,0.25,1.6,9.03,270.33,8.28,40.65,0.001,0.03,13.25,6.94,0.5,2.62,46.92,0.1,0.025,1.22,0.15,0.54,0.85,61.75,1.2,7.87,35.71,26.06,0
6614.474,7625.654,1054.389,0.09,0.473,2.22,9.06,79.29,0.31,0.05,3.33,0.05,9.61,3.11,23.27,2.29,6.26,1.44,4.37,0.025,0.84,0.58,4.64,0.26,692.64,0.52,0.29,1.34,3.21,257.69,6.01,45.11,0.001,0.005,21.4,4.03,0.5,0.43,67.58,0.08,0.025,0.8,0.13,0.44,0.31,36.67,1.01,4.63,15.91,16.96,0
6568.215,7706.599,1054.389,0.073,0.38,1.95,4.59,91.9,0.38,0.05,0.08,0.07,6.39,3.38,31.71,2.04,4.72,1.24,3.88,0.06,0.73,0.52,2.7,0.19,517.96,0.32,0.07,1.11,2.53,193.61,3.47,38.29,0.001,0.005,41.42,3.98,0.5,0.46,14.37,0.08,0.025,0.75,0.1,0.47,0.2,29.47,0.67,3.05,17.11,22.53,0
7806.013,3268.358,1452.149,0.017,48.542,3.01,23.58,259.59,0.69,0.05,1.05,2.51,15.28,4.07,19.84,6.89,51.55,0.86,7.84,0.06,0.32,1.31,7.78,0.16,522.33,0.38,0.04,1.35,2.01,246.49,899.93,97.33,0.001,0.03,51.23,4.67,0.5,0.29,15.23,0.09,0.025,0.79,0.13,0.68,0.3,62.15,2.04,3.44,152.83,12.75,0
7746.633,3283.81,1452.149,0.063,14.877,1.46,18.19,48.83,0.24,0.06,0.06,15.23,5.86,3.25,24.25,3.43,173.77,1.4,4.0,0.025,0.2,0.44,3.14,0.16,291.7,1.8,0.08,0.76,1.79,135.73,5309.68,26.87,0.001,0.04,22.46,1.42,0.5,0.27,7.64,0.05,2.218,0.43,0.06,0.24,0.21,17.9,1.93,1.59,8892.7,11.31,0
6504.013,7693.299,951.059,0.013,0.506,2.81,25.78,182.55,0.43,0.05,0.76,0.08,12.88,5.28,28.75,3.09,8.96,1.93,5.52,0.05,0.36,0.95,6.73,0.42,1213.71,0.64,0.03,1.91,4.62,319.65,11.45,67.53,0.001,0.005,28.46,5.18,0.5,0.66,15.84,0.1,0.025,1.0,0.14,0.66,0.19,53.35,1.55,5.84,38.61,21.02,0
6461.315,7685.196,951.059,0.0025,0.167,1.16,4.13,60.82,0.44,0.05,0.86,0.08,4.47,2.28,26.72,1.16,3.41,1.66,3.46,0.06,0.29,0.21,1.8,0.34,797.38,0.53,0.05,0.73,2.31,118.19,6.74,13.62,0.001,0.005,45.25,2.48,0.5,0.44,16.58,0.05,0.025,0.56,0.05,0.13,0.1,21.68,0.51,1.81,31.11,8.16,0
6890.705,8028.199,901.279,0.0025,0.309,5.08,8.81,1126.21,0.4,0.05,2.3,0.09,20.1,8.64,29.59,3.89,19.47,2.44,7.82,0.15,0.89,2.7,7.66,0.92,748.95,0.52,0.3,3.18,7.83,608.58,8.64,134.13,0.001,0.005,10.91,9.67,0.5,0.46,78.79,0.21,0.025,1.68,0.28,2.06,0.43,61.96,2.09,7.1,64.28,26.92,0
6875.539,7952.171,901.279,0.011,0.579,5.94,12.59,913.45,0.79,0.05,1.44,0.05,23.27,16.85,38.24,8.79,9.71,5.22,13.84,0.13,0.93,2.31,12.07,1.67,1495.03,1.09,0.38,4.02,17.24,775.31,7.17,132.97,0.001,0.01,19.71,14.85,0.5,0.56,91.86,0.26,0.025,2.02,0.33,1.95,0.52,100.34,2.94,13.7,78.38,27.81,0
6839.696,7926.911,901.279,0.076,0.202,1.44,7.26,109.22,0.33,0.05,21.06,0.05,4.36,2.53,7.35,2.36,4.37,0.61,2.79,0.025,0.2,0.57,2.24,0.13,1083.05,0.42,0.02,0.48,1.4,116.93,2.44,40.26,0.001,0.01,4.42,2.06,0.5,0.33,306.02,0.025,0.025,0.48,0.05,0.46,0.1,27.19,0.38,2.1,8.23,7.99,0
6847.858,7846.75,1031.859,0.007,1.41,4.62,6.78,532.07,0.59,0.05,8.07,8.18,17.93,7.35,14.63,5.23,4.94,0.94,8.04,0.21,1.61,1.88,8.42,0.26,818.74,0.76,0.15,3.58,4.44,614.01,8.48,133.05,0.001,0.01,24.34,8.58,0.5,1.04,122.36,0.23,0.025,2.29,0.28,1.45,0.7,58.41,1.86,9.52,1520.16,57.9,0
6846.612,7845.824,1031.859,0.078,1.081,1.91,102.68,92.06,0.32,0.005,0.8,0.18,7.94,10.3,23.73,2.22,14.87,3.23,7.26,0.025,0.4,0.4,2.8,0.57,816.41,1.33,0.02,0.8,4.96,313.6,7.43,28.43,0.001,0.07,12.39,5.38,0.5,0.49,14.08,0.06,0.025,0.58,0.06,0.32,0.19,83.76,0.66,4.83,39.48,11.82,0
6729.996,7747.946,1013.359,0.085,1.737,1.42,10.24,74.65,0.31,0.005,0.08,0.08,3.47,3.81,20.86,5.17,9.24,1.43,3.79,0.025,0.37,0.43,1.64,0.25,230.56,4.48,0.02,0.84,7.17,202.69,31.45,35.97,0.001,0.005,31.75,2.39,0.5,0.27,11.35,0.06,0.025,0.59,0.08,0.35,0.1,37.89,0.28,1.66,189.95,15.61,0
6754.685,7727.445,1013.359,0.022,1.595,2.52,13.98,89.89,0.46,0.005,0.11,0.05,7.6,12.14,25.77,9.47,3.25,3.58,8.34,0.025,0.61,0.56,3.82,0.83,453.85,9.14,0.02,1.47,10.76,205.62,35.94,43.8,0.003,0.005,34.77,4.69,0.5,0.53,12.32,0.11,0.025,1.04,0.12,0.43,0.19,62.41,0.4,3.67,49.24,20.09,0
6864.498,7807.703,1031.859,0.03,1.488,2.27,28.78,92.37,0.32,0.05,6.28,0.18,8.26,4.8,19.99,3.1,9.22,1.69,5.92,0.14,0.69,0.66,4.54,0.41,971.87,1.41,0.02,1.24,3.56,213.6,9.77,54.61,0.001,0.01,15.59,3.67,0.5,0.3,57.58,0.08,0.655,0.96,0.1,0.54,0.32,42.66,0.88,4.89,39.23,29.77,0
6966.877,7891.534,1031.859,0.0025,0.615,4.51,8.98,297.9,0.55,0.05,4.19,0.06,20.15,11.21,21.52,6.72,16.46,3.12,8.6,0.08,1.06,1.53,10.55,0.86,676.15,0.22,0.76,3.46,6.59,618.77,6.69,117.1,0.001,0.16,12.72,9.95,0.5,0.58,131.16,0.25,0.025,2.0,0.29,1.25,0.51,78.4,0.79,8.92,47.71,35.21,0
6519.29,7859.273,941.609,0.402,0.351,1.48,13.68,86.46,0.24,0.05,3.75,0.05,8.41,4.06,23.4,2.7,6.08,1.29,3.01,0.025,0.42,0.42,4.36,0.23,622.56,0.41,0.03,0.84,3.21,170.04,4.38,42.1,0.001,0.005,23.84,2.42,0.5,0.39,60.57,0.06,0.025,0.48,0.07,0.34,0.2,28.07,0.7,3.58,18.32,11.32,1
6524.896,7858.805,941.609,0.079,1.361,4.34,4.42,748.51,0.46,0.05,0.53,0.09,16.76,7.07,33.74,5.58,72.41,2.32,6.7,0.025,1.01,1.76,9.22,0.68,747.6,2.5,0.28,2.59,6.68,522.24,22.54,115.78,0.001,0.005,21.33,7.62,0.5,0.7,76.91,0.18,0.025,1.81,0.26,1.41,0.41,77.57,1.7,6.85,44.07,33.98,0
6530.422,7826.883,941.609,1.304,0.837,2.98,3.68,169.29,0.55,0.06,2.4,0.09,12.43,4.08,34.75,0.77,10.54,1.61,5.61,0.025,0.7,0.5,6.06,0.49,638.98,0.71,0.26,1.96,4.4,288.34,3.7,26.23,0.001,0.005,24.94,4.53,0.5,0.51,40.67,0.11,0.025,1.06,0.17,0.38,0.28,51.82,1.36,5.57,34.01,35.53,1
6529.503,7821.969,941.609,1.118,1.146,2.69,3.92,28.77,0.59,0.05,13.91,0.06,8.9,3.78,28.62,0.5,32.53,1.45,6.49,0.025,0.62,0.08,4.5,0.33,902.52,0.35,0.03,1.29,3.64,220.48,2.12,4.66,0.001,0.005,15.89,3.81,0.5,0.43,98.66,0.08,0.025,0.88,0.1,0.06,0.18,35.6,0.99,5.33,32.38,17.7,1
6528.818,7820.133,941.609,6.185,4.717,3.25,7.16,599.48,0.5,0.005,1.14,0.06,12.59,8.28,31.42,2.99,3.52,3.15,7.45,0.025,0.64,1.36,5.35,1.15,1540.44,0.36,0.2,2.3,7.29,426.94,5.75,84.04,0.001,0.005,35.04,7.76,0.5,0.63,59.95,0.14,0.025,1.13,0.19,1.02,0.2,62.26,1.45,6.26,62.71,23.32,1
6529.129,7813.508,941.609,1.999,1.633,1.94,3.51,137.79,0.33,0.005,3.35,0.19,5.96,3.54,21.27,1.42,8.02,1.48,3.8,0.025,0.32,0.45,2.75,0.48,535.4,0.43,0.13,1.06,3.32,209.26,3.63,31.46,0.001,0.005,21.35,3.31,0.5,0.53,59.16,0.07,0.025,0.59,0.1,0.39,0.1,33.69,0.57,2.89,27.62,9.58,1
6527.941,7809.983,941.609,1.077,1.118,2.32,7.38,186.6,0.47,0.25,3.24,0.23,8.62,5.91,24.96,1.02,7.69,2.19,7.4,0.025,0.47,0.46,4.14,0.88,1064.73,1.51,0.22,1.53,5.7,338.67,6.46,23.52,0.001,0.005,20.76,4.41,0.5,0.42,104.16,0.1,0.025,0.87,0.14,0.32,0.21,39.91,0.99,4.39,69.79,13.69,1
6529.013,7791.281,941.609,13.986,13.597,1.28,8.66,56.78,0.22,0.05,0.17,0.49,4.42,3.84,22.75,1.64,13.33,1.06,2.67,0.025,0.2,0.38,2.26,0.17,399.63,0.66,0.03,0.7,3.46,117.9,16.04,26.79,0.001,0.005,30.97,2.63,0.5,0.32,11.0,0.05,0.025,0.47,0.06,0.27,0.11,23.27,0.42,2.19,90.93,8.14,1
6534.289,7776.823,941.609,4.41,4.347,0.63,7.25,46.36,0.27,0.005,0.03,0.35,3.82,2.6,26.16,1.48,6.11,0.89,1.34,0.025,0.11,0.15,1.1,0.08,553.68,0.32,0.02,0.19,1.95,45.36,11.89,9.65,0.001,0.005,15.56,1.46,0.5,0.21,7.85,0.025,0.025,0.23,0.02,0.15,0.11,13.19,0.05,1.08,24.77,2.37,1
6526.869,7759.846,941.609,0.296,0.529,4.63,13.15,122.11,0.73,0.08,4.65,1.33,19.54,5.79,29.0,1.66,5.51,1.75,11.24,0.07,1.12,0.58,9.03,0.61,767.94,0.85,0.61,3.89,4.6,600.6,42.58,24.51,0.001,0.005,17.28,9.96,0.5,0.75,132.05,0.24,0.025,1.84,0.26,0.31,0.53,82.22,1.93,9.05,100.7,29.99,1
7539.928,7445.966,1253.209,0.0025,0.558,0.3,2.9,36.44,0.19,0.005,0.04,0.01,0.52,0.73,40.58,5.41,2.39,0.6,1.08,0.025,0.1,0.07,0.55,0.01,152.83,1.27,0.03,0.1,4.43,10.4,1.38,7.03,0.001,0.02,8.02,1.4,0.5,0.2,14.19,0.025,0.025,0.05,0.01,0.13,0.11,10.51,0.05,0.36,5.48,3.21,0
7088.075,7888.41,1026.789,0.0025,0.153,0.43,4.31,28.19,0.35,0.005,0.04,0.05,2.4,2.16,39.65,1.91,15.14,1.04,1.63,0.025,0.18,0.09,1.68,0.09,434.69,0.76,0.03,0.63,2.75,75.02,2.38,7.99,0.001,0.01,9.47,1.71,0.5,0.2,12.5,0.025,0.025,0.14,0.01,0.11,0.18,18.06,0.1,1.2,8.54,7.85,0
6645.285,7494.12,1040.969,0.0025,0.382,1.33,11.44,72.15,0.31,0.005,3.41,0.05,5.49,3.5,31.04,3.46,3.07,1.26,3.84,0.05,0.28,0.52,2.5,0.25,458.02,1.07,0.03,0.92,3.15,136.19,3.94,34.87,0.001,0.04,7.93,2.32,0.5,0.31,45.1,0.06,0.025,0.51,0.07,0.37,0.2,26.81,0.87,2.97,13.74,10.46,0
6590.512,7503.86,1054.389,0.268,1.239,1.7,14.71,82.04,0.3,0.005,12.12,0.08,9.34,4.18,15.97,3.08,6.0,1.22,4.11,0.025,0.41,0.55,5.03,0.29,1704.9,1.24,0.04,1.17,2.82,190.29,21.25,43.53,0.001,0.06,21.92,3.22,0.5,0.37,120.16,0.06,0.025,0.54,0.09,0.36,0.19,26.81,0.87,6.25,22.04,17.6,1
6586.203,7508.036,1054.389,0.088,0.655,1.11,14.27,57.8,0.28,0.005,3.65,0.16,5.3,3.47,23.72,1.7,8.47,1.07,2.32,0.025,0.2,0.33,2.77,0.21,1241.36,2.38,0.02,0.5,3.14,93.65,34.1,22.28,0.001,0.02,36.73,1.92,0.5,0.32,51.09,0.025,0.025,0.31,0.05,0.24,0.1,18.78,0.39,2.58,26.33,7.83,0
6508.272,7588.003,951.059,0.037,0.566,1.12,10.03,65.68,0.32,0.05,0.09,0.05,4.35,2.5,22.85,1.42,12.29,1.39,2.66,0.025,0.19,0.27,2.62,0.37,726.04,1.49,0.02,0.62,2.39,96.16,10.1,15.01,0.001,0.005,26.0,2.09,0.5,0.43,8.85,0.025,0.025,0.29,0.05,0.22,0.1,15.91,0.32,2.13,21.75,5.47,0
14537.603,9548.218,1452.959,6.451,112.63,2.77,11000.0,150.2,0.46,2.23,0.6,55.37,12.58,9.94,9.89,4.3,103.0,5.77,8.16,0.025,0.11,1.16,6.23,0.21,41050.26,1.27,0.02,2.29,1.81,183.31,12415.99,59.9,0.001,4.82,2134.86,4.45,1.0,2.78,5.92,0.18,0.909,2.36,0.13,9.14,0.67,35.07,2.41,5.42,9097.56,1.85,1
14537.849,9549.684,1452.959,0.475,5.752,6.15,8486.34,310.13,0.66,4.88,0.68,34.28,18.81,12.43,8.25,7.82,38.1,4.22,13.15,0.025,0.19,2.5,8.35,0.33,2961.08,2.6,0.03,3.86,3.16,474.4,1244.68,127.24,0.001,4.65,155.79,9.45,1.01,3.07,8.9,0.32,0.402,4.14,0.26,2.55,0.75,76.41,1.55,7.65,3587.9,5.12,1
