n_estimators,F2,Latencia_p50_ms,Speedup_vs_full
10,0.4094488188976378,0.43944300023213145,1.839946249362561
20,0.6009615384615384,0.5056259997218149,1.5991098173958416
30,0.6347150259067358,0.5750845002694405,1.4059699047825425
40,0.6320224719101124,0.6594544997824414,1.22609141396789
52,0.641399416909621,0.8085515000857413,1.0
