Exp_ID,Modelo,HP_Resumen,F1_CV_mean,F1_CV_std,Tiempo_seg,Notas
sprint3_lightgbm,LightGBM,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 7, 'num_leaves': 31}",0.9923,0.0031,6.69,Excelente balance
sprint3_xgboost_optuna,XGBoost_Optuna,"{'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.05, 'min_child_weight': 3}",0.9896,0.0052,4.39,Excelente balance
sprint3_randomforest_tuned,RandomForest_Tuned,"{'n_estimators': 40, 'max_depth': 11}",0.9858,0.0071,1.73,Excelente balance
