,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
Sin balanceo,0.0652,0.0833,0.0478,0.0799,0.0314,0.0738,0.0285,0.088,0.0444,0.0241,0.0689
Pesos de clase,,0.0465,0.0449,,0.0636,0.0254,0.0209,0.0431,0.0461,0.063,0.0132
RandomOverSampler,0.0346,0.0372,0.0531,0.0585,0.0597,0.0328,0.0201,0.0281,0.0531,0.0288,0.0256
SMOTE,0.0479,0.0467,0.0357,0.0617,0.0472,0.0367,0.0397,0.0285,0.0294,0.0476,0.0418
BorderlineSMOTE,0.0271,0.0518,0.0311,0.0631,0.0195,0.0426,0.0059,0.0405,0.0135,0.0636,0.0368
ADASYN,0.0306,0.0473,0.0375,0.0627,0.0415,0.0139,0.0292,0.0388,0.0396,0.0501,0.0377
SMOTETomek,0.0468,0.0394,0.0392,0.0687,0.0413,0.0619,0.0237,0.0251,0.038,0.0462,0.0277
