,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
Sin balanceo,0.0857,0.0939,0.0325,0.0524,0.0426,0.0306,0.0871,0.0352,0.0322,0.0507,0.031
RandomOverSampler,0.027,0.0264,0.0253,0.018,0.0388,0.0374,0.053,0.0535,0.0286,0.0235,0.0464
SMOTE,0.0266,0.0341,0.0154,0.0233,0.035,0.0253,0.0262,0.0549,0.0263,0.0248,0.0296
BorderlineSMOTE,0.0368,0.0282,0.0341,0.0189,0.0302,0.0375,0.042,0.0287,0.0272,0.0229,0.0336
ADASYN,0.0233,0.0241,0.0171,0.0125,0.0612,0.0286,0.0372,0.0374,0.0321,0.0308,0.0462
SMOTETomek,0.0266,0.0405,0.0156,0.0214,0.0403,0.0239,0.0295,0.034,0.0385,0.0182,0.038
