,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
Sin balanceo,0.4357,0.5493,0.1895,0.6413,0.5448,0.6501,0.5881,0.7034,0.709,0.6937,0.6671
RandomOverSampler,0.4876,0.519,0.4478,0.6414,0.5342,0.6619,0.4552,0.7226,0.7201,0.7019,0.7277
SMOTE,0.473,0.5118,0.45,0.6236,0.5528,0.6831,0.6498,0.6918,0.6925,0.7201,0.6949
BorderlineSMOTE,0.4704,0.505,0.4449,0.6398,0.5701,0.6579,0.6381,0.7187,0.6834,0.7101,0.6923
ADASYN,0.4679,0.4951,0.4268,0.6436,0.5123,0.6594,0.6377,0.705,0.6987,0.6887,0.6619
SMOTETomek,0.473,0.5153,0.4494,0.6318,0.5601,0.6739,0.6438,0.7082,0.7075,0.7245,0.6876
