Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au,Au_ppm,East,North,Level,is_synthetic
48.542,3.01,23.58,259.59,0.69,0.05,1.05,2.51,15.28,4.07,19.84,6.89,51.55,0.86,7.84,0.06,0.32,1.31,7.78,0.16,522.33,0.38,0.04,1.35,2.01,246.49,899.93,97.33,0.001,0.03,51.23,4.67,0.5,0.29,15.23,0.09,0.025,0.79,0.13,0.68,0.3,62.15,2.04,3.44,152.83,12.75,0,0.017,7806.013,3268.358,1452.149,0
0.85,3.16,42.73,153.43,0.46,0.05,0.08,0.15,14.42,4.5,20.31,5.24,6.16,1.49,8.29,0.025,1.45,1.39,7.72,0.18,229.69,12.3,0.05,2.49,2.78,281.37,12.4,108.08,0.001,0.005,9.71,5.57,0.5,0.64,8.18,0.22,0.05,3.57,0.18,0.79,0.99,46.58,2.5,5.33,44.04,68.52,0,0.016,5455.093,7871.946,659.0,0
18.743,2.59,11.44,474.78,0.27,0.15,0.31,25.54,6.52,1.24,12.33,4.07,48.38,2.1,4.91,0.025,0.61,1.85,3.9,0.13,105.23,51.36,0.12,0.96,0.92,190.43,1973.63,108.61,0.001,0.23,29.26,3.25,1.0,0.28,36.07,0.07,1.847,0.76,0.07,1.04,0.21,32.77,1.1,1.96,2076.67,20.85,1,0.246,4653.335,6315.891,1063.0,0
6.766,3.82,24.08,263.44,0.63,0.59,0.07,0.44,13.36,7.27,14.73,5.49,127.63,1.7,8.73,0.025,0.98,1.57,5.53,0.2,275.8,10.36,0.03,1.85,1.73,335.7,251.2,118.65,0.001,0.01,10.06,5.26,0.5,1.34,5.89,0.19,0.141,2.62,0.14,1.13,0.82,57.01,0.98,4.46,209.22,33.75,0,0.005,5655.921,7832.334,706.0,0
4.441,2.65,6.56,202.06,0.48,0.05,4.13,0.1,10.64,4.72,19.05,6.04,32.09,1.69,5.03,0.05,0.55,0.88,5.6,0.28,563.9,0.55,0.02,1.34,3.0,254.18,5.16,66.45,0.001,0.01,40.9,3.66,0.5,0.41,51.19,0.09,0.025,0.9,0.11,0.62,0.33,36.19,1.38,3.95,22.14,20.91,0,0.099,5983.0,7749.0,759.0,0
0.041,0.43,5.29,18.32,0.15,0.05,33.06,0.12,2.62,3.32,2.84,0.28,7.08,1.01,1.14,0.025,0.19,0.03,1.49,0.33,1880.73,1.25,0.01,0.49,0.74,1368.78,1.8,2.08,0.001,0.02,0.32,1.02,1.1,0.21,296.18,0.025,0.025,0.47,0.02,0.05,1.23,17.5,0.58,1.56,10.76,6.37,0,0.0025,8678.575,8986.867,1093.85,0
0.072,8.1,3.82,607.94,0.85,0.05,2.68,0.06,28.21,15.98,33.78,1.24,13.89,4.57,20.5,0.21,2.16,1.26,12.81,1.29,887.4,0.45,3.38,6.8,10.26,970.84,8.75,35.04,0.001,0.005,4.4,17.91,0.5,1.47,506.6,0.49,0.025,2.98,0.49,0.47,0.93,151.81,0.87,14.36,89.17,63.9,0,0.0025,6615.0,7184.0,1073.0,0
0.065,7.36,2.97,578.45,0.97,0.05,4.41,0.09,32.39,18.37,27.46,0.92,31.41,5.2,19.4,0.11,3.29,0.89,14.12,1.48,894.54,1.08,2.17,7.3,12.26,1107.78,10.45,14.27,0.001,0.005,1.03,16.5,0.5,1.44,537.09,0.48,0.025,3.82,0.41,0.19,1.1,134.2,0.7,15.87,71.32,86.29,0,0.0025,5942.0,7246.0,1100.0,0
0.2,0.35,4.83,10.12,1.62,0.59,0.06,0.05,0.35,0.4,23.94,0.52,26.12,5.4,2.85,0.05,0.1,0.07,0.25,0.02,236.89,1.64,0.01,0.52,1.08,134.6,3.57,3.7,0.001,0.06,14.35,0.4,1.0,1.24,4.11,0.025,0.497,0.22,0.05,0.05,0.05,24.95,0.37,0.2,9.66,3.68,0,0.007,5748.141,5875.98,1150.0,0
0.728,2.91,17.23,155.66,0.46,0.05,3.5,0.97,12.64,7.38,21.06,3.72,9.28,2.17,5.74,0.05,0.86,0.91,5.82,0.55,603.15,0.62,0.07,1.98,5.25,296.48,38.85,72.11,0.001,0.01,28.6,6.48,0.5,1.17,43.11,0.13,0.025,1.23,0.17,0.61,0.29,55.1,0.95,5.92,204.47,29.5,0,0.021,6774.302,7629.914,1085.0,0
0.151,0.76,14.23,21.61,0.1,0.05,0.01,0.01,10.01,0.41,27.61,0.86,2.61,0.48,2.0,0.025,0.19,0.29,4.98,0.01,40.95,1.03,0.03,2.06,1.41,28.17,2.57,13.65,0.001,0.01,3.67,0.77,0.5,0.52,5.58,0.13,0.025,1.4,0.07,0.17,0.21,5.48,0.56,1.78,4.21,11.54,0,0.0025,4730.0,7936.0,275.0,0
0.698,9.15,4.54,994.76,1.43,0.13,2.35,1.04,51.71,9.04,19.18,5.24,18.36,4.34,19.95,0.14,1.1,2.92,27.24,1.16,974.52,4.39,2.02,7.31,3.57,803.01,175.45,190.1,0.001,0.8,9.15,15.49,0.5,2.02,236.45,0.58,0.025,6.56,0.46,2.67,1.25,121.35,1.83,15.91,278.98,37.81,0,0.0025,3972.212,6290.54,626.0,0
0.339,1.29,4.06,66.01,0.32,0.05,1.24,0.05,4.01,1.74,25.21,3.48,7.32,0.63,2.36,0.025,0.32,0.44,1.8,0.08,265.17,0.22,0.02,0.57,1.64,100.21,1.34,28.82,0.001,0.005,37.46,1.81,0.5,0.22,17.81,0.025,0.025,0.48,0.04,0.34,0.1,17.51,0.32,1.76,8.58,6.68,0,0.024,6125.7,7520.748,916.0,0
0.12,6.46,2.26,460.9,0.81,0.05,0.03,0.01,38.76,3.48,7.96,6.1,3.25,1.28,15.55,0.025,1.15,3.1,19.51,0.62,167.09,0.42,0.08,4.9,2.74,127.13,4.54,216.73,0.001,0.005,0.51,3.53,0.5,1.97,11.05,0.5,0.05,13.43,0.07,1.36,2.88,41.66,2.15,7.26,21.5,24.15,0,0.009,5296.0,5976.0,1178.0,0
0.534,8.86,49.61,351.13,1.2,1.0,3.35,1.77,36.82,12.1,10.1,1.62,67.15,4.62,19.92,0.05,0.61,1.51,15.76,1.0,819.06,0.41,2.11,5.13,3.25,726.4,17.83,84.43,0.001,2.48,1.59,19.12,1.0,5.11,386.34,0.38,0.305,3.84,0.43,1.06,1.08,132.62,3.06,21.25,236.42,17.17,0,0.0025,12101.296,5681.129,1419.069,0
0.747,1.48,14.0,20.91,0.31,0.14,22.79,3.12,12.51,2.9,6.43,1.67,20.15,1.52,4.34,0.025,0.65,0.01,6.04,2.22,4642.54,1.61,0.01,1.13,2.92,1118.19,187.84,0.63,0.001,0.11,10.01,2.27,1.0,0.57,366.41,0.11,0.065,1.67,0.04,0.05,0.47,18.14,0.31,6.6,484.62,21.38,0,0.005,10774.114,9705.094,1406.0,0
0.352,1.28,12.05,58.75,0.41,0.05,0.2,0.06,6.51,1.49,33.87,1.37,15.85,1.41,3.36,0.025,0.41,0.35,3.3,0.17,267.64,0.42,0.19,1.17,1.39,416.57,4.69,27.93,0.001,0.03,5.92,2.02,0.5,0.32,11.02,0.06,0.025,1.3,0.06,0.17,1.02,30.82,0.32,2.46,17.24,13.2,0,0.005,5752.0,7944.0,632.0,0
0.62,0.23,152.1,51.68,0.1,0.55,0.01,0.13,0.41,1.04,22.74,0.24,47.87,0.87,0.79,0.025,0.05,0.16,0.25,0.01,61.01,7.32,0.01,0.1,1.0,21.0,17.19,6.25,0.001,0.21,9.95,0.11,0.5,0.52,5.14,0.025,0.091,0.18,0.0025,0.07,0.22,1.83,1.3,0.18,10.12,0.25,0,0.01,5707.779,3745.325,968.7,0
0.118,5.84,7.2,336.24,0.47,0.22,0.23,0.01,24.52,0.94,49.95,11.35,17.5,2.07,16.43,0.07,2.19,0.79,16.89,2.03,335.55,5.51,0.14,4.75,0.91,738.46,7.04,45.05,0.001,0.57,4.93,11.55,1.05,1.09,158.49,0.36,0.556,5.61,0.43,0.36,1.48,174.43,0.83,5.69,83.86,89.2,0,0.0025,8009.0,4723.0,1132.0,0
0.685,7.36,40.92,707.22,1.2,0.05,2.19,0.05,36.32,13.6,34.21,4.65,21.33,4.37,16.97,0.08,1.93,2.8,17.06,1.31,822.65,0.46,2.3,5.74,7.76,816.37,6.4,142.2,0.001,0.04,4.81,17.56,0.5,1.03,312.71,0.37,0.025,3.28,0.44,1.62,1.1,149.52,1.32,17.78,78.4,70.04,0,0.012,6428.974,6727.485,1352.149,0
0.099,8.75,18.95,639.78,2.02,0.39,1.56,0.08,76.38,22.74,54.0,14.78,127.3,5.36,20.77,0.22,0.82,2.94,30.32,0.99,537.46,4.95,1.25,16.51,29.67,719.7,4.73,165.33,0.002,0.5,22.33,16.81,1.0,1.28,170.63,1.06,0.05,11.97,0.48,1.63,1.69,122.06,1.1,16.55,51.4,26.65,0,0.006,12185.944,9866.588,1324.53,0
0.01,9.01,2.12,518.8,1.21,0.05,0.96,0.01,45.35,6.4,7.63,8.34,0.55,2.68,17.29,0.11,1.36,1.87,25.38,1.21,350.93,0.49,1.73,5.52,3.08,305.32,7.77,103.39,0.001,0.01,1.09,8.36,0.5,1.98,377.98,0.52,0.025,8.01,0.21,0.68,2.23,49.97,1.02,14.9,49.37,50.11,0,0.0025,5357.543,6467.721,1216.0,0
0.246,3.36,39.21,154.64,0.43,0.05,0.09,0.08,16.9,4.88,16.9,4.5,19.02,2.62,6.71,0.025,0.55,1.03,5.9,0.79,1017.16,1.18,0.03,1.32,2.77,302.93,18.79,58.95,0.001,0.01,6.19,5.11,0.5,0.65,9.96,0.09,0.025,1.07,0.13,0.62,0.33,56.04,0.71,3.49,37.58,26.23,0,0.013,7756.197,7418.672,1175.0,0
0.347,1.91,44.18,73.21,0.24,0.05,0.28,0.26,6.19,4.72,11.94,5.04,6.79,2.2,5.58,0.025,0.1,0.25,6.42,0.59,1761.97,0.48,0.03,0.19,2.59,83.64,14.62,15.8,0.001,0.01,6.61,2.27,0.5,0.2,13.19,0.025,0.025,0.28,0.01,0.31,0.11,38.67,0.11,5.37,37.8,2.8,0,0.006,5747.345,7762.019,756.0,0
0.181,7.99,3.2,511.52,0.71,0.05,5.67,0.17,26.31,18.19,52.05,1.11,16.28,5.48,17.11,0.2,2.3,0.45,12.6,2.52,1345.75,0.59,2.1,3.77,12.39,906.32,11.6,6.45,0.002,0.005,5.0,24.98,0.5,0.86,708.87,0.27,0.025,2.66,0.54,0.16,0.83,211.74,0.4,27.16,95.86,80.77,0,0.0025,7311.601,9215.031,946.0,0
0.314,7.14,41.72,592.71,1.44,0.11,0.02,0.05,36.09,1.48,1.93,17.22,3.23,1.85,16.54,0.08,2.66,3.74,20.1,0.26,97.54,4.02,0.05,6.69,0.39,335.58,12.26,205.57,0.001,0.05,7.44,3.88,1.01,1.71,17.54,0.55,0.054,9.74,0.17,1.43,2.51,26.15,1.27,11.6,44.18,102.67,0,0.01,6363.367,6658.965,1292.0,0
0.244,4.15,3.78,419.12,0.61,0.05,6.16,0.06,20.37,9.5,25.1,6.01,21.13,3.12,10.03,0.08,1.62,1.38,9.63,1.26,1217.76,0.42,1.0,3.13,9.56,533.08,3.71,62.41,0.001,0.01,10.49,10.53,0.5,0.64,244.48,0.22,0.025,1.98,0.27,0.7,0.54,92.68,1.21,9.88,48.05,72.6,0,0.0025,6107.0,7601.0,874.0,0
0.149,10.04,4.1,213.47,0.86,1.17,4.23,0.11,37.63,26.74,22.11,1.73,8.61,7.48,22.3,0.17,2.22,0.32,14.93,1.4,1873.45,0.26,2.21,6.05,7.32,976.53,10.94,26.11,0.001,0.41,6.09,32.06,0.5,2.19,509.96,0.36,0.213,3.23,0.67,0.19,0.9,210.2,0.84,24.37,110.36,112.13,0,0.0025,6951.182,8939.598,628.0,0
0.038,7.96,2.63,451.7,0.73,0.05,6.0,0.13,31.46,19.58,40.32,2.04,8.22,5.87,21.49,0.2,2.54,0.94,12.41,1.91,1167.38,0.45,2.04,4.27,13.19,857.17,6.7,11.74,0.001,0.005,1.84,27.6,0.5,1.0,732.94,0.28,0.025,3.48,0.48,0.12,0.91,176.18,0.29,30.02,84.53,100.98,0,0.0025,8119.451,8580.064,926.0,0
24.312,3.77,100.58,201.32,0.57,0.05,0.02,0.05,10.59,0.19,18.59,10.85,2.64,0.99,12.19,0.025,0.75,1.95,7.34,0.17,60.53,114.15,0.04,1.83,0.94,95.02,140.21,124.28,0.005,0.03,29.9,5.44,1.07,0.58,8.93,0.13,0.201,1.53,0.13,1.34,0.42,81.95,2.54,2.99,7.16,27.63,1,1.544,4929.0,6655.0,1040.0,0
5.124,1.49,13.19,129.57,0.41,0.15,0.06,0.07,8.1,5.91,18.21,2.84,523.69,1.17,3.25,0.025,0.75,0.52,2.92,0.09,367.52,34.33,0.02,1.39,2.18,134.9,165.84,32.95,0.001,0.02,25.95,2.03,0.5,0.39,7.35,0.09,0.025,1.04,0.08,0.32,0.19,16.78,0.41,2.61,17.19,23.5,0,0.024,7424.562,8619.624,632.81,0
0.127,7.92,5.85,214.81,0.87,0.05,3.73,0.05,37.91,19.42,36.13,4.81,16.44,4.7,15.54,0.16,1.65,1.08,16.7,1.97,967.05,0.15,3.52,6.45,12.42,930.21,10.2,51.03,0.001,0.06,2.56,18.95,0.5,2.09,388.6,0.44,0.025,2.67,0.55,0.47,0.65,122.91,1.4,13.19,91.12,53.83,0,0.0025,8548.67,5806.69,1341.28,0
0.091,6.07,14.0,901.72,1.42,0.1,0.15,0.05,65.34,0.39,3.83,2.16,2.25,1.08,16.95,0.05,2.78,2.88,28.64,0.04,132.51,1.45,2.28,5.75,0.65,77.48,9.75,135.58,0.001,0.01,2.58,7.85,0.5,2.06,90.62,0.41,0.025,14.11,0.05,0.86,3.73,3.18,0.1,11.78,24.89,74.53,0,0.0025,6433.0,7620.0,919.0,0
8.992,3.0,36.77,188.56,0.61,0.05,2.72,0.12,11.3,5.98,16.01,6.74,7.4,1.57,7.24,0.1,0.97,1.02,7.08,0.33,576.85,1.61,0.2,1.98,3.84,319.69,8.5,69.45,0.001,0.1,40.22,5.92,0.5,0.47,45.4,0.13,0.025,1.87,0.14,0.91,0.48,45.51,1.52,6.38,20.48,41.39,0,0.086,7362.0,7374.0,1272.0,0
0.028,9.35,2.26,912.08,1.57,0.22,0.87,0.11,39.54,6.82,9.76,7.81,2.25,4.1,18.09,0.13,0.96,2.66,17.51,0.91,375.77,0.38,1.35,6.55,6.35,303.12,10.31,140.93,0.001,0.005,0.84,11.43,0.5,1.65,290.25,0.49,0.145,5.39,0.26,1.21,0.95,90.78,1.29,6.54,65.41,30.39,0,0.0025,5601.033,6584.195,1257.0,0
0.633,3.19,1.91,29.39,0.24,0.05,17.08,0.38,20.1,13.34,70.23,0.42,231.06,2.66,8.93,0.05,0.87,0.02,10.17,1.43,2212.67,0.46,0.25,2.08,51.84,399.99,8.82,1.18,0.001,0.02,4.51,8.78,0.5,0.92,535.72,0.13,0.025,1.07,0.19,0.01,0.32,69.98,1.58,11.66,36.87,24.06,0,0.007,6335.46,9129.624,635.0,0
1.816,8.55,32.29,175.92,1.0,0.21,0.64,0.05,40.58,20.29,39.18,20.57,12.29,6.47,18.31,0.08,1.53,2.08,17.69,0.7,299.41,61.43,2.48,13.32,38.97,1376.31,29.42,156.29,0.002,5.28,4.37,13.06,0.5,1.02,112.46,0.78,0.054,4.56,0.53,1.13,1.26,155.57,4.24,12.66,32.06,93.58,0,0.009,5218.0,8313.0,372.0,0
61.768,0.69,2040.48,53.51,0.15,327.01,0.005,0.31,4.39,0.31,17.83,0.34,192.63,1.53,2.12,0.025,0.05,0.31,2.17,0.03,55.07,13.87,0.01,0.19,0.95,79.98,339.47,13.84,0.001,0.05,346.44,0.62,1.0,6.01,3.64,0.025,11.231,0.6,0.01,0.1,0.28,17.57,2.97,0.54,10.92,0.25,1,0.23,5734.634,3345.364,1143.99,0
33.468,0.8,728.68,21.3,0.1,0.23,0.03,0.01,2.39,14.17,14.04,1.56,114.17,11.68,4.77,0.06,0.42,0.26,1.05,0.03,69.49,9.63,0.01,0.87,1.23,325.73,5.67,12.55,0.001,0.13,12.61,1.4,2.02,0.48,3.36,0.05,20.538,0.31,0.08,0.14,0.1,21.34,0.39,1.3,9.37,4.4,1,8.707,4375.226,6417.477,830.0,0
0.032,6.14,0.38,614.25,1.75,0.05,1.67,0.07,55.45,0.63,2.09,3.96,4.72,1.51,17.43,0.11,3.32,2.48,24.16,0.06,433.3,0.88,2.02,9.12,0.59,85.23,8.76,112.17,0.001,0.005,2.37,9.85,0.5,2.47,127.92,0.78,0.025,12.2,0.07,0.97,3.25,3.73,0.32,18.11,37.08,89.24,0,0.0025,7239.0,6993.0,1197.0,0
0.764,2.55,28.47,70.16,0.36,2.7,0.42,2.39,9.77,14.28,16.96,4.43,51.48,4.34,8.8,0.1,0.65,0.47,4.66,0.57,826.49,14.24,0.02,1.48,4.72,373.67,28.94,29.43,0.001,0.01,37.24,3.77,0.5,2.48,22.95,0.1,1.636,1.31,0.11,0.35,0.61,61.01,0.63,5.81,239.38,20.46,1,0.135,10777.316,5702.359,1551.11,0
0.02,0.36,0.63,54.76,0.07,0.005,33.08,0.06,2.53,1.05,2.19,0.29,1.36,0.31,0.69,0.025,0.11,0.19,1.54,0.11,1082.4,0.08,0.08,0.32,0.53,45.42,1.69,11.95,0.001,0.01,0.31,0.97,0.5,0.1,568.05,0.025,0.025,0.12,0.02,0.13,0.05,5.23,0.1,1.26,15.4,3.62,0,0.0025,6756.568,7967.345,968.0,0
2.099,1.42,20.55,54.96,0.27,0.05,3.92,1.71,4.86,5.82,11.18,2.26,21.03,2.22,3.43,0.14,0.22,0.22,2.92,0.56,1759.92,4.33,0.02,0.38,6.22,122.89,127.74,18.41,0.001,0.01,24.69,1.87,0.5,0.21,35.43,0.025,0.025,0.37,0.04,0.19,0.1,42.64,0.19,2.27,284.53,6.67,1,0.693,6766.0,7761.0,1053.0,0
0.326,3.18,20.15,199.23,0.47,0.05,0.07,0.06,9.49,2.71,11.7,5.69,8.89,1.29,6.91,0.025,1.07,1.42,4.54,0.17,394.15,1.25,0.04,1.81,1.28,207.46,5.92,91.39,0.001,0.005,5.49,3.68,0.5,0.75,6.28,0.16,0.025,2.38,0.14,0.69,0.63,36.12,0.9,3.72,23.84,32.12,0,0.0025,5382.598,8030.441,596.0,0
2.314,3.72,29.11,355.94,0.48,0.08,0.11,0.27,10.8,2.13,19.3,7.97,15.88,2.36,7.49,0.025,1.25,1.75,6.68,0.32,129.9,27.77,0.08,2.47,3.73,350.67,15.58,119.87,0.001,0.15,17.49,6.25,0.5,0.72,21.4,0.19,0.148,2.35,0.16,0.97,0.85,51.42,2.36,3.59,36.62,39.15,1,0.164,4969.5,6685.0,1030.0,0
0.4,3.07,21.41,209.2,0.59,0.005,2.03,0.18,12.1,5.61,17.43,4.94,22.51,1.34,8.31,0.06,0.96,1.12,4.9,0.29,555.07,0.81,0.03,1.85,3.62,296.24,6.9,84.29,0.001,0.01,23.27,5.22,0.5,0.54,28.64,0.12,0.025,1.14,0.17,0.75,0.31,80.43,2.78,5.18,18.55,28.03,0,0.06,6287.057,7483.666,1003.0,0
1.781,7.69,91.95,261.36,1.02,0.05,0.32,9.12,21.87,39.52,201.74,5.41,6.35,7.76,23.71,0.09,1.56,1.8,8.42,3.61,21991.64,0.6,0.04,22.56,113.86,1555.78,318.93,37.99,0.001,0.1,6.52,17.47,0.5,49.02,40.44,1.32,0.025,1.38,0.96,1.43,0.73,188.14,14.75,10.72,1111.92,52.71,0,0.0025,5000.0,8195.0,392.0,0
0.138,10.75,1.92,507.89,0.9,0.05,2.5,0.12,46.33,8.78,26.65,4.32,28.64,4.09,18.15,0.09,5.38,1.94,19.58,1.33,731.36,0.97,3.87,7.26,8.55,1132.49,10.31,122.19,0.001,0.24,1.81,19.09,0.5,1.16,246.05,0.43,0.099,6.93,0.6,0.88,2.19,144.81,1.52,22.87,64.05,274.42,0,0.013,4359.698,6426.525,829.0,0
0.043,7.52,1.1,353.84,1.04,0.05,2.72,0.05,35.2,15.34,27.96,7.89,3.9,4.32,21.38,0.08,0.79,1.3,15.18,2.07,806.25,0.16,2.52,7.23,11.62,695.38,8.61,86.99,0.001,0.23,1.31,15.11,0.5,1.49,367.05,0.42,0.025,3.18,0.4,1.03,0.76,127.46,0.85,13.57,85.67,24.32,0,0.0025,5472.0,6782.0,1112.0,0
0.019,5.06,0.93,342.35,1.01,0.07,0.44,0.22,24.54,14.54,39.5,19.65,1.83,3.86,11.54,0.07,1.84,1.63,10.65,1.85,563.39,0.36,0.06,6.71,32.49,200.41,10.14,91.3,0.001,0.01,9.48,10.81,0.5,0.98,39.26,0.42,0.025,3.34,0.4,0.63,1.05,69.96,1.56,11.31,54.7,66.15,0,0.0025,6312.578,9072.216,596.0,0
0.033,8.34,1.2,404.02,1.52,0.05,2.21,0.25,37.57,14.14,47.76,1.23,30.38,4.35,19.71,0.14,2.55,0.9,21.43,1.56,583.38,0.19,3.57,6.94,13.26,673.87,9.65,24.3,0.001,0.01,0.52,12.16,0.5,1.74,462.4,0.6,0.025,8.77,0.36,0.13,2.82,105.37,0.76,16.06,85.28,94.93,0,0.0025,9086.685,8631.27,972.53,0
0.183,7.13,3.91,839.47,1.27,0.15,2.28,0.05,49.04,3.03,16.78,3.66,6.68,2.07,13.76,0.025,2.23,2.59,23.46,0.32,375.83,0.52,2.53,8.05,1.2,375.85,21.13,129.5,0.001,0.35,1.58,4.15,0.5,2.13,219.52,0.71,0.058,10.99,0.16,1.1,2.79,15.89,0.85,14.07,28.77,77.59,0,0.011,4912.06,6525.365,1091.0,0
3.31,8.97,80.91,212.24,1.52,5.83,0.27,2.39,56.55,9.75,31.75,8.21,15.43,9.3,19.19,0.17,1.68,2.76,28.25,0.75,2529.27,2.24,0.14,9.97,10.93,793.21,459.97,133.19,0.002,0.4,6.12,15.78,1.81,40.07,27.46,0.67,0.088,10.04,0.36,1.54,1.59,100.27,15.46,14.79,276.78,96.17,0,0.011,12175.346,10011.087,1386.0,0
0.235,7.55,2.31,328.16,0.77,0.81,3.29,0.1,44.41,18.62,25.81,21.43,13.59,6.23,20.56,0.16,2.16,1.1,18.13,1.38,1090.54,0.17,0.25,6.66,13.98,1124.7,9.63,65.28,0.001,0.01,5.27,14.12,0.5,1.75,307.76,0.42,0.065,5.21,0.41,0.66,1.07,96.58,1.48,21.8,99.73,86.4,0,0.0025,6935.59,8947.851,632.0,0
0.081,8.3,2.92,501.06,0.88,0.1,3.23,0.07,26.73,19.12,21.47,7.04,21.22,4.67,19.83,0.17,1.67,1.39,12.14,1.91,649.22,0.28,2.57,6.37,8.32,820.13,9.57,52.14,0.001,0.005,2.32,17.29,0.5,1.1,385.4,0.4,0.025,2.37,0.49,0.61,0.89,143.16,1.03,14.21,77.44,58.04,0,0.0025,7225.0,6643.0,1289.0,0
1.358,9.07,35.33,400.6,1.19,0.36,0.25,1.85,38.66,18.83,15.29,6.82,27.39,4.98,18.33,0.12,1.32,1.59,17.25,1.04,2521.38,1.6,0.71,7.56,15.73,473.45,761.63,98.52,0.001,0.03,11.83,13.85,1.0,1.97,80.33,0.53,1.437,4.94,0.38,1.09,1.48,97.0,2.29,17.66,1024.93,37.86,0,0.015,7130.849,4715.697,1055.0,0
0.065,7.9,1.39,735.29,1.46,0.05,1.92,0.07,57.0,4.62,3.19,12.67,7.17,3.08,17.89,0.11,4.02,2.41,29.28,0.16,1195.25,0.73,2.06,10.5,1.14,799.33,8.13,157.86,0.001,0.01,3.11,10.61,0.5,2.22,143.6,0.78,0.025,11.25,0.26,1.03,2.48,18.93,1.72,27.9,72.89,124.76,0,0.0025,7539.822,8752.368,615.0,0
0.208,7.21,3.85,377.56,1.38,0.05,1.25,2.91,81.5,7.66,43.82,6.62,4.25,3.57,20.45,0.16,2.82,2.21,34.38,0.8,786.27,0.17,0.15,20.37,20.98,523.62,93.28,130.92,0.001,0.01,4.61,14.66,0.5,1.82,49.54,1.19,0.053,10.88,0.5,0.97,2.04,96.39,1.32,29.36,275.52,88.65,0,0.0025,13529.16,7590.352,1458.09,0
0.08,8.46,3.12,525.15,1.17,0.05,4.54,0.11,32.72,15.2,25.36,1.38,21.68,5.17,19.13,0.06,2.17,1.27,14.98,1.79,908.04,1.0,2.44,5.34,9.99,904.01,8.91,27.34,0.001,0.005,4.03,16.14,0.5,1.34,461.58,0.39,0.025,4.01,0.51,0.36,1.52,154.56,0.69,16.97,91.13,91.86,0,0.09,8895.97,5503.07,1276.82,0
2.412,3.98,32.23,133.85,0.39,0.2,2.88,0.39,21.71,13.77,31.87,4.72,73.11,5.73,12.96,0.13,0.7,0.92,14.18,0.73,907.53,15.15,0.46,2.18,12.48,441.64,22.3,61.3,0.001,0.12,11.55,8.13,0.5,0.67,147.94,0.13,1.901,1.06,0.2,0.55,0.32,89.07,1.11,7.91,180.72,16.94,1,0.463,4448.574,6502.089,832.0,0
0.185,9.9,30.28,629.21,1.74,0.07,0.29,0.12,52.46,19.72,33.63,22.61,33.35,5.26,21.54,0.14,3.41,3.38,21.22,0.26,1749.33,0.38,1.15,8.57,10.07,938.83,13.57,277.99,0.001,0.01,29.93,22.41,0.5,1.35,129.23,0.56,0.065,8.62,0.59,2.17,1.55,182.0,2.0,18.5,66.02,130.96,0,0.0025,7352.003,8779.044,681.0,0
0.751,3.86,1185.86,236.01,0.83,0.62,0.08,0.44,21.59,1.16,19.03,7.94,1.78,1.33,9.28,0.025,0.63,1.31,10.56,0.17,81.65,7.2,0.07,3.93,3.53,262.89,54.39,62.07,0.001,0.02,54.5,3.04,0.5,1.59,19.94,0.27,0.16,4.62,0.11,0.55,0.98,23.27,0.65,6.31,33.39,23.64,1,0.136,13208.56,7703.28,1397.28,0
0.147,7.18,6.71,872.56,1.92,0.15,0.15,0.14,47.62,1.07,5.41,6.56,1.92,1.21,16.34,0.07,2.68,3.75,24.37,0.1,425.27,1.35,1.9,6.34,0.81,122.82,18.77,159.47,0.001,0.01,2.28,3.02,0.5,3.07,133.2,0.96,0.025,17.81,0.07,1.63,4.96,4.79,1.28,17.58,30.16,101.94,0,0.0025,5421.191,8107.76,537.0,0
0.291,3.94,20.3,30.64,0.53,0.13,6.97,0.2,17.52,5.87,7.08,2.92,49.89,1.62,9.89,0.025,0.65,0.01,9.87,8.84,606.71,0.28,0.01,3.9,7.26,796.68,8.15,2.38,0.001,0.06,5.81,3.67,0.5,0.68,251.07,0.25,0.05,2.6,0.15,0.05,1.39,32.77,1.17,4.84,36.89,27.36,0,0.0025,5105.83,8322.0,360.0,0
0.166,9.36,9.85,119.78,1.95,0.17,7.67,0.05,53.31,20.96,67.83,4.02,59.89,6.1,18.35,0.11,0.91,0.59,23.8,2.16,1287.2,3.44,1.49,20.09,24.92,1864.18,12.48,50.64,0.001,0.95,2.29,32.27,0.5,2.39,389.44,1.1,0.025,5.28,0.95,0.48,0.93,234.5,1.65,30.27,53.94,23.29,0,0.013,4843.982,6213.846,1255.079,0
