Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,target_Au,Au_ppm,East,North,Level,is_synthetic
0.718,8.66,1.76,90.24,0.97,1.89,5.44,0.14,44.97,5.6,28.29,27.64,124.66,12.9,28.06,0.11,1.75,0.63,26.6,1.66,1039.23,1.79,0.57,7.56,4.07,973.61,8.78,59.29,0.001,0.74,3.44,13.62,0.5,5.4,141.37,0.58,1.26,8.84,0.54,0.46,2.03,154.47,6.64,15.41,78.37,62.74,0,0.011,4632.452,6103.056,1039.0,0
0.203,3.35,12.32,46.42,0.65,0.09,0.03,0.05,36.34,1.69,36.11,5.19,7.67,1.58,6.63,0.12,1.73,0.79,15.95,0.08,102.82,0.75,0.08,9.08,5.98,136.81,8.33,40.08,0.001,0.01,1.76,4.58,0.5,1.01,32.9,0.61,0.025,5.11,0.28,0.47,1.06,36.04,1.2,9.02,16.31,72.92,0,0.0025,4687.75,7910.9,316.0,0
0.06,8.38,11.5,383.52,1.1,0.05,4.09,0.07,35.61,15.89,30.53,5.97,19.13,4.22,18.94,0.18,1.61,1.43,15.63,1.72,927.25,0.46,2.32,5.65,8.43,577.64,5.6,107.71,0.001,0.06,1.67,16.22,0.5,2.66,227.98,0.4,0.025,2.9,0.4,0.65,0.84,127.35,0.92,12.81,79.92,49.36,0,0.0025,6681.0,6855.0,1300.0,0
0.194,6.56,16.56,340.3,1.33,0.08,0.03,0.12,53.11,0.3,2.77,5.41,2.19,0.99,15.9,0.025,3.97,2.24,22.0,0.08,69.19,2.88,0.08,6.76,0.62,107.58,16.19,101.23,0.002,0.005,15.05,8.87,0.5,3.2,7.95,0.61,0.025,13.9,0.08,1.01,3.58,4.92,1.07,19.63,29.23,116.39,0,0.0025,7777.329,9421.947,1001.08,0
0.097,9.67,2.86,534.36,1.16,0.12,4.18,0.05,31.01,12.77,62.32,17.57,19.47,6.03,22.07,0.16,0.83,2.88,13.33,2.29,925.36,2.83,1.63,8.46,15.62,993.9,8.06,115.65,0.001,0.22,1.53,21.3,1.0,0.85,204.41,0.49,0.06,2.22,0.7,1.81,0.54,184.37,1.72,12.99,75.48,30.68,0,0.0025,5414.701,6353.784,1317.0,0
0.192,6.8,0.84,654.53,1.44,0.11,0.45,0.17,51.09,0.67,1.88,3.08,2.21,1.77,19.25,0.13,2.99,2.09,29.07,0.1,295.77,0.27,2.44,8.12,0.39,106.37,12.4,86.94,0.001,0.005,1.29,9.67,0.5,2.13,118.82,0.66,0.025,12.74,0.08,0.77,3.48,3.98,0.45,19.84,39.95,86.64,0,0.005,6810.0,6716.0,1342.0,0
0.296,6.99,15.87,590.87,0.7,0.05,3.26,0.05,31.24,9.6,32.72,5.28,19.37,3.63,15.32,0.08,1.18,3.75,16.64,0.5,638.81,5.81,0.66,5.25,8.2,709.82,18.6,185.76,0.001,0.31,9.64,14.27,0.5,1.07,128.13,0.39,0.025,3.6,0.42,1.98,0.94,115.9,1.03,12.34,31.72,39.81,0,0.01,4897.314,6639.522,1068.0,0
0.192,6.75,3.44,627.89,1.54,0.31,1.85,0.56,55.92,0.74,6.2,6.74,7.7,1.75,18.0,0.09,2.31,1.93,29.44,0.14,321.94,4.13,1.68,8.74,0.86,106.43,37.71,104.5,0.001,0.14,2.37,9.27,0.5,2.85,218.01,0.73,0.225,13.33,0.1,0.97,2.9,4.36,0.49,29.96,113.02,72.96,0,0.007,5142.0,6381.0,1183.0,0
0.065,8.28,69.51,458.32,1.63,0.12,1.99,0.06,72.71,2.0,9.68,7.11,11.5,1.75,19.22,0.12,2.68,4.08,31.69,0.41,199.96,3.29,0.29,10.14,1.21,370.38,9.48,236.38,0.001,0.61,4.25,6.66,0.5,1.98,64.68,0.66,0.097,17.05,0.18,1.21,2.52,16.95,1.86,19.9,22.32,105.44,0,0.006,5683.0,5858.0,1097.0,0
0.436,5.45,11.05,524.54,0.41,0.09,1.2,0.12,25.59,6.93,10.39,2.93,85.51,6.83,12.67,0.13,0.66,2.44,12.31,1.11,421.17,1.16,0.35,2.69,2.63,561.73,21.23,135.56,0.001,0.18,8.72,8.34,1.0,0.83,77.9,0.2,0.209,2.47,0.23,1.17,0.81,82.77,2.88,11.14,62.3,24.41,0,0.027,5073.0,6457.0,1167.0,0
0.338,9.16,9.86,567.71,0.95,0.76,2.33,0.45,36.04,15.15,11.41,11.44,18.45,6.6,20.77,0.12,0.54,1.38,14.5,1.77,1056.39,0.85,1.84,5.54,2.43,804.48,21.05,57.29,0.001,2.12,4.14,20.41,1.0,1.51,320.6,0.42,0.459,3.55,0.49,0.82,0.67,171.85,0.54,17.04,144.24,21.61,0,0.005,11844.238,6031.247,1478.17,0
0.154,9.32,4.13,524.76,1.24,0.05,4.85,0.13,41.0,18.51,38.2,2.83,25.91,5.51,19.43,0.15,2.79,1.38,16.17,1.66,936.32,0.71,2.41,6.51,13.96,990.68,11.11,37.3,0.001,0.02,2.29,17.79,0.5,1.33,452.79,0.41,0.025,4.56,0.56,0.38,2.13,154.81,1.35,18.75,92.56,109.91,0,0.0025,5377.0,6984.0,973.0,0
0.105,8.7,1.07,494.0,0.97,0.05,3.89,0.16,30.94,12.14,2.85,11.77,15.87,5.76,16.83,0.12,3.14,1.46,15.14,1.17,1255.49,0.32,2.19,6.18,0.49,1154.61,7.46,49.72,0.001,0.01,1.0,28.38,0.5,0.97,178.19,0.43,0.025,3.93,0.82,0.41,1.02,258.86,1.26,25.94,126.13,106.92,0,0.0025,6137.0,7008.0,1255.0,0
0.155,2.64,6.93,36.27,0.37,0.05,22.93,0.11,22.89,8.57,11.62,3.11,14.18,3.72,6.71,0.05,1.07,0.24,14.23,1.59,3886.34,0.84,0.15,1.93,5.15,289.66,8.97,22.36,0.001,0.06,8.72,6.09,1.0,0.43,260.47,0.12,0.025,1.41,0.13,0.26,0.4,45.34,0.58,10.9,50.73,40.48,0,0.007,11060.061,6529.653,1513.0,0
0.583,8.32,28.6,471.69,1.17,0.05,5.08,0.2,25.87,19.05,38.38,3.47,23.38,4.89,21.02,0.1,2.97,0.59,11.66,1.84,890.32,1.67,1.66,6.61,13.6,1040.06,17.93,6.83,0.003,0.13,1.98,18.52,1.05,1.5,347.95,0.55,0.025,3.29,0.49,0.33,1.18,147.01,0.57,13.67,87.39,113.28,0,0.0025,9657.505,3298.599,1483.869,0
0.555,1.97,7.27,98.27,0.15,0.44,1.66,0.05,7.73,0.85,16.56,0.62,83.68,6.43,9.23,0.08,0.27,0.52,3.05,0.25,363.49,0.96,0.06,0.93,0.96,211.13,5.76,30.32,0.001,0.09,11.6,2.53,1.02,3.63,54.08,0.07,0.714,0.67,0.09,0.24,0.19,47.63,0.72,1.98,21.12,8.29,0,0.025,5022.0,6829.0,1005.0,0
0.005,7.32,0.83,1228.14,2.15,0.06,0.5,0.05,78.79,1.38,9.72,6.16,4.54,1.66,17.14,0.14,4.34,4.5,34.89,0.1,349.02,5.35,2.16,12.88,1.02,113.65,15.45,213.32,0.001,0.01,1.18,3.55,0.5,3.84,153.66,1.27,0.025,23.87,0.1,1.18,6.31,5.85,2.45,23.64,30.94,151.11,0,0.0025,11057.485,7814.044,1351.0,0
1.801,2.85,12.27,118.06,0.66,0.26,7.21,0.24,7.5,5.11,24.38,0.69,7.63,1.93,7.32,0.025,0.66,0.35,3.59,0.81,970.55,0.75,0.23,1.38,4.6,301.1,5.18,16.03,0.001,0.01,22.07,4.94,0.5,0.77,118.46,0.1,0.025,0.85,0.13,0.21,0.28,38.09,0.86,4.19,62.27,33.61,1,1.358,6528.118,7809.41,960.0,0
0.593,6.1,561.64,1238.22,0.72,0.2,0.02,0.05,61.83,0.18,3.99,5.07,3.18,0.93,11.59,0.025,3.4,4.12,35.44,0.09,46.8,1.9,1.04,7.99,0.71,65.25,15.19,163.85,0.001,0.03,10.66,3.01,0.5,3.23,55.73,0.77,0.025,20.52,0.05,1.67,4.15,1.0,0.6,17.84,14.09,91.94,0,0.029,8527.44,5936.09,1379.58,0
