Slice,Categoria,n,n_pos,Precision,Recall,F1,F1_CI_low,F1_CI_high,PR_AUC,PR_AUC_CI_low,PR_AUC_CI_high,ROC_AUC,ROC_AUC_CI_low,ROC_AUC_CI_high,Brier,Delta_F1,es_problematico
profundidad,Profundo,145,11,0.9,0.8181818181818182,0.8571428571428571,0.6247596153846156,1.0,0.9534580252283602,0.825,1.0,0.9938941655359567,0.9782896289304466,1.0,0.013184837996959686,-0.09431345353675458,True
cuadrante,NE,111,10,1.0,0.8,0.8888888888888888,0.6666666666666666,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0,0.9999999999999999,1.0,0.009607509709894657,-0.06256742179072283,True
