Metrica,Baseline,Mit_A_UmbralSlice,Mit_B_SampleWeight,Mit_C_UmbralGlobal,Delta_A,Delta_B,Delta_C
Accuracy,0.9882903981264637,0.9953161592505855,0.9882903981264637,0.990632318501171,0.007025761124121788,0.0,0.0023419203747072626
Precision,0.9607843137254902,0.9807692307692307,0.9795918367346939,0.9444444444444444,0.019984917043740502,0.01880752300920363,-0.016339869281045805
Recall,0.9423076923076923,0.9807692307692307,0.9230769230769231,0.9807692307692307,0.038461538461538436,-0.019230769230769162,0.038461538461538436
F1,0.9514563106796117,0.9807692307692307,0.9504950495049505,0.9622641509433962,0.029312920089619054,-0.000961261174661221,0.010807840263784563
PR_AUC,0.9932469240161549,0.9932469240161549,0.9928533105814966,0.9932469240161549,0.0,-0.0003936134346582687,0.0
ROC_AUC,0.9988205128205128,0.9988205128205128,0.9988205128205128,0.9988205128205128,0.0,0.0,0.0
Brier,0.00866815634071827,0.00866815634071827,0.007956475019454956,0.00866815634071827,0.0,-0.0007116813212633133,0.0
