Codigo,East,North,Level,Au_ppm,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
MUESTRA0325,6878,7953,955,0.82,0.922,0.55,6.29,46.3,0.17,<0.01,21.07,0.05,2.05,0.72,5.89,1.37,5.89,0.34,1.23,<0.05,0.11,0.19,1.54,0.04,761.45,0.14,0.02,0.22,0.53,50.73,1.47,12.28,<0.002,<0.01,8.89,0.75,<1,0.2,216.94,<0.05,<0.05,0.08,0.01,0.14,<0.1,24.32,0.1,1.28,7.52,3.07
MUESTRA0326,6892,7999,929,0.017,0.243,1.81,6.77,148.29,0.29,0.05,8.96,0.08,5.72,3.69,11.35,2.78,2.83,1.33,4.33,<0.05,0.48,0.54,3.41,0.36,992.23,0.5,0.02,1.13,2.16,204.59,6.03,39.5,<0.002,<0.01,14.86,3.37,<1,0.28,120.08,0.06,<0.05,0.66,0.09,0.44,0.22,41.33,0.46,3.49,19.58,17.66
MUESTRA0327,7416,9167,948,<0.005,0.141,8.27,12.03,146.84,0.4,0.05,3.85,0.37,23.16,21.38,46.03,2.42,8.55,4.97,13.6,0.16,1.35,0.59,10.86,2.34,900.99,2.68,2.66,3.02,13.54,742.31,10.34,28.55,<0.002,0.05,4.25,20.71,<1,0.65,168.31,0.22,<0.05,2.24,0.41,0.14,0.61,185.67,0.72,15.48,77.49,49.39
MUESTRA0328,7403,9151,932,<0.005,7.251,2.08,0.83,79.88,0.14,0.05,11.49,0.43,5.95,6.56,12.99,1.37,957.2,2.11,4.27,<0.05,0.4,0.23,2.64,0.9,1135.12,0.21,0.4,0.66,6.48,187.05,1.43,9.29,<0.002,<0.01,3.64,5.49,<1,0.32,156.28,0.05,<0.05,0.56,0.1,0.08,0.2,47.25,0.11,5.92,56.79,13.92
MUESTRA0329,6357.364,8528.587,619,<0.005,0.23,6.19,0.27,1033.08,1.74,0.26,0.61,0.06,37.25,3.22,8.79,6.05,10.9,2.13,13.02,0.07,2.71,2.41,19.91,0.64,372.52,0.1,0.21,8.87,4.33,278.11,21.43,143.58,<0.002,<0.01,1.49,4.28,<1,2.15,30.98,0.72,<0.05,8.59,0.09,1.05,2.32,17.04,0.54,16.78,79.11,87.5
MUESTRA0330,6360.437,8526.132,621,<0.005,0.101,8.12,1.3,1002.23,2.18,0.06,0.27,0.07,58.51,1.29,2.99,7.34,4.05,1.78,19.36,0.09,2.96,2.37,28.84,0.49,390.31,0.38,1.66,16.03,0.77,267.85,11.55,126.66,<0.002,<0.01,0.96,3.56,<1,3.43,147.89,1.03,<0.05,14.12,0.05,1.04,3.42,5.07,0.28,17.97,57.9,100.01
MUESTRA0331,6358.081,8524.675,620,<0.005,0.057,5.72,<0.2,533.97,1.65,0.12,1.05,0.16,43.84,0.8,5.66,2.34,1.86,1.19,15.58,0.08,2.65,1.58,27.82,0.56,566.1,0.56,2.12,12.03,0.94,208.79,32.11,83.95,<0.002,<0.01,0.6,2.04,<1,2.32,156.38,0.82,<0.05,10.82,0.04,0.63,2.72,2.14,0.27,19.99,57.66,84.13
MUESTRA0332,6343.723,8516.412,617,<0.005,0.175,6.24,0.67,727.89,2.11,0.32,1.06,0.16,42.93,1.39,4.01,5.52,3.9,1.74,15.66,0.06,3.06,2.21,20.36,0.64,585.24,0.4,0.97,11.62,1.11,199.22,35.13,145.35,<0.002,<0.01,1.04,2.66,<1,2.55,80.96,0.83,<0.05,9.05,0.06,1.09,2.57,6.95,0.42,17.96,73.92,77.4
MUESTRA0333,6329.307,8505.809,614,<0.005,0.12,6.24,0.32,504.26,1.82,0.22,0.87,0.11,40.93,1.26,4.54,5.2,1.94,1.65,16.65,0.07,2.27,2.15,22.79,0.92,592.8,0.38,1.13,11.33,1.09,218.87,22.08,125.35,<0.002,<0.01,0.71,2.49,<1,2.31,104.56,0.83,<0.05,10.11,0.06,0.86,2.26,6.07,0.41,16.17,68.93,66.72
MUESTRA0334,6327.073,8514.711,617,<0.005,0.149,6.23,0.33,294.18,0.97,0.17,0.21,0.05,43.83,1.37,6.49,1.85,4.27,1.13,9.62,0.05,2.3,0.9,26.61,0.35,345.29,0.15,3.02,10.83,1.3,219.9,29.17,72.98,<0.002,<0.01,0.6,2.08,<1,2.13,234.52,0.92,<0.05,12.2,0.04,0.43,2.59,7.23,0.2,12.52,39.62,59.5
MUESTRA0335,6769,8253,800,0.051,0.899,6.48,128.62,486.97,0.7,0.05,0.08,0.07,14.86,4.38,19.15,7.14,5.58,4.27,16.11,<0.05,2.01,2.57,7.11,0.4,382.83,1.7,0.23,4.34,1.58,640.46,23.58,171.36,<0.002,0.02,5.9,12.16,<1,1.39,17.27,0.34,0.193,5.29,0.39,1.44,1.38,104.66,3.93,9.48,33.49,67.33
MUESTRA0336,5300.192,8533.699,486,2.476,565.201,1.48,>10000,129.4,0.34,0.16,0.01,1.42,18.32,0.28,18.81,1.37,221.66,3.05,4.18,0.05,0.52,0.5,7.84,0.03,38.72,0.9,0.03,2.36,1.81,380.04,1837.17,34.43,<0.002,0.36,842.26,4.24,1.06,1.38,30,0.15,<0.05,2.34,0.08,0.47,0.81,17.23,1.9,2.35,57.82,15.17
MUESTRA0337,6842.361,7921.866,970,0.183,0.257,1.05,5.43,64.59,0.24,<0.01,9.3,0.05,2.43,0.86,12.26,1.85,2.34,0.53,1.69,<0.05,0.1,0.43,1.36,0.08,413.38,0.28,0.02,0.27,0.96,60.52,1.93,29.46,<0.002,<0.01,13.79,1.03,<1,0.2,92.77,<0.05,<0.05,0.22,0.02,0.26,0.2,20.91,0.19,1.01,8.05,3.63
MUESTRA0338,6839.058,7919.794,968,0.078,0.883,1.52,7.43,108.04,0.28,0.05,21.66,0.11,8.92,2.8,7.11,2.35,4.57,1.18,2.98,<0.05,0.31,0.46,5.35,0.32,1596.11,1.02,0.03,0.82,1.96,156.64,4.55,36,<0.002,<0.01,8.98,3.14,<1,0.2,332.16,0.05,<0.05,0.58,0.07,0.35,0.29,29.44,0.59,4.44,18.61,13.74
MUESTRA0339,6846.961,7923.449,968,0.422,0.327,1.32,6.78,102.96,0.27,0.05,14.09,0.05,6.3,1.59,8.79,2.04,4.76,0.74,2.51,<0.05,0.18,0.51,3.38,0.19,1149.13,0.23,0.02,0.63,1.53,134.46,2.23,43.3,<0.002,<0.01,15.24,2.49,<1,0.21,162.98,<0.05,<0.05,0.54,0.05,0.38,0.19,23.72,0.46,3.37,11.46,9.11
MUESTRA0340,6836.096,7897.925,985,0.013,0.426,0.47,4.87,41.7,0.12,<0.01,29.24,0.07,7.56,1.11,2.87,0.74,13.42,0.38,1.05,<0.05,0.1,0.2,5.01,0.08,1885.2,0.21,0.02,0.28,0.4,60.72,3.23,13.54,<0.002,<0.01,4.36,1.25,<1,<0.2,394.34,<0.05,<0.05,0.22,0.03,0.11,0.18,7.94,0.2,4.71,7.32,4.24
MUESTRA0341,6866,7805,1027,0.008,1.163,1.91,14.61,102.93,0.34,0.05,9.08,0.49,10.73,3.13,10.56,2.51,13.94,1.2,3.92,<0.05,0.5,0.71,5.17,0.32,1452.93,0.51,0.02,0.95,2.27,191.55,8.05,48.71,<0.002,<0.01,31.6,3.59,<1,0.29,112.15,0.07,0.43,0.71,0.08,0.43,0.43,26.75,0.87,6.51,58.44,15.5
MUESTRA0342,6766,7761,1053,0.693,2.099,1.42,20.55,54.96,0.27,0.05,3.92,1.71,4.86,5.82,11.18,2.26,21.03,2.22,3.43,0.14,0.22,0.22,2.92,0.56,1759.92,4.33,0.02,0.38,6.22,122.89,127.74,18.41,<0.002,0.01,24.69,1.87,<1,0.21,35.43,<0.05,<0.05,0.37,0.04,0.19,0.1,42.64,0.19,2.27,284.53,6.67
MUESTRA0343,6777.825,7997.316,955,0.182,0.481,3.85,2.41,174.09,0.3,0.08,0.26,0.11,11.91,4.98,24.09,4.46,17.85,2.31,5.89,<0.05,0.93,1.03,6.1,0.48,444.48,0.26,0.48,2.28,5.99,397.04,8.65,92.53,<0.002,<0.01,9.29,5.78,<1,0.61,38.62,0.15,<0.05,2.2,0.19,0.77,0.58,41.65,1.19,4.82,75.63,40.05
MUESTRA0344,6757.469,8011.793,945,0.005,1.932,5.6,9.42,847.4,0.57,0.05,1.16,1.49,22.37,10.38,14.92,7.15,44.06,3.55,12.91,0.05,1.96,2.68,10.9,1.2,1428.44,0.6,1.09,3.63,3.01,534.46,23.91,162.31,<0.002,<0.01,6.47,13.8,<1,0.82,195.7,0.25,<0.05,3.61,0.34,2.05,1.18,92.19,1.46,15.53,123.51,73.66
MUESTRA0345,5830.552,8239.037,696,0.005,0.835,1.9,38.8,128.48,0.39,0.07,0.03,0.08,8.66,1.88,25.29,2.08,37.39,1.56,3.89,<0.05,0.93,0.82,4.56,0.09,120.34,6.78,0.03,1.81,2.01,129.9,16.74,69.65,<0.002,<0.01,6.74,3.25,<1,0.46,5.02,0.13,<0.05,2.76,0.09,0.67,0.98,22.5,1.04,3.63,22.09,32.33
MUESTRA0346,5795.033,8225.54,685,0.019,0.619,2.31,60.16,150.18,0.35,0.05,0.02,0.05,9.47,0.85,21.37,2.16,3.73,1.54,4.73,<0.05,0.97,0.98,4.45,0.1,91.34,2.81,0.03,1.99,1.15,250.56,75.79,88.34,<0.002,<0.01,8.45,3.35,<1,1.09,4.26,0.13,<0.05,2.89,0.11,1,0.8,24.86,1.03,3.29,34.49,34.86
MUESTRA0347,5521.08,8370.677,586,0.007,13.824,1.56,41.28,126.54,0.3,0.05,0.05,0.11,18.13,1.63,18.82,1.66,62.18,1.13,3.33,<0.05,0.61,0.74,9.82,0.07,585.57,9.99,0.02,0.88,0.94,268.07,362.83,58.75,<0.002,<0.01,30.11,2.13,<1,3.53,4.21,0.08,<0.05,1.16,0.06,0.45,0.45,27.09,0.68,2.32,57.96,20.41
MUESTRA0348,5432.275,8355.507,561,<0.005,0.136,4.87,16.47,522.91,0.64,0.05,0.1,0.05,24.21,7.35,18.01,4.62,3.39,3.42,11.88,<0.05,1.87,2.2,11.08,0.45,1742.85,0.41,0.04,3.87,2.24,453.68,8.35,171.03,<0.002,<0.01,2.09,8.83,<1,1.71,8.83,0.3,<0.05,5.71,0.25,1.85,1.14,61.86,1.48,6.7,27.16,95.67
MUESTRA0349,5430.223,8352.772,559,<0.005,0.199,8.11,21.76,649.26,1.03,0.05,0.13,0.15,35.29,9.5,20.84,11.09,5.2,4.18,20.4,0.06,3.51,3.72,14.7,0.5,1435.68,0.64,0.07,7.01,2.85,874.66,23.29,268.25,<0.002,<0.01,3.86,14.68,<1,3.4,12.82,0.49,<0.05,8.94,0.41,2.25,2.9,127.88,3.12,12.99,59.31,142.98
MUESTRA0350,5429.87,8352.753,559,0.02,0.739,7.4,174.36,505.85,1.2,0.05,0.11,0.11,43.85,9.11,18.99,15.11,9.89,3.64,19.32,0.08,3.49,4.1,20.27,0.24,1056.51,2.12,0.08,7.03,2.84,747.66,21.06,306.06,<0.002,<0.01,25.22,13.99,<1,30.1,13.25,0.45,0.065,9.22,0.38,2.57,2.54,116.79,4.43,16.56,71.37,98.15
MUESTRA0351,5445.411,8326.43,557,<0.005,0.22,0.44,2.73,40.77,0.11,0.05,0.01,0.05,3.09,1.71,29.7,1.8,4.72,0.75,1.15,<0.05,0.1,0.11,0.98,0.06,368.35,0.3,0.03,0.19,1.35,36.32,4.76,8.1,<0.002,<0.01,1.58,0.64,<1,0.27,3.25,<0.05,<0.05,0.3,0.01,0.09,0.31,41.55,0.21,0.66,21.4,2.93
MUESTRA0352,5455.559,8296.044,540,0.044,0.766,2.34,58.09,164.46,0.36,0.05,0.06,0.09,9.01,6.06,50.05,3.1,6.76,2.29,4.44,<0.05,0.65,1,4.05,0.15,1524.62,5.28,0.02,1.27,2.26,193.88,14.11,77.06,<0.002,0.33,5.69,2.51,<1,1.29,7.49,0.09,<0.05,2.16,0.07,0.77,0.61,17.76,0.97,3.98,16.09,22.2
MUESTRA0353,6274.909,7994.661,829,0.222,111.276,2.73,1389.72,190.5,0.44,1.12,0.02,1.25,18.37,0.75,13.26,4.37,109.85,4.69,5.68,0.12,0.83,1.37,9.98,0.09,50.63,5.6,0.03,2.27,1.27,334.97,6914.29,80.08,<0.002,0.4,837.72,1.82,5.21,1.4,8.87,0.26,2.923,6.02,0.05,0.81,1.59,24.1,0.4,2.83,266.83,27.39
MUESTRA0354,6349.78,7849.143,929,<0.005,0.124,4.1,8.77,397.48,0.55,0.05,1.13,0.16,21.12,11.46,23.65,2.52,37.06,2.96,10.36,<0.05,1.09,0.93,9.87,1.01,633.87,0.79,0.81,2.71,8.89,437.97,9.09,41.47,<0.002,<0.01,10.51,8,<1,0.55,290.28,0.17,<0.05,1.9,0.19,0.43,0.75,87.14,1,7.13,57.94,46.59
MUESTRA0355,6430.254,7774.135,936,0.026,0.129,2.5,2.98,120.23,0.58,0.05,0.06,0.12,12.35,2.46,19.54,3.27,4.07,1.37,4.91,<0.05,0.78,0.84,4.68,0.35,1352.17,0.32,0.05,1.27,2.69,237.92,21.06,56.67,<0.002,<0.01,36.91,4.73,<1,0.63,10.56,0.09,<0.05,1.12,0.11,0.63,0.45,35.99,0.62,4.61,67.94,23.53
MUESTRA0356,6433.059,7774.259,937,0.067,0.287,0.87,3.64,50.85,0.19,0.05,0.1,0.08,4.17,1.45,22.73,1.36,4.52,0.64,3.3,<0.05,0.48,0.28,1.67,0.13,470.55,0.26,0.03,0.52,1.77,95.73,4.72,18.56,<0.002,<0.01,35.79,1.27,<1,0.21,8.1,<0.05,<0.05,0.4,0.04,0.19,0.32,11.88,0.31,2,12.77,8.33
MUESTRA0357,6360.191,7690.664,879,<0.005,0.267,3.35,3.73,184.65,0.5,0.05,18.6,0.11,18.86,6.39,16.2,4.83,19.01,1.91,7.08,<0.05,1.21,0.95,8.57,0.83,1571.92,0.29,0.2,2.39,5.59,380.46,4.35,60.06,<0.002,<0.01,5.97,6.75,<1,0.53,205.91,0.15,0.064,1.4,0.19,0.59,0.52,48.33,1.54,7.78,31.6,85.72
MUESTRA0358,6347.546,7868.278,928,<0.005,0.142,4.41,7.46,616.94,0.67,0.05,1.2,0.09,22.35,14.28,22.34,2.55,8.72,3.61,9.74,0.06,1.88,1.1,8.89,1.25,672.55,0.81,1.13,2.99,8.78,519.46,7.11,62.01,<0.002,<0.01,6.58,9.4,<1,0.66,330.02,0.22,<0.05,1.95,0.24,0.58,0.97,92.38,1.77,7.81,61.3,44.99
MUESTRA0359,6340.245,7833.639,918,<0.005,0.196,2.94,6.17,350.17,0.38,0.05,0.39,0.08,13.24,6.76,28.29,1.92,6.02,1.85,4.75,0.13,0.68,0.78,5.09,0.71,480.8,1.2,0.7,1.71,3.58,268.56,7.92,40.94,<0.002,0.01,7.91,5.35,<1,0.43,141.18,0.13,<0.05,1.03,0.16,0.44,0.27,48.92,0.89,4.27,39.65,22.96
MUESTRA0360,6330.647,7866.237,922,0.005,0.869,4.31,20.94,678.61,0.54,0.06,0.8,0.22,18.53,12.86,22.75,3.43,12.08,3.24,9.8,0.06,1.6,1.56,8.83,1.03,579.82,2,0.72,3.22,10.97,384.8,28.56,90.54,<0.002,<0.01,5.94,10.33,<1,0.64,176.4,0.23,<0.05,1.86,0.27,0.95,0.73,85.15,1.25,8.68,61.05,42.69
MUESTRA0361,6324.454,7869.724,918,<0.005,0.161,2.32,3.75,291.67,0.34,0.05,0.61,0.05,9.38,7.01,22.06,1.78,6.38,1.79,5.78,<0.05,0.5,0.47,4.55,0.44,431.57,0.92,0.45,1.32,3.46,207.14,8.89,28.39,<0.002,<0.01,2.59,4.11,<1,0.48,131.63,0.09,<0.05,0.89,0.12,0.21,0.47,53.45,0.53,4.01,29.4,19.22
MUESTRA0362,6307.648,7873.18,905,<0.005,0.085,3.86,2.55,261.18,0.49,0.05,0.78,0.07,14.96,7.24,21.02,1.98,6.25,2.88,8.32,<0.05,1.29,0.57,7.67,1.51,678.53,0.5,0.87,2.84,4.35,428.55,9.28,29.65,<0.002,<0.01,2.59,7.87,<1,0.5,188.2,0.19,<0.05,2.11,0.23,0.26,0.92,67.88,0.64,6.54,62.65,38.22
MUESTRA0363,6415.764,8103.782,773,<0.005,2.353,1.99,9.52,107.39,0.56,0.2,0.36,2.22,10.41,3.47,28.03,2.84,18.39,2.76,7.51,<0.05,0.48,0.35,5.1,0.36,1507.4,2.33,0.05,2.79,3.03,99.3,653.22,28.2,<0.002,<0.01,5.72,3.75,<1,0.64,23.81,0.1,<0.05,1.2,0.05,0.21,0.64,62.19,1.12,3.51,471.29,23.71
MUESTRA0364,6285.813,8211.679,715,0.095,1.466,3.22,90.84,194.92,0.45,0.07,0.13,0.17,25.7,3.36,22.62,3.91,15.17,1.94,8.3,0.05,2.36,1.27,14.36,0.27,332,0.62,0.03,4.89,2.26,658.7,71.99,96.85,<0.002,<0.01,6.14,6,<1,1.83,7.36,0.26,<0.05,3.77,0.19,0.93,1.3,34.58,2.55,8.35,55.19,55.95
MUESTRA0365,6275.028,8226.694,721,1.254,79.392,2.33,74.37,174.25,0.36,0.14,0.07,0.05,17.49,2.19,13.52,3.5,32.22,1.66,5.73,<0.05,1.33,1.08,9.61,0.17,142.75,1.22,0.02,3.52,1.26,412.77,22.23,87.46,<0.002,0.02,22.38,5.44,<1,1.01,7.62,0.2,2.206,3.18,0.16,0.67,0.63,25.16,2.77,5.79,21.92,47.06
MUESTRA0366,6255.471,8251.829,697,0.097,8.447,1.94,247.84,135.95,0.27,0.18,0.03,0.26,9.52,1.97,19.72,3.27,30.3,1.79,5.19,<0.05,0.91,0.98,5.19,0.1,100,17.12,0.03,1.91,1.46,203.51,219.79,68.06,<0.002,0.02,11.14,3.33,<1,0.77,7.72,0.12,0.109,1.55,0.08,0.58,0.42,27.3,1.14,2.71,64.26,20.63
MUESTRA0367,6235.006,8239.024,694,<0.005,0.363,3.93,12.82,195.55,0.56,0.06,2.62,0.17,16.72,5.2,24.63,4.35,6.04,1.78,7.6,<0.05,1.34,1.43,8.41,0.38,892.87,0.48,0.07,2.65,9.14,298.31,6.75,103.74,<0.002,0.03,5.64,5.64,<1,0.72,38.25,0.2,<0.05,3.21,0.16,0.85,0.92,38.85,1.14,7.75,43.96,45.8
MUESTRA0368,6412,8294,698,1.377,3.445,1.2,930.82,95.58,0.26,0.23,0.03,0.41,5.02,8.24,12.86,1.19,60.84,7.94,2.29,<0.05,0.28,0.55,3.49,0.05,238.35,3.82,0.02,0.95,2.32,223.82,114.41,36.01,<0.002,0.1,10.95,1.96,1,0.69,3.07,0.05,0.158,0.69,0.04,0.38,0.21,10.91,0.32,2.8,77.54,7.55
MUESTRA0369,7625,9168,914,<0.005,0.059,6.38,8.44,392.42,0.58,0.06,0.17,0.06,12.48,12.96,30.84,4.14,2.22,3.3,13.75,<0.05,1.76,1.78,5.54,1.54,586.21,0.12,0.27,2.52,13.32,444.02,4.51,80.15,<0.002,<0.01,1,17.48,<1,0.74,30.17,0.19,<0.05,2.16,0.32,0.6,0.28,51.04,0.6,9.35,57.5,62.55
MUESTRA0370,6756.568,7967.345,968,<0.005,0.02,0.36,0.63,54.76,0.07,<0.01,33.08,0.06,2.53,1.05,2.19,0.29,1.36,0.31,0.69,<0.05,0.11,0.19,1.54,0.11,1082.4,0.08,0.08,0.32,0.53,45.42,1.69,11.95,<0.002,0.01,0.31,0.97,<1,<0.2,568.05,<0.05,<0.05,0.12,0.02,0.13,<0.1,5.23,0.1,1.26,15.4,3.62
MUESTRA0371,6550.342,8313.49,772,0.082,2.129,2.53,149.1,214.33,0.45,0.09,0.05,0.67,16.71,6.81,16.31,3.05,39.71,2.5,6.83,0.05,1.03,1.2,8.06,0.13,725.06,1.68,0.04,1.68,2.27,190.6,366.59,71.26,<0.002,<0.01,14.4,3.16,<1,2.13,6.58,0.12,0.059,2.23,0.1,0.9,0.54,37.45,0.74,3.8,218.61,38.44
MUESTRA0372,6245.654,8241.899,694,<0.005,0.659,4.7,27.03,246.09,0.6,0.05,0.61,0.11,35.37,5.39,17.48,6.56,18.26,2.82,8.45,0.05,2.7,1.84,17.38,0.53,1337.78,0.32,0.42,4.4,3.35,408.18,9.09,131.04,<0.002,<0.01,5.48,8.51,<1,1.31,22.68,0.27,<0.05,4.92,0.26,1.36,1.24,61.89,2.43,9.99,41.32,83.83
MUESTRA0373,6283.533,8306.076,651,<0.005,0.343,7.85,2.88,409.93,1.27,0.05,2.35,0.12,36.44,22.55,18.62,12.65,17.56,6.61,17.33,0.07,2.5,1.62,17.74,1.29,1309.15,0.24,0.73,5.96,14.7,1674.97,4.4,107.93,<0.002,0.03,1.77,17.31,<1,1,54.05,0.41,<0.05,4.41,0.44,0.91,0.98,90.11,3.71,18.45,101.31,74.5
MUESTRA0374,6387,8328,673,<0.005,0.239,4.63,0.91,543.22,1.42,0.12,0.27,0.05,14.55,4.99,11.54,6.51,4.75,1.83,12.18,<0.05,2.69,1.8,6.92,0.42,268.5,0.38,0.13,5.9,3.24,52.17,4.44,111.79,<0.002,<0.01,2.56,9.25,<1,1.16,25.89,0.37,<0.05,4.05,0.31,0.86,1.29,95.35,1.4,12.78,34.75,107.91
MUESTRA0375,6227.834,8305.679,650,0.012,1.059,1.91,30.63,103.39,0.26,0.08,0.04,0.08,6.29,1.87,16.68,2.67,10.06,1.02,3.98,<0.05,0.6,0.78,2.97,0.13,266.94,1.44,0.02,1.11,1.76,292.98,29.09,56.68,<0.002,<0.01,6.78,2.3,<1,0.4,6.26,0.09,<0.05,1.19,0.06,0.53,0.32,22.52,1.23,2.39,50.81,16.94
MUESTRA0376,6183.965,8349.394,624,0.008,0.276,3.81,25.58,223.93,0.48,0.05,0.09,0.05,22.24,2.92,10.59,5.13,9.18,1.53,6.87,<0.05,2.05,1.74,10.28,0.22,273.07,1.34,0.05,4.34,1.06,450.79,7.3,124.68,<0.002,<0.01,3.96,3.82,<1,0.73,9.12,0.32,<0.05,3.79,0.14,1.09,0.72,28.86,1.35,6,47.45,71.15
MUESTRA0377,6159.193,8369.36,614,0.13,0.699,3.97,91.57,269.72,0.43,0.05,0.06,0.05,15.42,2.98,7.39,4.49,4.88,2.37,8.08,<0.05,1.93,1.48,7.08,0.25,268.12,6.08,0.15,3.74,0.89,545.52,19.91,102.35,<0.002,0.02,3.47,6.76,<1,0.55,14.63,0.21,0.05,2.26,0.21,0.97,0.65,52.9,1.89,5.57,39.38,43.04
MUESTRA0378,6147.995,8364.259,612,<0.005,0.343,6.62,8.95,317.7,0.86,0.13,3.55,0.18,38.31,6.65,19.82,7.64,10.84,3.5,14.86,0.07,2.04,2.21,18.33,0.65,820.86,0.14,0.72,5.12,5.15,463.62,9.91,141.56,<0.002,<0.01,3.34,10.97,<1,1.48,60.67,0.41,<0.05,5.52,0.34,1.28,1.17,75.71,5.68,13.45,73.6,75.7
MUESTRA0379,7252,9301,989,<0.005,0.11,5.76,2.23,75.3,0.27,0.05,6.8,0.16,17.1,9.6,33.34,32.46,6.26,2.84,7.86,<0.05,1.36,0.15,7.49,0.52,577.73,0.27,1.05,2.28,6.81,511.74,3.57,6.18,<0.002,<0.01,3.38,13.04,<1,0.65,169.64,0.14,<0.05,1.57,0.28,0.05,0.49,85.41,0.29,11.13,38.05,42.71
MUESTRA0380,7997,8498,840,0.015,0.963,3.12,51.29,211.86,0.57,0.06,0.03,0.1,24.29,1.9,11.31,3.78,36.57,1.05,7.1,<0.05,1.58,1.19,13.44,0.1,148.53,0.23,0.06,3.33,1.3,88.91,17.13,58.97,<0.002,<0.01,10.03,5.8,<1,0.96,19.39,0.21,<0.05,3.62,0.09,0.47,0.64,21.79,0.77,5.31,28.55,53.01
MUESTRA0381,6100.995,8209.643,699,0.064,5.313,3.77,163.13,212.93,0.46,0.13,0.03,0.32,23.16,0.75,16.3,6.48,59.77,2.55,9.06,<0.05,1.63,1.55,10.7,0.12,97.95,57.84,0.04,2.77,1.15,352.68,754.34,95.86,<0.002,0.01,11.87,5.2,<1,1.16,5.34,0.19,0.065,3.23,0.15,0.87,0.97,48.61,1.23,4.21,121.44,37.69
MUESTRA0382,7188.403,8040.524,930,<0.005,0.773,7.31,1.43,944.01,1.9,0.05,0.17,0.79,66.32,0.52,4.18,1.71,3.52,1.45,17.11,0.08,3.2,2.7,33.83,0.07,520.72,0.45,3.19,6.56,0.57,129.51,78.54,97.74,<0.002,<0.01,1.67,8.86,<1,1.97,139.65,0.6,<0.05,14.69,0.07,0.79,3.43,4.99,0.28,14.76,270.85,90.77
MUESTRA0383,7502.394,7983.141,1014,0.005,0.813,5.05,46,163.15,0.59,0.05,0.42,0.06,19.08,15.6,26.22,2.3,31.33,4.02,10.75,<0.05,1.94,0.68,8.34,1.13,612.4,7.53,1.2,3.99,16.18,907.68,8.98,38.65,<0.002,0.05,3.07,8.59,<1,0.6,203.85,0.22,<0.05,2.49,0.26,0.51,0.86,92.81,0.81,8.39,63.26,69.76
MUESTRA0384,6949.768,7873.601,989,0.007,0.143,1.23,1.67,72.5,0.48,0.05,2.44,0.05,2.47,1.03,15.33,5.85,2.74,0.54,4.63,<0.05,0.11,0.5,1.26,0.08,307.59,0.36,0.03,0.31,0.94,45.79,7.89,38.87,<0.002,<0.01,23.92,0.86,<1,0.32,40.24,<0.05,<0.05,0.21,0.02,0.44,0.11,67.22,0.11,0.94,10.83,5.2
MUESTRA0385,6791,7992,938,<0.005,0.806,1.38,3.98,66.85,0.62,0.13,0.07,0.18,10.29,2.55,20.78,3.15,8.54,1.83,4.76,<0.05,0.48,0.31,4.64,0.54,612.05,4.07,0.03,1.01,2.9,142.95,30.11,21.83,<0.002,<0.01,4.44,2.79,<1,0.49,14.28,0.07,<0.05,1.4,0.06,0.16,0.32,37.49,0.4,2.84,51.25,14.99
MUESTRA0386,6463.657,8509.734,633,<0.005,0.028,7.29,0.92,398.89,0.96,0.05,0.37,0.13,42.3,4.03,4.13,2.97,3.24,3.65,16.37,0.05,2.3,1.32,21.19,0.53,718.79,0.17,2.39,7.66,1.81,907.79,5.12,65.88,<0.002,<0.01,0.91,9.56,<1,1.45,144.44,0.58,<0.05,6.05,0.26,0.55,1.2,22.28,0.93,17.71,90.7,79.48
MUESTRA0387,6457.475,8521.712,631,<0.005,1.532,3.45,9.05,275.54,0.4,0.16,0.09,0.05,28.12,7.99,8.88,2.31,79.39,3.04,10.88,<0.05,1.13,1.09,15.49,0.55,565.2,0.26,0.21,2.3,2.88,375.84,43.79,69.85,<0.002,0.01,5.57,4.6,<1,1.41,14.08,0.14,<0.05,2.41,0.09,0.76,0.65,39.81,0.19,5.21,54.01,43.96
MUESTRA0388,6132,8384,578,0.015,0.723,2.95,41.8,226.59,0.43,0.17,0.06,0.05,11.8,2.16,14.59,4.26,6.67,1.5,6.75,<0.05,1.18,1.2,5.69,0.16,176.87,6.72,0.04,2.44,1.28,273.84,15.11,92.72,<0.002,0.02,3.5,3.48,<1,0.75,10.39,0.16,0.205,2.16,0.12,0.77,0.57,29.29,0.94,3.92,19.22,32.19
