Experimento,PR_AUC,F1_Score,Tiempo(s)
Baseline,0.7181763089995968,0.6788990825688074,1.39
Baseline + FE,0.9791703114845671,0.8723404255319149,1.0
FE + Tuning,0.9830687266725521,0.8936170212765957,0.69
