,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
E0 Base,0.4876,0.5493,0.45,0.6436,0.5701,0.6831,0.6498,0.7226,0.7201,0.7245,0.7277
E1 +FE,0.5695,0.6625,0.6639,0.6771,0.5227,0.65,0.6769,0.6825,0.6913,0.7244,0.6906
E2 +Cluster RAW,0.5638,0.6566,0.6499,0.7052,0.5505,0.6786,0.6957,0.7307,0.7177,0.7259,0.704
E3 +FE+Cluster RAW,0.5659,0.6624,0.6679,0.6849,0.4884,0.6581,0.643,0.6929,0.7295,0.7153,0.7058
E4 +Cluster LOG,0.5363,0.6454,0.6499,0.6715,0.5248,0.6633,0.6914,0.7179,0.7032,0.7056,0.6927
E5 +FE+Cluster LOG,0.5377,0.6642,0.673,0.6773,0.5515,0.6572,0.6588,0.6855,0.7046,0.7402,0.6886
