,0
Au_Ag_ratio,0.17929266772871696
Au_Cu_ratio,0.1550483845083869
Au_Sb_ratio,0.1530675673355858
Ag_ppm,0.1340952476697475
Au_As_ratio,0.12379171352742571
Cu_Ag_ratio,0.03703798642627369
Sb_ppm,0.02074601468443637
Na_per,0.01772802344640989
Al_per,0.016788189134866325
Ce_ppm,0.016744364980483824
Y_ppm,0.013349561844939647
Te_ppm,0.010619228449924207
Ta_ppm,0.008204127434851929
pathfinder_sum,0.007704694366431614
Se_ppm,0.006323767211688125
La_ppm,0.0055705974606715895
Zr_ppm,0.005565474613524768
Be_ppm,0.005308423613250096
As_ppm,0.004460283154866208
P_ppm,0.0044226290295787925
Pb_Zn_ratio,0.004415843783911017
U_ppm,0.004269582142861024
As_Sb_ratio,0.004007158140559068
Fe_per,0.003658207341145833
pathfinder_mean,0.003621970266221855
pathfinder_max,0.0033989386510779344
Th_ppm,0.0031097942435723393
Mo_ppm,0.0029683020375755815
Mn_ppm,0.002661785901415803
Sn_ppm,0.0025617297955593094
Pb_ppm,0.0024382544282469843
Bi_As_ratio,0.0023651208908443853
Bi_ppm,0.0023010686633306012
Sc_ppm,0.0021170019485309286
Cs_ppm,0.002092034958999042
Ba_ppm,0.001971380177541202
Cu_ppm,0.001783079400876331
Ca_per,0.001774080872870515
W_ppm,0.0017585225207510618
Cr_ppm,0.0017391227703648575
Ga_ppm,0.0016740807512450676
Nb_ppm,0.0016538049677684089
S_per,0.0015079831722051022
V_ppm,0.0014657816481813152
Sr_ppm,0.0014347380782233287
Ni_ppm,0.0013387716774323612
Cd_ppm,0.0013113425052388588
K_per,0.0013093837505460566
Mg_per,0.0011065479031882645
Zn_ppm,0.0010906872146171777
Co_ppm,0.0010312991880145543
Rb_ppm,0.0010249103391211582
Tl_ppm,0.0009812403869684742
Hf_ppm,0.0009310337065281313
Ti_per,0.000839672732795198
Ge_ppm,0.0002813494668801506
Re_ppm,0.00013544695273072927
