,KNN,Reg. Logística,SVM (RBF),MLP,Árbol de Decisión,Random Forest,ExtraTrees,HistGradientBoosting,XGBoost,LightGBM,CatBoost
E1 Baseline,0.5161,0.6118,0.4848,0.7551,0.6724,0.713,0.6667,0.7664,0.7629,0.7736,0.7304
E2 +FE,0.5301,0.7327,0.6612,0.7358,0.6435,0.7241,0.7179,0.7547,0.7843,0.7477,0.7611
E3 +Cluster,0.5455,0.5882,0.4805,0.7184,0.6726,0.7143,0.6727,0.8224,0.7755,0.7619,0.735
E4 +FE+Clu,0.5605,0.7347,0.6777,0.7358,0.6545,0.7321,0.7207,0.7963,0.7921,0.8113,0.7611
