Fold,F2,F1,PR_AUC,ROC_AUC,Brier
1,0.7973421926910299,0.6620689655172414,0.7222978623630213,0.9459487179487179,0.0548429729978383
2,0.7337883959044369,0.6277372262773723,0.6685545988362563,0.9317179487179487,0.0645125933659963
3,0.7142857142857143,0.5660377358490566,0.7005783412548356,0.9451100370218017,0.057609938815942334
4,0.6654676258992805,0.6065573770491803,0.6389933102950112,0.9037947346770876,0.06871535222335301
5,0.7,0.5833333333333334,0.6643296425349191,0.9137186343068697,0.0657361887573637
