Bloque,n,n_pos,F1,F1_CI_low,F1_CI_high,PR_AUC,Brier,F1_CV_ref,Delta_F1,PR_AUC_CV_ref,Delta_PR_AUC,Delta_Brier,Cumple_H3
NE,555,52,0.9345794392523364,0.8703502415458937,0.9772853535353535,0.9862793356966917,0.009546828456223011,0.9473575656085034,0.01277812635616693,0.993549305146445,0.007269969449753333,0.0008683524560183283,True
NO,511,74,0.9733333333333334,0.9433962264150944,0.9942196531791907,0.9974605243272835,0.006266048643738031,0.9473575656085034,-0.025975767724830012,0.993549305146445,-0.003911219180838477,-0.0024124273564666513,True
SO,555,108,0.9363636363636364,0.899157736489091,0.9672197787551645,0.9864929424667892,0.020871302112936974,0.9473575656085034,0.010993929244866973,0.993549305146445,0.007056362679655814,0.012192826112732291,True
SE,511,26,0.9230769230769231,0.8275862068965517,0.9818341307814992,0.9909475232055875,0.0046052755787968636,0.9473575656085034,0.024280642531580243,0.993549305146445,0.0026017819408574727,-0.004073200421407819,True
