Bloque,n_train,n,n_pos,Accuracy,Precision,Recall,F2,F2_CI_low,F2_CI_high,PR_AUC,PR_AUC_CI_low,PR_AUC_CI_high,ROC_AUC,ROC_AUC_CI_low,ROC_AUC_CI_high,Brier
NE,1577,555,52,0.809009009009009,0.3125,0.8653846153846154,0.6392045454545454,0.5370313565098842,0.7143368808841588,0.5111133489309385,0.38473561914642035,0.654915615659732,0.91919636029974,0.8860334324525613,0.9484875149295597,0.06209491546319783
NO,1621,511,74,0.8140900195694716,0.38461538461538464,0.47297297297297297,0.45219638242894056,0.35420623124982803,0.5532505910165484,0.4405107190152515,0.33585123874102035,0.5471825149502675,0.7627249675304595,0.7060036517042441,0.8190252481170954,0.10670612894027098
SO,1577,555,108,0.8594594594594595,0.6530612244897959,0.5925925925925926,0.6037735849056604,0.5185019841269841,0.6870348282442749,0.7384151469966631,0.6613141532178957,0.8030151514109013,0.9050149142431021,0.875047482283701,0.9307498014666787,0.11362957515261715
SE,1621,511,26,0.8043052837573386,0.1864406779661017,0.8461538461538461,0.4954954954954955,0.36082474226804123,0.604852271083466,0.344483640170961,0.20036739987441363,0.5156655345935633,0.9052339413164155,0.8609307575123902,0.9425187609813924,0.055544477965988596
