,n,% Neg,% Pos
kmeans=0,357,0.997,0.003
kmeans=1,741,0.799,0.201
kmeans=2,201,0.99,0.01
kmeans=3,13,0.077,0.923
kmeans=4,8,0.0,1.0
kmeans=5,5,0.8,0.2
kmeans=6,380,0.908,0.092
gmm=0,467,0.949,0.051
gmm=1,85,0.941,0.059
gmm=2,412,0.998,0.002
gmm=3,94,0.543,0.457
gmm=4,8,0.0,1.0
gmm=5,295,0.851,0.149
gmm=6,5,0.8,0.2
gmm=7,325,0.788,0.212
gmm=8,14,0.071,0.929
dbscan_outlier=0,1582,0.894,0.106
dbscan_outlier=1,123,0.675,0.325
