N,F1 CV
1,0.606
2,0.6103
3,0.5942
4,0.6319
5,0.668
6,0.6848
7,0.6918
8,0.6701
9,0.692
10,0.7133
11,0.7296
12,0.7172
13,0.7243
14,0.7084
15,0.7189
16,0.7147
17,0.7169
18,0.7247
19,0.7067
20,0.7307
21,0.7324
22,0.7214
23,0.7235
24,0.7282
25,0.7338
26,0.7423
27,0.7349
28,0.7108
29,0.7356
30,0.7171
31,0.7251
32,0.7211
33,0.712
34,0.7174
35,0.7288
36,0.7198
37,0.727
38,0.7086
39,0.7227
40,0.717
41,0.7051
42,0.7156
43,0.7139
44,0.7181
45,0.7044
