n_features,f1_cv_mean,f1_cv_std
1,0.52390792585967,0.04844664256353629
2,0.47440823452455244,0.03803054730708361
3,0.5081569097421574,0.057018824414385876
4,0.5261366084649977,0.03969079793672948
5,0.5685883215095296,0.03676130815825215
6,0.5857146608753643,0.025895730603251947
7,0.594380936167453,0.042957211908076644
8,0.6142276779265801,0.05624768464072662
9,0.6310406701411199,0.04249973946777287
10,0.6569076357436789,0.022604672110928193
11,0.6635483219532576,0.04426671543165817
12,0.6618551116310374,0.03925168350473407
13,0.6563818639104253,0.030679653095221783
14,0.6681817958891411,0.026953559156368316
15,0.6591165826883452,0.029529367473976845
16,0.6935485869144405,0.029125145872020624
17,0.7103784606584159,0.032981635057130865
18,0.7035314026243634,0.015531743385033056
19,0.7152532684832991,0.028766031828417245
20,0.6924462634140054,0.026719256373513262
21,0.7010345068818346,0.04232116456485902
22,0.7192792226500091,0.03179828630664992
23,0.7156533324267095,0.040269214326787296
24,0.7180476282026794,0.040606724991050246
25,0.7105887548101998,0.030638213865356735
26,0.7196800329557352,0.01994550093345694
27,0.7323925303740275,0.024833260558374145
28,0.7204939204939205,0.03496013762102808
29,0.7237059267280481,0.027550313734056284
30,0.7104087612629112,0.02669830553356999
31,0.7123785576410955,0.030516923201577912
32,0.7173301887410493,0.029812409767587793
33,0.7307184154574957,0.03806589272788294
34,0.7303041935638641,0.026313744346248873
35,0.7252120523828044,0.0257209025757562
36,0.7332866105805668,0.020056559815766355
37,0.7242187482531814,0.01835765602405618
38,0.7312562703065892,0.027507391366097776
39,0.7342726659867591,0.03269643055434982
40,0.7242541382274047,0.03231886354179439
41,0.7373899940327486,0.03994328825220411
42,0.7486932030163308,0.03304157275567943
43,0.7292444533408389,0.036155334119171864
44,0.743991592375154,0.049739729857803956
45,0.7291961509340001,0.048974147040792594
46,0.7415093244964936,0.039994152927770366
47,0.763418008766846,0.029961220699056785
48,0.7535069280808948,0.04751766325728608
49,0.7565010372440713,0.03860389302025733
50,0.743109185368951,0.045374097916184505
51,0.7429892318654737,0.02627026602307181
52,0.7472000235823637,0.04406843473112165
53,0.7539082600642109,0.032637068893577106
54,0.7375665763110277,0.03576625656575066
55,0.7410337341156896,0.044241885567839104
56,0.7439197432233351,0.02761381908024764
57,0.7424850498338871,0.04083922324538614
58,0.722492270817215,0.027752423206319345
59,0.7408398149957658,0.034360084944763294
60,0.7480733920362403,0.04324394883084381
61,0.7329841799985999,0.03188880920275607
62,0.7366498925017556,0.03958028210831658
63,0.7249492530661927,0.04549196134984358
64,0.7328762837088274,0.03730727692927807
65,0.7393587862206192,0.029871959347348584
66,0.7364750319989718,0.029801204212478616
67,0.7463751056725416,0.0486416047941408
68,0.7303550030394937,0.027590343506678223
69,0.7371940095112681,0.029869608088690193
70,0.7249492596325572,0.03783700353218302
71,0.7190610791308318,0.04332682150225874
72,0.7384799207320627,0.04660239421215781
73,0.7389549256033525,0.04384189757228137
74,0.7318821664577795,0.031056791850351362
75,0.7419297651855791,0.04319046957604825
76,0.7395396036359891,0.04458383234266869
77,0.7374403878033642,0.03768959733536874
78,0.7257353960227879,0.0311314365975466
79,0.7337497440650613,0.02905848224769248
80,0.720984812939869,0.027932291955158534
81,0.7338763471355644,0.038716792301999654
82,0.7321630278905821,0.042293284339648664
83,0.7210719114648544,0.030007223649447756
84,0.7188537509998028,0.024547552500961595
85,0.7299841325256254,0.0363422182877457
86,0.7211712096853269,0.03827558327678497
87,0.7349260699585289,0.05079291827427971
88,0.7113995251744549,0.03655003010623429
89,0.7221261194932501,0.03770975562488476
90,0.730102385986107,0.04566730249846498
91,0.7570692742028542,0.03822022607196568
92,0.7375685234305924,0.04096532808602313
93,0.7510085636935215,0.031271169421501155
94,0.7473426312762848,0.03200121612195151
95,0.7323143691752982,0.031601997511666265
96,0.7274635244273797,0.03903036794035118
97,0.7214385951170775,0.046463786680588044
98,0.7375722061373389,0.02961064126305049
99,0.7314721984991119,0.031493369259394215
100,0.7250105066043806,0.025531603153958967
101,0.7355233894680566,0.035661438233247335
