feature,mean_abs_shap,cum_frac
Sb_ppm,0.07171574230540254,0.12195371876781433
Se_ppm,0.044443613155672884,0.1975307639963367
Te_ppm,0.038800058293399275,0.2635108576992998
suma_path_AsSbTl,0.03473747729400651,0.322582470157496
Sb_pctile_litho,0.026107383263933002,0.36697847546933643
log_Te_Se,0.021005614426423576,0.4026988446930992
log_Sb_Tl,0.018960328984713126,0.4349411746811241
Y_ppm,0.018783970342063624,0.4668836040947903
Na_Al_molar,0.0184946597995464,0.4983340564974892
Ce_ppm,0.01698876773844068,0.5272237163738736
Mo_ppm,0.015355320317017963,0.5533356738790565
Al_per,0.014839013290986901,0.5785696433745454
Nb_ppm,0.014281854534494789,0.6028561558666764
Mg_per,0.013099025784981006,0.6251312499445018
Ta_ppm,0.012773103599832906,0.6468521083520266
La_ppm,0.012072061931223614,0.6673808346592655
S_per,0.010377016498674091,0.6850271102334491
Na_per,0.009260440059039936,0.7007746304615327
Mn_ppm,0.008200749422304953,0.7147201305230687
log_As_Sb,0.007607693178924694,0.7276571293546977
K_Al_molar,0.0070280968415855185,0.7396085157329032
Cd_ppm,0.0065317892368615205,0.7507159234238202
As_ppm,0.006499293295883225,0.7617680712691334
cluster_litho_prob,0.006428209750028507,0.7726993404554308
Zr_ppm,0.006301354978527987,0.7834148911588594
Sr_ppm,0.006221549569734104,0.79399473154169
Bi_ppm,0.005930919314021977,0.804080350721042
Ti_per,0.005166224197805238,0.8128655941370214
Ga_ppm,0.004957900912624007,0.8212965806141883
Sc_ppm,0.004885601875870967,0.8296046214714408
Mo_pctile_litho,0.004836448931704485,0.8378290769939147
Th_ppm,0.004720641889456501,0.84585660086641
Sn_ppm,0.00467521837981039,0.8538068813646789
U_ppm,0.004584658853851639,0.8616031640013138
V_ppm,0.004503046193083082,0.8692606630576731
Be_ppm,0.004434539287140905,0.8768016650706727
Co_ppm,0.004388060345208727,0.8842636289306699
As_pctile_litho,0.004275080012398534,0.8915334680034042
Fe_per,0.00419042508892661,0.898659350081516
P_ppm,0.004171829330719656,0.905753609787834
Rb_ppm,0.004085230567223218,0.9127006069697803
W_ppm,0.0036437162528600827,0.9188968022943532
log_Rb_Sr,0.0035953791424539164,0.925010799621959
Ge_ppm,0.0033311942209083567,0.9306755464420866
CCPI_Large,0.0031951013552148117,0.936108865258605
Te_detectado,0.0030213140560381743,0.9412466561097439
Cr_ppm,0.002831026320370959,0.9460608597503968
Ba_ppm,0.0027386843092053396,0.9507180343860067
Tl_pctile_litho,0.002663226249854119,0.9552468914353648
Se_detectado,0.0024849351039309,0.9594725616589334
Cs_ppm,0.0023581479533670616,0.9634826283900723
Ni_ppm,0.002292943612784347,0.9673818141408539
log_Ba_Sr,0.0021701500883332483,0.9710721876216092
AI_Ishikawa,0.002066536466035302,0.9745863645498638
Hf_ppm,0.002055609014956772,0.9780819591801064
Bi_pctile_litho,0.0019794351312947094,0.9814480189538872
Tl_ppm,0.0019240457963939956,0.9847198883148791
K_per,0.0018872915636038124,0.9879292565397865
W_pctile_litho,0.001773653033468194,0.9909453807027929
log_Th_U,0.00158169544472191,0.9936350780445634
Ca_per,0.0012817408621916212,0.9958146980222145
cluster_litho,0.0012482146630690709,0.9979373061844997
CIA_molar,0.0012129816099253456,1.0
