n_features,f2_cv_mean,f2_cv_std
1,0.5058173072946899,0.04463624580577997
2,0.47698498016265994,0.047865882660326944
3,0.5747845178421416,0.03633847258085553
4,0.586215121424486,0.06761026119566405
5,0.6015299355816597,0.05563079660205778
6,0.61936551390798,0.023916349668179872
7,0.6103020488925576,0.04460041725535915
8,0.6465945108994157,0.020190910655824536
9,0.6574649609483137,0.032432415790973626
10,0.675545759355973,0.0195258169189552
11,0.6721945787766916,0.022597941800102266
12,0.6680950577054772,0.022786012726590886
13,0.6604284576714592,0.02182346794796298
14,0.6586152053862845,0.04006303163060751
15,0.6795021684145405,0.006887730619409224
16,0.6602697513801511,0.025062509231355296
17,0.673777486295598,0.038163149011676986
18,0.6803394802823599,0.025890040315423198
19,0.6680166705195283,0.028449500676594745
20,0.6670452121026363,0.03697178135977058
21,0.6867737001856785,0.02952731001059182
22,0.6776989597307843,0.034064063943918824
23,0.6821591843966512,0.0384847873177058
24,0.667731207733506,0.027781596985416813
25,0.6712865855656135,0.03023557991802078
26,0.6694100918614517,0.022304031757151014
27,0.6642015605047107,0.04027745752379502
28,0.6600526341167543,0.02925998818777179
29,0.6720419891200222,0.03636314198100559
30,0.6602002782609584,0.03974457586275234
31,0.6564358383162799,0.026840302804987903
32,0.6618320936060975,0.039678401734645104
33,0.6600616415439748,0.03181862857074784
34,0.6688244877237629,0.02995803696244089
35,0.6775509696602293,0.049592903008156344
36,0.6610656100841955,0.026058674304768544
37,0.674493927125506,0.03378380856720028
38,0.6635983985055193,0.036217631343686774
39,0.6916131352812576,0.036481877097335816
40,0.686226339076983,0.018466343175115182
41,0.6750482009932429,0.024661760064218424
42,0.6794977819173387,0.022744939146173346
43,0.697857799760705,0.022577459771557305
44,0.6791219973339484,0.04077051214488328
45,0.6908609114222253,0.02019891726272931
46,0.6841558813843364,0.011954396165031682
47,0.677973286498545,0.014554507805154123
48,0.6820566836633897,0.024245693944501708
