train_size,f1_train_pre,f1_val_pre,gap_pre,f1_train_post,f1_val_post,gap_post
136,1.0,0.5699,0.4301,1.0,0.573,0.427
311,1.0,0.6439,0.3561,1.0,0.6401,0.3599
487,1.0,0.645,0.355,1.0,0.6519,0.3481
662,1.0,0.6721,0.3279,1.0,0.6652,0.3348
837,1.0,0.7042,0.2958,1.0,0.6989,0.3011
1013,1.0,0.6965,0.3035,1.0,0.7221,0.2779
1188,1.0,0.707,0.293,1.0,0.706,0.294
1364,1.0,0.7356,0.2644,1.0,0.7279,0.2721
