n_features,f1_cv_mean,f1_cv_std
1,0.5382516487779646,0.02576398926745409
2,0.5378447578565944,0.06139866740508457
3,0.5426969149759928,0.04971414819823404
4,0.6429693917086401,0.045381358318773234
5,0.6763857106707961,0.03703296159298161
6,0.6755898270800188,0.046698491543821066
7,0.6985333751484726,0.019228823522744756
8,0.7022905677624145,0.032007553333169354
9,0.6935600306866131,0.034499448688411004
10,0.7063148980522442,0.023814471653409327
11,0.7237361225221673,0.0372562399383911
12,0.721911976911977,0.033843533946287814
13,0.7230747346215083,0.03530954881906761
14,0.7192339462889433,0.02281889384292611
15,0.7166942930798352,0.016628789934617152
16,0.7056496852015854,0.03164824416930702
17,0.7127300870000137,0.025559562001672118
18,0.7209991704856916,0.022844696687663434
19,0.7169531643204026,0.0443360619611431
20,0.7071959678144701,0.04819782531904193
21,0.7029109227500712,0.04396033124303619
22,0.7175809158955226,0.040726266337099776
23,0.7240844408359308,0.031819991787355284
24,0.7060730759598182,0.025714507258327093
25,0.7063440614550508,0.03336348651222982
26,0.7121813771813772,0.03782959566270944
27,0.7165326891055896,0.060559599098786894
28,0.7037098273940379,0.03719062459032663
29,0.7040917661727083,0.03441841266824106
30,0.7315085593760731,0.0335882282515871
31,0.7236587973430078,0.05023294472230909
32,0.7385551573803102,0.05238769554956056
33,0.7332919994855732,0.045500857460644036
34,0.7252603414891744,0.03652923244661084
35,0.7277110089719461,0.028928399009051066
