feature,mean_abs_shap,cum_frac
Sb_pctile_litho,0.04943015161531738,0.1409565257574895
log_Sb_Tl,0.035063501895373904,0.24094467563262556
Mo_pctile_litho,0.030239336246708236,0.3271760878225019
Se_detectado,0.023978363239664464,0.39555351870553485
log_Te_Se,0.02223577513731537,0.45896173228482495
Bi_pctile_litho,0.016271492113878988,0.505362014750316
Ce_ppm,0.015381086007885361,0.5492231880463496
Be_ppm,0.014153973129681736,0.5895850888867783
Mg_per,0.013162325410952837,0.6271191768915277
P_ppm,0.012145588591778906,0.6617539072176724
K_Al_molar,0.00960678358808357,0.6891489038751519
La_ppm,0.009047860570437938,0.7149500586333319
Zr_ppm,0.008668423393093816,0.7396691987807157
Ti_per,0.008238329410588068,0.7631618698289345
Te_detectado,0.007878077455110386,0.7856272354293236
log_Th_U,0.006398274620452083,0.803872750198527
log_Ba_Sr,0.006285888042991992,0.8217977799806759
Rb_ppm,0.005536989840463111,0.8375872288405566
Y_ppm,0.005362751727573654,0.8528798149912435
Sc_ppm,0.0047434773223941126,0.8664064593879182
Th_ppm,0.004273810213624011,0.8785937867533604
Cr_ppm,0.004003385193481499,0.8900099618954826
Na_Al_molar,0.0025573149948285956,0.897302479218591
cluster_litho_prob,0.0025067773216015166,0.9044508817735838
As_ppm,0.0024070708102523707,0.9113149582042193
Ba_ppm,0.0023422540332837137,0.917994201139635
Cd_ppm,0.0021615268037302672,0.92415807680315
Ta_ppm,0.00210116086442487,0.9301498111156774
log_As_Sb,0.0020827899302835865,0.936089158312915
suma_path_AsSbTl,0.001811348998359255,0.9412544562818557
CCPI_Large,0.0015188565352376316,0.9455856738350062
Tl_ppm,0.0014056901521723464,0.949594182683689
W_ppm,0.0013881196209327,0.9535525868703727
S_per,0.0013349745201584637,0.9573594408691372
Nb_ppm,0.0012484701310630773,0.9609196163174382
Mn_ppm,0.0010999171036610545,0.964056173428569
Hf_ppm,0.0008993462516952893,0.9666207765897842
Ca_per,0.0008493811250140096,0.969042897674051
AI_Ishikawa,0.0008256252411392004,0.9713972757563673
Cs_ppm,0.0008231842489157647,0.9737446930309179
Sn_ppm,0.0008226785456573991,0.9760906682266556
As_pctile_litho,0.0008205849877218649,0.9784306733688244
Tl_pctile_litho,0.0007918200365909736,0.9806886515003024
W_pctile_litho,0.0007237530932059566,0.9827525278630229
Sr_ppm,0.0006873310634309127,0.9847125420563924
Ge_ppm,0.000611625533696378,0.9864566720555343
K_per,0.0006056614456172102,0.9881837946794715
Fe_per,0.0005904410164198018,0.9898675142639662
Na_per,0.0005381229113371023,0.9914020419466424
Te_ppm,0.000446176513466536,0.9926743724808935
CIA_molar,0.0003478767919995411,0.9936663885356596
V_ppm,0.00034438747783181067,0.9946484543558768
Ga_ppm,0.00033192649120590177,0.9955949860471281
Se_ppm,0.00031580284189852524,0.9964955390489636
Sb_ppm,0.00028315362988151724,0.9973029885634691
log_Rb_Sr,0.0002633464347003178,0.9980539552769614
cluster_litho,0.0002333843168891706,0.9987194811027974
Mo_ppm,0.00017204285213283057,0.9992100837395602
U_ppm,0.00015854555283464244,0.9996621970665794
Al_per,6.523862812611147e-05,0.9998482335254074
Ni_ppm,5.322094744397973e-05,0.9999999999999999
Bi_ppm,0.0,0.9999999999999999
Co_ppm,0.0,0.9999999999999999
