train_size,train_pre,val_pre,train_post,val_post
136,0.9635412679572852,0.555611425464798,0.9217969164766704,0.5634105264811535
311,0.9128725357178237,0.5901674090737724,0.8695211021229869,0.5951651116646337
487,0.9251515662103549,0.6172721645935397,0.8900983894928828,0.6187417403949039
662,0.9196525349707081,0.6527026092190287,0.8777338576033316,0.6453119172057875
837,0.9136709060009034,0.6427225495681402,0.8748246670174618,0.6312708258519361
1013,0.9173572255346544,0.6679077378730183,0.8797915882518879,0.6724900622151749
1188,0.9205378954072877,0.6867272776003737,0.8769355603547411,0.6929776823928206
1364,0.9223496427326696,0.6840662028570959,0.8811835588186124,0.6885859122482656
