feature,mean_abs_shap,cum_frac
Ag_ppm,4.0584735267577345,0.33744696252003115
Sb_ppm,1.0269967665418165,0.4228379197611123
Rb_ppm,0.46217301708983005,0.4612658852874207
Te_ppm,0.40172030333819564,0.4946674327535677
As_ppm,0.3995747200761421,0.5278905829602919
Cu_ppm,0.34626900730195176,0.556681561627145
Cs_ppm,0.33538121671704657,0.5845672610462201
U_ppm,0.2863850195108112,0.6083791090989453
Ni_ppm,0.25136003530927026,0.6292787601265579
Mg_per,0.24525649402277128,0.6496709244219878
Sn_ppm,0.23614270320579447,0.6693053109450716
Mo_ppm,0.23160029450661795,0.6885620130979223
Cr_ppm,0.21143013137475386,0.7061416412874943
Sr_ppm,0.19754870806757935,0.7225670808148569
kmeans_dist_raw,0.18449296593027742,0.737906983994962
Be_ppm,0.17948209418815614,0.752830251847078
Ba_ppm,0.17728663517249169,0.7675709754565646
S_per,0.15386585877266276,0.7803643487128024
La_ppm,0.15137995446893834,0.792951028282146
Ta_ppm,0.14757693684687537,0.8052215010962862
Ce_ppm,0.1442845039923935,0.8172182203775473
gmm_prob_max_raw,0.14012345808010845,0.8288689641843475
Mn_ppm,0.1226979840259707,0.8390708447051679
Fe_per,0.11846098900806228,0.8489204348661821
Se_ppm,0.1183781835116365,0.8587631400584845
Ga_ppm,0.11725684691131785,0.8685126102876302
Zn_ppm,0.11435144409454079,0.8780205070904731
Nb_ppm,0.11036269630986126,0.8871967543666344
Ca_per,0.1065063919008844,0.8960523642896672
Bi_ppm,0.0968138420317549,0.904102074780106
Zr_ppm,0.09314805901673465,0.9118469890619405
Pb_ppm,0.09220252605604408,0.91951328579867
Al_per,0.09174154938609483,0.9271412540416836
Y_ppm,0.09053166278523017,0.9346686247186999
Th_ppm,0.08583296097811774,0.9418053158354966
P_ppm,0.07808005803470916,0.9482973819395348
Na_per,0.07794741792215201,0.9547784195120832
V_ppm,0.07728480483103851,0.9612043632732642
W_ppm,0.0722968893749473,0.9672155804361645
Co_ppm,0.07168040522460142,0.9731755392373669
Cd_ppm,0.06558649260659477,0.9786288118943205
Ge_ppm,0.04893131199185171,0.9826972682966866
Tl_ppm,0.043864119782005384,0.9863444065338743
Hf_ppm,0.04377015345759814,0.9899837318210599
Sc_ppm,0.042326853370463706,0.9935030520799514
K_per,0.036327977975812636,0.9965235881858567
Ti_per,0.0360113149198174,0.9995177949377121
gmm_label_raw,0.0057994787244425965,0.9999999999999997
Re_ppm,0.0,0.9999999999999997
kmeans_label_raw,0.0,0.9999999999999997
dbscan_outlier_raw,0.0,0.9999999999999997
