train_size,f1_train_pre,f1_val_pre,gap_pre,f1_train_post,f1_val_post,gap_post
136,1.0,0.5468,0.4532,1.0,0.5468,0.4532
311,1.0,0.6665,0.3335,1.0,0.6665,0.3335
487,1.0,0.6647,0.3353,1.0,0.6647,0.3353
662,1.0,0.6872,0.3128,1.0,0.6872,0.3128
837,1.0,0.7161,0.2839,1.0,0.7161,0.2839
1013,1.0,0.7294,0.2706,1.0,0.7294,0.2706
1188,1.0,0.7285,0.2715,1.0,0.7285,0.2715
1364,1.0,0.7106,0.2894,1.0,0.7106,0.2894
