n_features,f2_cv_mean,f2_cv_std
1,0.5543824994384574,0.05091357608060556
2,0.5770183176266434,0.036141485120721885
3,0.5855662038827891,0.038024685474119094
4,0.6054613280078003,0.03750603900220272
5,0.651852485822017,0.030764911399487668
6,0.6470506396038311,0.026610276972008844
7,0.647211412701319,0.04446643505566005
8,0.6717845048033727,0.040647603556151185
9,0.6777393766560834,0.032520765752066506
10,0.6798971361951658,0.04000438711733515
11,0.6829412026338402,0.041975856876167
12,0.6860507596824974,0.03547792789598077
13,0.6753196022466699,0.03635244154435956
14,0.6820543307141218,0.04704673114173341
15,0.6602756477047294,0.03594649056332804
16,0.6687884685677081,0.031043705671414346
17,0.6650883686028917,0.025875847549935802
18,0.6662737839960935,0.025797700157848335
19,0.6696540811274119,0.027564686587823867
20,0.6645650073423546,0.02321513108816401
21,0.6656322474446824,0.02273384247508044
22,0.6692421123875555,0.029351209443611467
23,0.663302201369904,0.035448705603822295
24,0.6648764917028906,0.02735440756739626
25,0.6719087290353578,0.00963328012898258
26,0.6671441511442557,0.008402349070266631
27,0.6660809483039623,0.006453447723836212
28,0.6680875143212482,0.008639172315355688
29,0.6820693787701302,0.019068534081501116
30,0.6815961664696005,0.019252678684288923
31,0.6831168717358277,0.01473488467499604
32,0.6791132796359569,0.02189547214566655
33,0.6703980257340858,0.016407015012477565
