n_features,f1_cv_mean,f1_cv_std
1,0.5358397828884627,0.04153119084205221
2,0.5755547545476787,0.04471820228390035
3,0.5800851630470973,0.034053841816376426
4,0.655548889575708,0.03609821769082064
5,0.6472962312443337,0.0206562783946805
6,0.6599135240016156,0.029897964670794294
7,0.6789238367829074,0.05772860111576668
8,0.6656769483801017,0.040566282471491216
9,0.6832501481218154,0.030662688623961223
10,0.6875876533681264,0.030208872409021533
11,0.6804452887760359,0.0489534017633614
12,0.6874063687618357,0.03588450267661388
13,0.6950209635834959,0.04628435034647265
14,0.6788652565333346,0.031679081923399244
15,0.6968402227869384,0.04311813601736689
16,0.6915238096754479,0.04196280744089324
17,0.6809009068065626,0.059505593377519254
18,0.6856351026920473,0.048524026475324354
19,0.6944616144879193,0.04621694693959684
20,0.7245332893339388,0.05817551231579854
21,0.7406199454444629,0.062131039576074416
22,0.7336104499325767,0.05702251397799297
23,0.7071326377389323,0.05877125567500063
24,0.7245363763529449,0.03993210584033924
25,0.7108977781531937,0.04718812807584237
26,0.7271974052779007,0.04330670684210676
27,0.7327064035808897,0.0376221583190857
28,0.7280704058586153,0.04772034047659739
29,0.7563160658178572,0.04569037893264243
30,0.7191637487273596,0.05689744130948878
31,0.7163200095784366,0.06848589148613297
32,0.7361221316932987,0.046643936246133555
33,0.7101919196995914,0.04057841183248129
34,0.711416132468764,0.040310436868549515
35,0.7198468847219129,0.05341490502016007
36,0.7264212108838486,0.0600005413191848
