n_features,f1_cv_mean,f1_cv_std
1,0.5057101060919942,0.07327366840565555
2,0.5197838653804723,0.050207159404840065
3,0.5181894800372902,0.022902514529933644
4,0.5651538499197506,0.04155979706665316
5,0.6602853035549924,0.035295721969174854
6,0.6822373683155001,0.030660372622043876
7,0.7050713484046818,0.02328952230521989
8,0.7119304379830695,0.02414074017833841
9,0.6853075311909407,0.025981496514584625
10,0.7034579245544139,0.04383135592779563
11,0.7244421239690311,0.029869374392249997
12,0.7048560523866134,0.03222859952183324
13,0.7020251072073747,0.03534257661727033
14,0.697716540854057,0.025561844420944262
15,0.7024940584529625,0.04024587789942492
16,0.7110959235832438,0.0470994089895594
17,0.7031493956002115,0.04357760340223927
18,0.7125965256060627,0.029958074568712127
19,0.6910171915533933,0.04640867646263175
20,0.6921017518048271,0.03835901408065843
21,0.7049506232756159,0.034920462333290034
22,0.7049918435645359,0.029079006750366457
23,0.7248527921861255,0.024744653597534035
24,0.7148533166180225,0.04380070449843705
25,0.7433735882263013,0.05011345395382948
26,0.7184604926377876,0.029347930045376436
27,0.7211666729313789,0.0340119564814448
28,0.7326222185108955,0.037421322987701205
29,0.7269031865734064,0.043364052720367405
30,0.7250739032599498,0.022023743723643335
31,0.7306804047154923,0.027852209986498462
32,0.7330835675725581,0.02838611832684006
33,0.7346536516956126,0.03609019796388404
34,0.7249700978376115,0.0297369622615184
35,0.7350619654401074,0.0255700197320122
36,0.7254065530867944,0.036362410687099625
37,0.7344428472499223,0.04374356549584525
