feature,mean_abs_shap,cum_frac
Ag_ppm,2.5014837898268487,0.3002583437957272
Sb_ppm,0.7068564254435709,0.38510380250635334
Te_ppm,0.334080655827592,0.42520420404440473
As_ppm,0.3222161534053245,0.4638804844821083
Rb_ppm,0.27018924340230277,0.49631186583477793
Sn_ppm,0.251988079124256,0.5265585232793794
La_ppm,0.2469048252867791,0.556195027108538
Mo_ppm,0.24028750081008898,0.5850372396071629
Cu_ppm,0.22423341672169403,0.611952446734359
Mg_per,0.21951125151274045,0.6383008424712369
Cs_ppm,0.20068168864521344,0.6623890862998776
Cr_ppm,0.16881828042989916,0.6826526984369895
Ta_ppm,0.1681994280494983,0.7028420284254229
Th_ppm,0.14832057939049337,0.7206452585321808
U_ppm,0.1352610559635837,0.7368809266619744
Ni_ppm,0.12417275377009904,0.7517856426322287
Mn_ppm,0.11093443312404908,0.7651013352204467
Ga_ppm,0.11053921976315093,0.7783695895203688
Sr_ppm,0.10729343162085915,0.7912482450645926
Nb_ppm,0.10528401349893415,0.8038857059387824
Fe_per,0.09970534719372093,0.8158535478003669
Be_ppm,0.09108887949937815,0.8267871369796855
P_ppm,0.08958539930704024,0.8375402602793863
S_per,0.08404917386915278,0.8476288588327664
Y_ppm,0.0824417726961483,0.8575245176533429
Ca_per,0.08196342238997212,0.8673627590837806
Na_per,0.08191277430876014,0.8771949211188438
Co_ppm,0.07953678924273361,0.8867418886850441
Al_per,0.07711829021929127,0.8959985587429402
Pb_ppm,0.07580167789151236,0.9050971930627805
Zn_ppm,0.07537085899095991,0.9141441152867511
Bi_ppm,0.07430459103545853,0.9230630511325316
Ce_ppm,0.07337506285582998,0.9318704137621028
Zr_ppm,0.06577509100147602,0.9397655358362232
Ti_per,0.06559572496732002,0.9476391282292128
K_per,0.0603625285262967,0.954884569081693
Sc_ppm,0.058300737093214844,0.9618825287857974
Tl_ppm,0.05139552109552203,0.9680516409365213
W_ppm,0.04783379322041476,0.9737932314230313
Hf_ppm,0.04670652405065092,0.9793995134277107
V_ppm,0.046086121177077013,0.9849313271747652
Ba_ppm,0.040174836359129766,0.9897535970117773
Se_ppm,0.03131487919318875,0.9935123876147582
Ge_ppm,0.030835604062346974,0.9972136498189565
Cd_ppm,0.017760448427885565,0.9993454736795444
Re_ppm,0.005452927502151673,0.9999999999999998
