,Au_ppm,Ag_ppm,Al_per,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_per,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_per,Ga_ppm,Ge_ppm,Hf_ppm,K_per,La_ppm,Mg_per,Mn_ppm,Mo_ppm,Na_per,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_per,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_per,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm
count,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0,2137.0
mean,0.3119,7.9209,5.1391,149.5114,352.9714,0.8225,5.9942,2.6631,2.6956,26.1875,10.8575,20.8232,5.9685,70.1406,3.3701,11.9071,0.0809,1.4395,1.3949,12.9437,0.7805,842.7169,4.831,0.9053,4.6412,5.7979,467.0177,192.3428,74.4874,0.0012,0.2003,23.3999,8.4743,0.861,2.2888,155.5399,0.3499,0.4943,4.6916,0.2366,0.7382,1.2793,69.4422,1.5559,10.6991,233.0585,50.0599
std,3.4895,74.9324,3.0249,882.3871,356.9178,0.5189,107.8499,4.5539,34.7197,18.9568,81.6221,14.4399,5.5535,516.485,3.4088,6.928,0.0562,1.1188,1.0437,9.7335,0.9041,1558.191,14.6134,1.086,3.6147,9.6204,370.6915,1469.307,58.0063,0.0013,0.8393,141.6442,6.3684,2.6803,7.3901,182.1338,0.281,4.3299,5.0846,0.1824,0.6497,1.3139,54.7862,3.6352,7.7099,1700.2346,40.1333
min,0.0025,0.005,0.05,0.1,5.0,0.025,0.005,0.005,0.01,0.005,0.05,0.5,0.025,0.2,0.18,0.025,0.025,0.05,0.005,0.25,0.005,19.87,0.025,0.005,0.05,0.1,9.38,0.25,0.05,0.001,0.005,0.025,0.05,0.5,0.1,0.1,0.025,0.025,0.005,0.0025,0.01,0.05,0.5,0.05,0.05,1.0,0.25
25%,0.0025,0.109,2.31,3.68,102.96,0.38,0.05,0.12,0.05,9.45,1.97,12.16,2.45,5.7,1.45,5.46,0.025,0.54,0.55,4.64,0.16,283.56,0.45,0.03,1.51,1.55,156.36,7.32,29.48,0.001,0.01,2.38,3.02,0.5,0.53,18.61,0.11,0.025,1.19,0.08,0.32,0.4,23.54,0.56,3.95,25.04,16.96
50%,0.006,0.303,5.5,9.96,263.84,0.74,0.05,1.25,0.11,24.66,5.32,18.61,4.47,13.22,2.65,12.47,0.07,1.18,1.23,12.04,0.47,620.69,1.06,0.25,4.32,3.35,381.89,11.98,61.82,0.001,0.02,6.39,6.94,0.5,1.19,89.47,0.32,0.025,3.01,0.19,0.62,0.88,55.58,0.92,9.91,50.81,42.04
75%,0.024,1.02,7.86,31.16,511.64,1.17,0.16,3.34,0.23,38.32,12.48,26.45,7.61,28.38,4.6,17.89,0.11,2.15,2.03,18.7,1.22,970.55,2.85,1.87,6.92,7.72,747.66,25.24,107.54,0.001,0.08,17.92,13.94,0.5,1.82,231.0,0.52,0.065,6.04,0.4,0.99,1.61,109.36,1.6,16.18,87.09,73.03
max,132.245,2766.906,15.85,11000.0,6874.34,3.07,3566.14,35.07,1100.0,122.46,2643.08,201.74,61.91,11000.0,55.0,35.04,1.16,6.87,8.39,76.91,10.35,41050.26,206.0,5.09,25.94,274.21,4268.94,46950.89,412.36,0.041,11.0,4397.2,32.75,70.43,175.75,2906.82,1.73,120.683,32.45,0.96,11.03,12.46,505.79,84.13,55.85,62546.37,274.42
